attempt_name,runtime_trade_count,parsed_trade_count,runtime_net_profit,parsed_net_profit,runtime_profit_factor,parsed_profit_factor,report_path,claim_boundary
m48_bal_rf,282,282,49.96,49.96,1.07,1.06879552746,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336M/mt5/reports/Project_Obsidian_Prime_v2_run336M_materialize_live_safe_feature_handoff_repair_v1_m48_bal_rf.htm,research_development_only_stage336O_repaired_forward_attribution_cost_stress_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,274,274,268.51,268.51,1.48,1.48140777395,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336M/mt5/reports/Project_Obsidian_Prime_v2_run336M_materialize_live_safe_feature_handoff_repair_v1_m48_plain_rf.htm,research_development_only_stage336O_repaired_forward_attribution_cost_stress_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,333,333,4.89,4.89,1.01,1.00587577953,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336M/mt5/reports/Project_Obsidian_Prime_v2_run336M_materialize_live_safe_feature_handoff_repair_v1_u42_bal_rf.htm,research_development_only_stage336O_repaired_forward_attribution_cost_stress_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,336,336,116.14,116.14,1.16,1.16237906157,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336M/mt5/reports/Project_Obsidian_Prime_v2_run336M_materialize_live_safe_feature_handoff_repair_v1_u42_plain_rf.htm,research_development_only_stage336O_repaired_forward_attribution_cost_stress_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
