record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,source_queue_id,state_profile,followup_profile,pressure_group,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-01,16,62.8,84.3,-21.5,3.92093,3.925,0.6875,7.663636,-4.3,1.782241,20.48,3.815201,4,0.375,3,3.066406,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-02,14,203.37,207.91,-4.54,45.795154,14.526429,0.857143,17.325833,-2.27,7.632526,2.57,0.377351,1,0.142857,1,79.132296,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-03,13,59.26,86.86,-27.6,3.147101,4.558462,0.615385,10.8575,-5.52,1.966938,8.93,1.711285,2,0.461538,2,6.636058,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-04,30,43.71,216.29,-172.58,1.253274,1.457,0.466667,15.449286,-10.78625,1.432313,58.07,9.649706,13,0.8,4,0.752712,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-05,13,61.23,112.31,-51.08,2.198708,4.71,0.692308,12.478889,-12.77,0.977204,31.08,5.952997,5,0.615385,2,1.970077,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-06,12,-48.58,80.56,-129.14,0.623819,-4.048333,0.333333,20.14,-16.1425,1.247638,58.78,11.520972,6,0.916667,3,-0.826472,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-07,38,-10.59,212.84,-223.43,0.952603,-0.278684,0.526316,10.642,-12.412778,0.857342,79.84,15.968,38,1.0,6,-0.13264,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-08,46,85.59,315.24,-229.65,1.372698,1.860652,0.565217,12.124615,-11.4825,1.055921,48.24,8.664416,13,0.73913,3,1.774254,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-09,36,189.05,330.43,-141.38,2.337176,5.251389,0.666667,13.767917,-11.781667,1.168588,50.91,8.260855,12,0.611111,4,3.713416,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-10,27,273.17,400.58,-127.41,3.144023,10.117407,0.555556,26.705333,-10.6175,2.515219,64.1,9.102011,11,0.777778,4,4.261622,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-11,29,319.21,490.16,-170.95,2.867271,11.007241,0.62069,27.231111,-15.540909,1.752221,87.06,16.986323,8,0.62069,3,3.666552,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-12,27,-216.75,210.12,-426.87,0.492234,-8.027778,0.37037,21.012,-25.11,0.836798,240.62,48.124,27,1.0,5,-0.900798,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_rt_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,month,2024-01,16,62.8,84.3,-21.5,3.92093,3.925,0.6875,7.663636,-4.3,1.782241,20.48,3.815201,4,0.375,3,3.066406,measured_slice(측정 구간)
mt5_rt_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,month,2024-02,14,203.37,207.91,-4.54,45.795154,14.526429,0.857143,17.325833,-2.27,7.632526,2.57,0.377351,1,0.142857,1,79.132296,measured_slice(측정 구간)
mt5_rt_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,month,2024-03,13,59.26,86.86,-27.6,3.147101,4.558462,0.615385,10.8575,-5.52,1.966938,8.93,1.711285,2,0.461538,2,6.636058,measured_slice(측정 구간)
mt5_rt_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,month,2024-04,30,43.71,216.29,-172.58,1.253274,1.457,0.466667,15.449286,-10.78625,1.432313,58.07,9.649706,13,0.8,4,0.752712,measured_slice(측정 구간)
mt5_rt_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,month,2024-05,13,61.23,112.31,-51.08,2.198708,4.71,0.692308,12.478889,-12.77,0.977204,31.08,5.952997,5,0.615385,2,1.970077,measured_slice(측정 구간)
mt5_rt_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,month,2024-06,12,-48.58,80.56,-129.14,0.623819,-4.048333,0.333333,20.14,-16.1425,1.247638,58.78,11.520972,6,0.916667,3,-0.826472,minor_negative_slice(작은 음수 구간)
mt5_rt_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,month,2024-07,38,-10.59,212.84,-223.43,0.952603,-0.278684,0.526316,10.642,-12.412778,0.857342,79.84,15.968,38,1.0,6,-0.13264,minor_negative_slice(작은 음수 구간)
