record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,source_queue_id,state_profile,followup_profile,pressure_group,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,tier_b_fallback_used_count,tier_b_fallback_order_fill_count,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,301,1021.47,2747.6,-1726.13,1.591769,3.393588,0.568106,16.067836,-13.277923,1.210117,264.51,15.010981,72,0.767442,7,3.861744,16.64,15.01,3.43,0,0,0.75,3,2024-12,-216.75,2024-11,319.21,363.6,200.78,457.09,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AS_stage267_pool_wide_state_feature_engineering_followup_materialization_v1_run267as_p01_s264_aih_range_pressure_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,301,1021.47,2747.6,-1726.13,1.591769,3.393588,0.568106,16.067836,-13.277923,1.210117,264.51,15.010981,72,0.767442,7,3.861744,16.64,15.01,3.43,0,0,0.75,3,2024-12,-216.75,2024-11,319.21,363.6,200.78,457.09,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AS_stage267_pool_wide_state_feature_engineering_followup_materialization_v1_run267as_p01_s264_aih_range_pressure_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s264_aih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,volatility_regime_expansion,core_volatility_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,296,1272.69,3154.72,-1882.03,1.676233,4.299628,0.574324,18.557176,-14.936746,1.242384,331.01,15.871821,40,0.719595,7,3.844869,17.76,15.87,3.37,0,0,0.833333,2,2024-12,-270.97,2024-10,344.3,432.19,353.03,487.47,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AS_stage267_pool_wide_state_feature_engineering_followup_materialization_v1_run267as_p02_s264_aih_volatility_pressure_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s264_aih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,volatility_regime_expansion,core_volatility_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,296,1272.69,3154.72,-1882.03,1.676233,4.299628,0.574324,18.557176,-14.936746,1.242384,331.01,15.871821,40,0.719595,7,3.844869,17.76,15.87,3.37,0,0,0.833333,2,2024-12,-270.97,2024-10,344.3,432.19,353.03,487.47,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AS_stage267_pool_wide_state_feature_engineering_followup_materialization_v1_run267as_p02_s264_aih_volatility_pressure_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s264_aia_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,296,1065.48,2764.06,-1698.58,1.627277,3.599595,0.584459,15.977225,-13.809593,1.156966,233.81,14.297926,62,0.763514,6,4.557033,14.57,13.29,4.11,0,0,0.75,3,2024-12,-145.72,2024-11,282.27,417.68,153.7,494.1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AS_stage267_pool_wide_state_feature_engineering_followup_materialization_v1_run267as_p03_s264_aia_range_pressure_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_aia_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,296,1065.48,2764.06,-1698.58,1.627277,3.599595,0.584459,15.977225,-13.809593,1.156966,233.81,14.297926,62,0.763514,6,4.557033,14.57,13.29,4.11,0,0,0.75,3,2024-12,-145.72,2024-11,282.27,417.68,153.7,494.1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AS_stage267_pool_wide_state_feature_engineering_followup_materialization_v1_run267as_p03_s264_aia_range_pressure_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_aia_return_shock_absorption_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,293,1062.17,2694.39,-1632.22,1.650752,3.625154,0.580205,15.849353,-13.270081,1.194367,218.28,14.018392,65,0.791809,6,4.866089,13.71,12.49,4.39,0,0,0.75,3,2024-12,-141.61,2024-11,273.39,417.71,176.49,467.97,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AS_stage267_pool_wide_state_feature_engineering_followup_materialization_v1_run267as_p04_s264_aia_shock_pressure_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_aia_return_shock_absorption_as_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,293,1062.17,2694.39,-1632.22,1.650752,3.625154,0.580205,15.849353,-13.270081,1.194367,218.28,14.018392,65,0.791809,6,4.866089,13.71,12.49,4.39,0,0,0.75,3,2024-12,-141.61,2024-11,273.39,417.71,176.49,467.97,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AS_stage267_pool_wide_state_feature_engineering_followup_materialization_v1_run267as_p04_s264_aia_shock_pressure_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s258_stc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,,volatility_regime_expansion,stress_challenger_volatility_prune_pressure_v2,stress_challenger_prune_or_rescue,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,268,905.51,2729.95,-1824.44,1.496322,3.378769,0.589552,17.278165,-16.585818,1.041743,323.7,19.260291,42,0.735075,7,2.797374,19.87,19.26,2.7,0,0,0.833333,2,2024-12,-195.06,2024-02,232.0,501.81,150.54,253.16,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AS_stage267_pool_wide_state_feature_engineering_followup_materialization_v1_run267as_p05_s258_stc_volatility_pressure_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s258_stc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A+B,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,,volatility_regime_expansion,stress_challenger_volatility_prune_pressure_v2,stress_challenger_prune_or_rescue,pool_wide_state_feature_engineering_followup_pressure_not_retrained,routed_total_duplicate_boundary,268,905.51,2729.95,-1824.44,1.496322,3.378769,0.589552,17.278165,-16.585818,1.041743,323.7,19.260291,42,0.735075,7,2.797374,19.87,19.26,2.7,0,0,0.833333,2,2024-12,-195.06,2024-02,232.0,501.81,150.54,253.16,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AS_stage267_pool_wide_state_feature_engineering_followup_materialization_v1_run267as_p05_s258_stc_volatility_pressure_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
