record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,source_queue_id,state_profile,followup_profile,pressure_group,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s258_stc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,,volatility_regime_expansion,stress_challenger_volatility_prune_pressure_v2,stress_challenger_prune_or_rescue,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,weekday,Monday,39,-285.54,225.97,-511.51,0.44177,-7.321538,0.358974,16.140714,-20.4604,0.788876,289.67,57.459385,38,0.974359,5,-0.985742,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s262_lih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,,volatility_regime_expansion,validation_control_volatility_audit_v1,validation_control_audit,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,weekday,Monday,45,-272.8,276.01,-548.81,0.502925,-6.062222,0.422222,14.526842,-21.108077,0.688212,276.93,54.93226,44,0.977778,5,-0.985086,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,volatility_regime_expansion,core_volatility_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-12,27,-270.97,231.87,-502.84,0.461121,-10.035926,0.37037,23.187,-29.578824,0.783905,289.15,57.83,27,1.0,5,-0.937126,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_lc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,,volatility_regime_expansion,defensive_control_volatility_audit_v1,defensive_control_audit,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,weekday,Monday,46,-268.37,257.57,-525.94,0.489733,-5.83413,0.456522,12.265238,-21.0376,0.583015,271.94,54.002423,45,0.978261,5,-0.986872,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s258_stc_trend_strength_disagreem_as_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,,trend_strength_disagreement,stress_challenger_trend_prune_pressure_v2,stress_challenger_prune_or_rescue,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,weekday,Monday,45,-267.44,266.28,-533.72,0.498913,-5.943111,0.444444,13.314,-21.3488,0.623642,269.78,53.704662,44,0.977778,4,-0.991326,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aia_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,weekday,Monday,44,-259.92,228.39,-488.31,0.467715,-5.907273,0.454545,11.4195,-20.34625,0.561258,262.93,52.271327,43,0.977273,4,-0.988552,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,volatility_regime_expansion,core_volatility_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,weekday,Monday,44,-244.05,281.41,-525.46,0.53555,-5.546591,0.454545,14.0705,-21.894167,0.64266,247.84,49.195101,43,0.977273,4,-0.984708,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,weekday,Monday,43,-231.65,226.07,-457.72,0.493905,-5.387209,0.465116,11.3035,-19.90087,0.56799,234.88,46.674483,42,0.976744,3,-0.986248,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aia_return_shock_absorption_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,weekday,Monday,42,-227.89,211.07,-438.96,0.480841,-5.425952,0.452381,11.108947,-19.085217,0.582071,231.24,45.940201,41,0.97619,3,-0.985513,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_lc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,,volatility_regime_expansion,defensive_control_volatility_audit_v1,defensive_control_audit,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-12,25,-222.7,218.48,-441.18,0.495217,-8.908,0.4,21.848,-29.412,0.742826,258.25,51.65,25,1.0,5,-0.862343,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-12,27,-216.75,210.12,-426.87,0.492234,-8.027778,0.37037,21.012,-25.11,0.836798,240.62,48.124,27,1.0,5,-0.900798,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s262_lih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,,volatility_regime_expansion,validation_control_volatility_audit_v1,validation_control_audit,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-12,24,-216.59,220.8,-437.39,0.504813,-9.024583,0.375,24.533333,-29.159333,0.841354,251.36,50.272,24,1.0,5,-0.861673,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
