run_id,reference_run_id,reference_label,selected_variant_id,metric_id,reference_value,selected_value,delta_selected_minus_reference,claim_boundary
run364AP_train_hold6_pf_dd_repair_offensive_scout_without_db_v1,run364AO_materialize_hold6_pf_dd_repair_offensive_inputs_without_db_v1,run364AN_selected_hold6_seed(364AN 선택 6봉 씨앗),hold6_density_anchor_control_6봉_밀도_기준_대조__source_density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침_seed_selected_control_fu__ps0_45__floor0_0__hold6,combined_net_profit,858.662,858.662,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AP_train_hold6_pf_dd_repair_offensive_scout_without_db_v1,run364AO_materialize_hold6_pf_dd_repair_offensive_inputs_without_db_v1,run364AN_selected_hold6_seed(364AN 선택 6봉 씨앗),hold6_density_anchor_control_6봉_밀도_기준_대조__source_density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침_seed_selected_control_fu__ps0_45__floor0_0__hold6,combined_profit_factor,1.2724135667,1.2724135667,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AP_train_hold6_pf_dd_repair_offensive_scout_without_db_v1,run364AO_materialize_hold6_pf_dd_repair_offensive_inputs_without_db_v1,run364AN_selected_hold6_seed(364AN 선택 6봉 씨앗),hold6_density_anchor_control_6봉_밀도_기준_대조__source_density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침_seed_selected_control_fu__ps0_45__floor0_0__hold6,combined_trade_count,,1168,1168.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AP_train_hold6_pf_dd_repair_offensive_scout_without_db_v1,run364AO_materialize_hold6_pf_dd_repair_offensive_inputs_without_db_v1,run364AN_selected_hold6_seed(364AN 선택 6봉 씨앗),hold6_density_anchor_control_6봉_밀도_기준_대조__source_density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침_seed_selected_control_fu__ps0_45__floor0_0__hold6,combined_trade_per_business_day,3.5075075075,3.5075075075,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AP_train_hold6_pf_dd_repair_offensive_scout_without_db_v1,run364AO_materialize_hold6_pf_dd_repair_offensive_inputs_without_db_v1,run364AN_selected_hold6_seed(364AN 선택 6봉 씨앗),hold6_density_anchor_control_6봉_밀도_기준_대조__source_density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침_seed_selected_control_fu__ps0_45__floor0_0__hold6,combined_expectancy,,0.7351558219,0.7351558219,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AP_train_hold6_pf_dd_repair_offensive_scout_without_db_v1,run364AO_materialize_hold6_pf_dd_repair_offensive_inputs_without_db_v1,run364AN_selected_hold6_seed(364AN 선택 6봉 씨앗),hold6_density_anchor_control_6봉_밀도_기준_대조__source_density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침_seed_selected_control_fu__ps0_45__floor0_0__hold6,combined_max_drawdown,-168.999,-168.999,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AP_train_hold6_pf_dd_repair_offensive_scout_without_db_v1,run364AO_materialize_hold6_pf_dd_repair_offensive_inputs_without_db_v1,run364AN_selected_hold6_seed(364AN 선택 6봉 씨앗),hold6_density_anchor_control_6봉_밀도_기준_대조__source_density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침_seed_selected_control_fu__ps0_45__floor0_0__hold6,combined_recovery_factor,,5.080870301,5.080870301,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AP_train_hold6_pf_dd_repair_offensive_scout_without_db_v1,run364AO_materialize_hold6_pf_dd_repair_offensive_inputs_without_db_v1,run364AN_selected_hold6_seed(364AN 선택 6봉 씨앗),hold6_density_anchor_control_6봉_밀도_기준_대조__source_density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침_seed_selected_control_fu__ps0_45__floor0_0__hold6,combined_long_count,,1041,1041.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AP_train_hold6_pf_dd_repair_offensive_scout_without_db_v1,run364AO_materialize_hold6_pf_dd_repair_offensive_inputs_without_db_v1,run364AN_selected_hold6_seed(364AN 선택 6봉 씨앗),hold6_density_anchor_control_6봉_밀도_기준_대조__source_density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침_seed_selected_control_fu__ps0_45__floor0_0__hold6,combined_short_count,,127,127.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AP_train_hold6_pf_dd_repair_offensive_scout_without_db_v1,run364AO_materialize_hold6_pf_dd_repair_offensive_inputs_without_db_v1,run364AN_selected_hold6_seed(364AN 선택 6봉 씨앗),hold6_density_anchor_control_6봉_밀도_기준_대조__source_density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침_seed_selected_control_fu__ps0_45__floor0_0__hold6,combined_long_short_balance,,0.1219980788,0.1219980788,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
