metric,value,scope,source
validation_net_profit,472738,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
validation_pf,1.64,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
validation_trades,919,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
validation_trades_per_day,5.02186,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
validation_recovery,4.34,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
validation_expectancy,514.41,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
validation_max_dd_percent,19.11,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
validation_worst_chunk_net,-1035,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
validation_negative_month_count,3,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
oos_net_profit,237628,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
oos_pf,1.51,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
oos_trades,637,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
oos_trades_per_day,4.86259,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
oos_recovery,5.72,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
oos_expectancy,373.04,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
oos_max_dd_percent,15.51,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
oos_worst_chunk_net,32,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
oos_negative_month_count,1,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
combined_net_profit,710366,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
minimum_trade_gate,passed,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
density_4_10_trades_day_gate,passed,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
profit_scale_gate,passed,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
efficiency_gate,passed,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
drawdown_gate,passed,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
zoom_curve_gate,passed,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
stability_gate,passed,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
selected_candidate,stage322_selected_candidate_for_adapter_package,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
adapter_package,none,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
onnx_readiness,not_started,stage322_selected_scoreboard,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
validation_pf,1.71,stage322_stability_control_cp322B,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
validation_worst_chunk_net,-638,stage322_stability_control_cp322B,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
oos_pf,1.55,stage322_stability_control_cp322B,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
oos_worst_chunk_net,-143,stage322_stability_control_cp322B,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
combined_net_profit,670365,stage322_stability_control_cp322B,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
stability_gate,passed,stage322_stability_control_cp322B,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/cp321b_curve_stability_pressure_review_scoreboard.csv
shape_available,true,stage322_trade_frame_shape_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
trade_frame_net_profit,23074.4,stage322_trade_frame_shape_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
trade_frame_pf,2.12809,stage322_trade_frame_shape_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
trade_frame_max_drawdown,4808.52,stage322_trade_frame_shape_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
trade_frame_dd_to_net,0.208392,stage322_trade_frame_shape_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
negative_month_count,3,stage322_trade_frame_shape_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
worst_month_net,-1430,stage322_trade_frame_shape_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
worst_chunk_net,-1035,stage322_trade_frame_shape_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
worst_chunk_start,2025-07-30,stage322_trade_frame_shape_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
worst_chunk_end,2025-08-28,stage322_trade_frame_shape_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
shape_source_boundary,trade_frame_shape_only_not_money_authority,stage322_trade_frame_shape_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
