run_id,queue_id,axis_id,queue_type,queue_rank,seed_variant_id,source_queue_id,variant_id,short_probability_threshold,long_threshold,min_margin,entry_margin_floor,long_block_feature,long_block_min,max_hold_m5,bridge_policy,bridge_policy_value,density_restore_budget,materialized_policy,session_policy,side_policy,restore_policy,trade_splitting_status,top_n_status,proxy_boundary,claim_boundary,validation_trade_count,validation_trade_per_business_day,validation_net_profit,validation_profit_factor,validation_expectancy,validation_max_drawdown,validation_recovery_factor,validation_long_count,validation_short_count,validation_long_short_balance,validation_business_days,oos_trade_count,oos_trade_per_business_day,oos_net_profit,oos_profit_factor,oos_expectancy,oos_max_drawdown,oos_recovery_factor,oos_long_count,oos_short_count,oos_long_short_balance,oos_business_days,combined_trade_count,combined_trade_per_business_day,combined_net_profit,combined_profit_factor,combined_expectancy,combined_max_drawdown,combined_recovery_factor,combined_long_count,combined_short_count,combined_long_short_balance,combined_business_days,net_delta_vs_run364AJ_selected,pf_delta_vs_run364AJ_selected,dd_delta_vs_run364AJ_selected,density_delta_vs_run364AJ_selected,estimated_mt5_trade_count,estimated_mt5_trade_per_business_day,observed_mt5_proxy_survival_ratio,business_days,density_floor,target_profit_factor,density_gap_after_survival,candidate_status,strict_proxy_pass,package_eligible_proxy,selection_score,net_delta_vs_run364AW_mt5,pf_delta_vs_run364AW_mt5,trade_count_delta_vs_run364AW_mt5,estimated_mt5_density_delta_vs_run364AW
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,ax08_density_overstress_floor000,density_overstress_probe(밀도 과압박 탐침),stress_candidate(압박 후보),8,threshold_edge_floor001_probe(임계값 경계 하한 0.001 탐침),run364AX_materialize_threshold_edge_density_restore_cost_session_inputs_without_db_v1,run364AY_ax08_density_overstress_floor000,0.45,0.0,-0.000562137088,0.0,adx_14,40.0,6,restore_march_non_hour16_margin,0.1,0.0,density_overstress_probe(밀도 과압박 탐침),all_sessions,all_sessions,search new density source(새 밀도 원천 탐색) while explicitly stress-labeling risk(위험 라벨링).,not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,597,3.0773195876,428.254,1.2625630575,0.7173433836,-76.772,5.5782576981,529,68,0.1285444234,194,571,4.1079136691,430.408,1.2829768028,0.7537793345,-168.999,2.5468079693,512,59,0.115234375,139,1168,3.5075075075,858.662,1.2724135667,0.7351558219,-168.999,5.080870301,1041,127,0.1219980788,333,-19.888,-0.0875864333,-186.509,0.5915915916,1065,3.1981981982,0.9117370892,333,3.0,1.2,0.1981981982,"watch_stress_pass_not_package(압박 통과 관찰, 패키지 아님)",True,False,968.584099039,-19.88799999999992,-0.08758643330000004,197.0,0.2822822823000002
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,ax03_short_restore_ps450_floor050_stress,short_side_stress_expand(숏 방향 압박 확장),stress_candidate(압박 후보),3,threshold_edge_floor001_probe(임계값 경계 하한 0.001 탐침),run364AX_materialize_threshold_edge_density_restore_cost_session_inputs_without_db_v1,run364AY_ax03_short_restore_ps450_floor050_stress,0.45,0.0,-0.000562137088,0.0005,adx_14,40.0,6,restore_march_non_hour16_margin,0.1,0.0,short_side_stress_expand(숏 방향 압박 확장),all_sessions_except_premarket_short,long_all_short_no_premarket,test whether more short exposure repairs long skew without trade splitting(거래 쪼개기 없이 숏 노출 증가가 롱 쏠림을 줄이는지 시험),not_used(거래 쪼개기 없음),forbidden(금지),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,562,2.8969072165,399.953,1.259000013,0.7116601423,-78.889,5.06981962,508,54,0.1062992126,194,538,3.8705035971,474.176,1.3511208,0.8813680297,-132.758,3.5717320237,489,49,0.100204499,139,1100,3.3033033033,874.129,1.3019773488,0.7946627273,-132.758,6.5843790958,997,103,0.1033099298,333,-4.421,-0.0580226512,-150.268,0.3873873874,1003,3.012012012,0.9117370892,333,3.0,1.2,0.012012012,"watch_stress_pass_not_package(압박 통과 관찰, 패키지 아님)",True,False,906.8353805266,-4.420999999999935,-0.058022651200000164,129.0,0.09609609610000014
