run_id,pair_id,membership_status,open_time,open_type,close_time_left,close_time_right,source_bucket_left,source_bucket_right,net_profit_left,net_profit_right,net_profit_diff_left_minus_right,gross_profit_diff_left_minus_right,swap_diff_left_minus_right,open_price_diff_left_minus_right,close_price_diff_left_minus_right,claim_boundary
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd03_source_overlay_value,left_only,2025-01-07T17:25:00,sell,2025-01-07T17:55:00,,synthetic_short_overlay,,11.53,,,,,,,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd03_source_overlay_value,left_only,2025-02-18T17:10:00,sell,2025-02-18T17:40:00,,synthetic_short_overlay,,2.98,,,,,,,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd03_source_overlay_value,left_only,2025-02-25T17:50:00,sell,2025-02-25T18:20:00,,synthetic_short_overlay,,3.29,,,,,,,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd03_source_overlay_value,left_only,2025-05-29T17:05:00,sell,2025-05-29T17:35:00,,synthetic_short_overlay,,5.42,,,,,,,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd03_source_overlay_value,left_only,2025-07-22T17:05:00,sell,2025-07-22T17:35:00,,synthetic_short_overlay,,-6.96,,,,,,,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd03_source_overlay_value,left_only,2025-08-01T17:10:00,sell,2025-08-01T17:35:00,,synthetic_short_overlay,,-11.9,,,,,,,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd03_source_overlay_value,left_only,2025-08-20T17:05:00,sell,2025-08-20T17:35:00,,synthetic_short_overlay,,7.08,,,,,,,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd03_source_overlay_value,left_only,2025-08-29T17:05:00,sell,2025-08-29T17:35:00,,synthetic_short_overlay,,-1.12,,,,,,,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd03_source_overlay_value,left_only,2025-12-12T17:35:00,sell,2025-12-12T18:05:00,,synthetic_short_overlay,,17.37,,,,,,,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd03_source_overlay_value,left_only,2025-12-12T18:10:00,sell,2025-12-12T18:40:00,,native_short_threshold,,5.24,,,,,,,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
