variant_id,close_month,trade_count,net_profit,gross_profit,swap,commission,expectancy,win_count,loss_count,win_rate_percent,profit_factor_gross,avg_hold_minutes,claim_boundary
cd01_bx3_clone_current_session,2025-01,87,29.95,30.37,-0.42,0.0,0.344253,44,43,50.574713,1.132423,135.689655,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2025-02,74,79.82,81.4,-1.58,0.0,1.078649,40,34,54.054054,1.457818,200.143694,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2025-03,9,37.87,38.05,-0.18,0.0,4.207778,5,4,55.555556,3.915709,473.333333,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2025-04,119,174.15,174.77,-0.62,0.0,1.463445,60,59,50.420168,1.365696,109.87395,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2025-05,75,100.37,100.91,-0.54,0.0,1.338267,43,32,57.333333,1.675074,174.266667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2025-06,68,53.86,54.16,-0.3,0.0,0.792059,36,32,52.941176,1.465332,124.044118,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2025-07,35,4.71,4.83,-0.12,0.0,0.134571,18,17,51.428571,1.064555,99.142857,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2025-08,47,-1.43,-1.31,-0.12,0.0,-0.030426,20,27,42.553191,0.988571,85.106383,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2025-09,51,34.34,34.52,-0.18,0.0,0.673333,23,28,45.098039,1.353037,100.784314,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2025-10,78,32.14,32.2,-0.06,0.0,0.412051,43,35,55.128205,1.157866,46.602564,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
