run_id,candidate_id,source_variant_id,parameter,cd_value,source_value,difference_category,functional_drift_flag,cd_set_path,source_set_path,claim_boundary
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd01_bx3_clone_current_session,bx03_hour17_overlay_plus_weak_late_session_firewall,InpExplorationLabel,stage364_SwapStableSourceGuard__RuntimeProbe,stage364_OverlayHour17NativeShort__RuntimeAblation,run_identity_expected(실행 정체성 차이),False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd01_OPv2_run364BX_bx3_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BX/mt5/sets/OPv2_run364BX_bx03_hour17_overlay_plus_weak_late_session_firewall.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd01_bx3_clone_current_session,bx03_hour17_overlay_plus_weak_late_session_firewall,InpFeatureCsvPath,Project_Obsidian_Prime_v2/stage364/run364CD_swap_stable_source_guard_runtime_probe/features/density_lift_trade_shape_features.csv,Project_Obsidian_Prime_v2/stage364/run364BX_overlay_hour17_native_short_ablation/features/density_lift_trade_shape_features.csv,"input_path_same_source_hash_expected(입력 경로 차이, 원천 해시 확인 필요)",False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd01_OPv2_run364BX_bx3_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BX/mt5/sets/OPv2_run364BX_bx03_hour17_overlay_plus_weak_late_session_firewall.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd01_bx3_clone_current_session,bx03_hour17_overlay_plus_weak_late_session_firewall,InpMagic,36428001,36426023,run_identity_expected(실행 정체성 차이),False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd01_OPv2_run364BX_bx3_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BX/mt5/sets/OPv2_run364BX_bx03_hour17_overlay_plus_weak_late_session_firewall.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd01_bx3_clone_current_session,bx03_hour17_overlay_plus_weak_late_session_firewall,InpModelPath,Project_Obsidian_Prime_v2/stage364/run364CD_swap_stable_source_guard_runtime_probe/models/h12_move5__rf5_l80_n64.onnx,Project_Obsidian_Prime_v2/stage364/run364BX_overlay_hour17_native_short_ablation/models/h12_move5__rf5_l80_n64.onnx,"input_path_same_source_hash_expected(입력 경로 차이, 원천 해시 확인 필요)",False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd01_OPv2_run364BX_bx3_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BX/mt5/sets/OPv2_run364BX_bx03_hour17_overlay_plus_weak_late_session_firewall.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd01_bx3_clone_current_session,bx03_hour17_overlay_plus_weak_late_session_firewall,InpRunId,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1_run364CD_cd01_bx3_clone_current_session,run364BX_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1_run364BX_bx03_hour17_overlay_weak_late_firewall,run_identity_expected(실행 정체성 차이),False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd01_OPv2_run364BX_bx3_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BX/mt5/sets/OPv2_run364BX_bx03_hour17_overlay_plus_weak_late_session_firewall.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd01_bx3_clone_current_session,bx03_hour17_overlay_plus_weak_late_session_firewall,InpSplitLabel,validation_oos_cd01_bx3_clone_current_session,validation_oos_bx03_hour17_late_firewall,run_identity_expected(실행 정체성 차이),False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd01_OPv2_run364BX_bx3_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BX/mt5/sets/OPv2_run364BX_bx03_hour17_overlay_plus_weak_late_session_firewall.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd01_bx3_clone_current_session,bx03_hour17_overlay_plus_weak_late_session_firewall,InpSummaryCsvPath,Project_Obsidian_Prime_v2/stage364/run364CD_swap_stable_source_guard_runtime_probe/telemetry/run364CD_cd01_bx3_clone_current_session_summary.csv,Project_Obsidian_Prime_v2/stage364/run364BX_overlay_hour17_native_short_ablation/telemetry/run364BX_bx03_hour17_overlay_weak_late_firewall_summary.csv,output_path_expected(출력 경로 차이),False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd01_OPv2_run364BX_bx3_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BX/mt5/sets/OPv2_run364BX_bx03_hour17_overlay_plus_weak_late_session_firewall.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd01_bx3_clone_current_session,bx03_hour17_overlay_plus_weak_late_session_firewall,InpTelemetryCsvPath,Project_Obsidian_Prime_v2/stage364/run364CD_swap_stable_source_guard_runtime_probe/telemetry/run364CD_cd01_bx3_clone_current_session_telemetry.csv,Project_Obsidian_Prime_v2/stage364/run364BX_overlay_hour17_native_short_ablation/telemetry/run364BX_bx03_hour17_overlay_weak_late_firewall_telemetry.csv,output_path_expected(출력 경로 차이),False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd01_OPv2_run364BX_bx3_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BX/mt5/sets/OPv2_run364BX_bx03_hour17_overlay_plus_weak_late_session_firewall.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,InpExplorationLabel,stage364_SwapStableSourceGuard__RuntimeProbe,stage364_BX3GuardStack__RuntimeProbe,run_identity_expected(실행 정체성 차이),False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd02_ca01_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CA/mt5/sets/ca01_OPv2_run364BX_bx03_semantics_control.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,InpFeatureCsvPath,Project_Obsidian_Prime_v2/stage364/run364CD_swap_stable_source_guard_runtime_probe/features/density_lift_trade_shape_features.csv,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/features/density_lift_trade_shape_features.csv,"input_path_same_source_hash_expected(입력 경로 차이, 원천 해시 확인 필요)",False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd02_ca01_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CA/mt5/sets/ca01_OPv2_run364BX_bx03_semantics_control.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,InpMagic,36428002,36427001,run_identity_expected(실행 정체성 차이),False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd02_ca01_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CA/mt5/sets/ca01_OPv2_run364BX_bx03_semantics_control.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,InpModelPath,Project_Obsidian_Prime_v2/stage364/run364CD_swap_stable_source_guard_runtime_probe/models/h12_move5__rf5_l80_n64.onnx,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/models/h12_move5__rf5_l80_n64.onnx,"input_path_same_source_hash_expected(입력 경로 차이, 원천 해시 확인 필요)",False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd02_ca01_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CA/mt5/sets/ca01_OPv2_run364BX_bx03_semantics_control.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_ca01_clone_current_session,ca01_bx03_semantics_control,InpRunId,run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1_run364CD_cd02_ca01_clone_current_session,run364CA_execute_bx03_guard_stack_runtime_probe_without_db_v1_run364CA_ca01_bx03_semantics_control,run_identity_expected(실행 정체성 차이),False,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CD/mt5/sets/cd02_ca01_clone_current_session.set,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364CA/mt5/sets/ca01_OPv2_run364BX_bx03_semantics_control.set,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
