run_id,pair_id,segment,trade_count,net_diff_cd02_minus_cd01,gross_diff_cd02_minus_cd01,swap_diff_cd02_minus_cd01,commission_diff_cd02_minus_cd01,claim_boundary,close_month_cd02,direction_cd02,source_bucket_cd02
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd01_swap_stability,close_month_cd02,87,0.0,0.0,0.0,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-01,,
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd01_swap_stability,close_month_cd02,74,0.0,0.0,0.0,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-02,,
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd01_swap_stability,close_month_cd02,9,0.0,0.0,0.0,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-03,,
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd01_swap_stability,close_month_cd02,119,0.0,0.0,0.0,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-04,,
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd01_swap_stability,close_month_cd02,75,0.0,0.0,0.0,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-05,,
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd01_swap_stability,close_month_cd02,68,0.0,0.0,0.0,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-06,,
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd01_swap_stability,close_month_cd02,35,0.0,0.0,0.0,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-07,,
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd01_swap_stability,close_month_cd02,47,0.0,0.0,0.0,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-08,,
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd01_swap_stability,close_month_cd02,51,0.0,0.0,0.0,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-09,,
run364CE_review_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd01_swap_stability,close_month_cd02,78,0.0,0.0,0.0,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-10,,
