variant_id,close_hour,trade_count,net_profit,gross_profit,swap,commission,expectancy,win_count,loss_count,win_rate_percent,profit_factor_gross,avg_hold_minutes,claim_boundary
cd01_bx3_clone_current_session,16,33,351.76,356.0,-4.24,0.0,10.659394,22,11,66.666667,5.941013,1974.69697,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,17,301,435.6,436.5,-0.9,0.0,1.447176,168,133,55.813953,1.541973,88.023256,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,18,250,7.67,7.67,0.0,0.0,0.03068,130,120,52.0,1.012045,32.062533,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,19,182,112.5,112.5,0.0,0.0,0.618132,93,89,51.098901,1.282188,33.076923,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,20,116,116.83,116.83,0.0,0.0,1.007155,60,56,51.724138,1.399979,34.655172,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,21,111,-7.82,-7.82,0.0,0.0,-0.07045,54,57,48.648649,0.971686,36.441441,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,22,15,-19.05,-19.05,0.0,0.0,-1.27,8,7,53.333333,0.518939,38.333333,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,16,33,351.76,356.0,-4.24,0.0,10.659394,22,11,66.666667,5.941013,1974.69697,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,17,301,435.6,436.5,-0.9,0.0,1.447176,168,133,55.813953,1.541973,88.023256,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,18,250,7.67,7.67,0.0,0.0,0.03068,130,120,52.0,1.012045,32.062533,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,19,182,112.5,112.5,0.0,0.0,0.618132,93,89,51.098901,1.282188,33.076923,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,20,116,116.83,116.83,0.0,0.0,1.007155,60,56,51.724138,1.399979,34.655172,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,21,111,-7.82,-7.82,0.0,0.0,-0.07045,54,57,48.648649,0.971686,36.441441,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
