record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,tier_b_fallback_used_count,tier_b_fallback_order_fill_count,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s258_stc_session_cross_2023h2_adjacent_2023_h2_train_pre_2024,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_sidefilter_open,s258_stc_explosive_supply_sidefilter_open,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,tier_a_only,265,1225.63,2853.07,-1627.44,1.753103,4.625019,0.603774,17.831688,-15.499429,1.150474,171.31,11.996919,41,0.732075,4,7.154457,12.98,12.0,6.58,0,0,1.0,0,2023-07,35.39,2023-08,367.19,366.34,165.82,693.47,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_04_s258_stc_2023h2_supply_sidefilter_open_ta_2023h2.png,"constructive_but_supply_thin_no_selection(건설적이나 공급 얇음, 선택 아님)"
mt5_ta_s258_stc_session_cross_2025h1_adjacent_2025_h1_validation_post_2024,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_sidefilter_open,s258_stc_explosive_supply_sidefilter_open,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,tier_a_only,357,343.7,2328.0,-1984.3,1.17321,0.962745,0.507003,12.861878,-11.274432,1.140801,122.45,14.424997,58,0.896359,5,2.80686,17.93,14.13,2.53,0,0,0.833333,1,2025-05,-15.11,2025-02,135.07,156.34,136.13,51.23,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_06_s258_stc_2025h1_supply_sidefilter_open_ta_2025h1.png,positive_but_quality_decay_watch(양수이나 품질 저하 관찰)
mt5_ta_s258_stc_session_cross_2025h2_adjacent_2025_h2_oos_followthrough,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_sidefilter_open,s258_stc_explosive_supply_sidefilter_open,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,tier_a_only,259,239.86,1831.49,-1591.63,1.150701,0.9261,0.505792,13.98084,-12.434609,1.124349,206.43,22.977004,51,0.872587,6,1.161944,24.72,22.98,1.06,0,0,0.666667,2,2025-12,-136.08,2025-11,167.98,100.92,141.81,-2.87,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_08_s258_stc_2025h2_supply_sidefilter_open_ta_2025h2.png,profit_with_uncomfortable_dd_or_month_hole(수익은 있으나 손실폭/월별 구멍 불편)
mt5_ta_s264_lc_lc_weekday_dd_historical_2024,s264_lowrank_control,s264_lc,defensive_control,s264_lc_one_stage_dd_demote_audit,s264_lc_one_stage_dd_demote_audit,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,tier_a_only,473,1522.61,5163.25,-3640.64,1.418226,3.219049,0.534884,20.408103,-16.548364,1.23324,293.8,22.675527,154,0.852008,5,5.182471,24.39,22.68,4.78,0,0,0.75,3,2024-06,-163.98,2024-11,418.05,689.35,139.89,693.37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_10_s264_lc_one_stage_dd_demote_audit_ta_2024.png,profit_with_uncomfortable_dd_or_month_hole(수익은 있으나 손실폭/월별 구멍 불편)
mt5_rt_s264_lc_lc_weekday_dd_historical_2024,s264_lowrank_control,s264_lc,defensive_control,s264_lc_one_stage_dd_demote_audit,s264_lc_one_stage_dd_demote_audit,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed,routed_total,473,1522.61,5163.25,-3640.64,1.418226,3.219049,0.534884,20.408103,-16.548364,1.23324,293.8,22.675527,154,0.852008,5,5.182471,24.39,22.68,4.78,0,0,0.75,3,2024-06,-163.98,2024-11,418.05,689.35,139.89,693.37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_10_s264_lc_one_stage_dd_demote_audit_rt_2024.png,profit_with_uncomfortable_dd_or_month_hole(수익은 있으나 손실폭/월별 구멍 불편)
