attempt_name,candidate_id,candidate_alias,candidate_role,profile_label,tier,split,attempt_role,dm_status,dm_runtime_status,dm_runtime_wait_status,dm_report_trade_count,dm_report_net_profit,dm_report_profit_factor,dm_report_equity_dd_percent,dm_report_path,dn_retry_present,dn_status,dn_runtime_status,dn_runtime_wait_status,dn_report_trade_count,dn_report_net_profit,dn_report_profit_factor,dn_report_equity_dd_percent,dn_report_path,attempt_read,claim_boundary
run267dl_01_s264_aia_similar_dual_session_month_survivor_rt_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,s264_aia_similar_dual_session_month_survivor,Tier A+B,historical_2024,routed_total_duplicate_boundary,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_01_s264_aia_similar_dual_session_month_survivor_rt_2024.htm,true,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DN/shared_weakness_breakout_third_followup_or_prune_remaining_runtime_retry/mt5/reports/Project_Obsidian_Prime_v2_run267DN_run267dl_01_s264_aia_similar_dual_session_month_survivor_rt_2024.htm,"retry_confirmed_zero_trade_runtime_gap_no_blind_retry(재시도 확인 무거래/런타임 공백, 맹목 재시도 금지)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_01_s264_aia_similar_dual_session_month_survivor_ta_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,s264_aia_similar_dual_session_month_survivor,Tier A,historical_2024,tier_only_total,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_01_s264_aia_similar_dual_session_month_survivor_ta_2024.htm,true,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DN/shared_weakness_breakout_third_followup_or_prune_remaining_runtime_retry/mt5/reports/Project_Obsidian_Prime_v2_run267DN_run267dl_01_s264_aia_similar_dual_session_month_survivor_ta_2024.htm,"retry_confirmed_zero_trade_runtime_gap_no_blind_retry(재시도 확인 무거래/런타임 공백, 맹목 재시도 금지)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_02_s264_aia_ablation_dual_session_month_survivor_rt_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,s264_aia_ablation_dual_session_month_survivor,Tier A+B,historical_2024,routed_total_duplicate_boundary,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_02_s264_aia_ablation_dual_session_month_survivor_rt_2024.htm,true,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DN/shared_weakness_breakout_third_followup_or_prune_remaining_runtime_retry/mt5/reports/Project_Obsidian_Prime_v2_run267DN_run267dl_02_s264_aia_ablation_dual_session_month_survivor_rt_2024.htm,"retry_confirmed_zero_trade_runtime_gap_no_blind_retry(재시도 확인 무거래/런타임 공백, 맹목 재시도 금지)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_02_s264_aia_ablation_dual_session_month_survivor_ta_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,s264_aia_ablation_dual_session_month_survivor,Tier A,historical_2024,tier_only_total,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_02_s264_aia_ablation_dual_session_month_survivor_ta_2024.htm,true,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DN/shared_weakness_breakout_third_followup_or_prune_remaining_runtime_retry/mt5/reports/Project_Obsidian_Prime_v2_run267DN_run267dl_02_s264_aia_ablation_dual_session_month_survivor_ta_2024.htm,"retry_confirmed_zero_trade_runtime_gap_no_blind_retry(재시도 확인 무거래/런타임 공백, 맹목 재시도 금지)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_03_s258_stc_2023h2_supply_threshold_release_ta_2023h2,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_threshold_release,Tier A,adjacent_2023_h2_train_pre_2024,tier_only_total,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_03_s258_stc_2023h2_supply_threshold_release_ta_2023h2.htm,true,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DN/shared_weakness_breakout_third_followup_or_prune_remaining_runtime_retry/mt5/reports/Project_Obsidian_Prime_v2_run267DN_run267dl_03_s258_stc_2023h2_supply_threshold_release_ta_2023h2.htm,"retry_confirmed_zero_trade_runtime_gap_no_blind_retry(재시도 확인 무거래/런타임 공백, 맹목 재시도 금지)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_04_s258_stc_2023h2_supply_sidefilter_open_ta_2023h2,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_sidefilter_open,Tier A,adjacent_2023_h2_train_pre_2024,tier_only_total,completed,completed,completed,265,1225.63,1.75,12.98,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_04_s258_stc_2023h2_supply_sidefilter_open_ta_2023h2.htm,false,,,,,,,,,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_05_s258_stc_2025h1_supply_threshold_release_ta_2025h1,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_threshold_release,Tier A,adjacent_2025_h1_validation_post_2024,tier_only_total,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_05_s258_stc_2025h1_supply_threshold_release_ta_2025h1.htm,true,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DN/shared_weakness_breakout_third_followup_or_prune_remaining_runtime_retry/mt5/reports/Project_Obsidian_Prime_v2_run267DN_run267dl_05_s258_stc_2025h1_supply_threshold_release_ta_2025h1.htm,"retry_confirmed_zero_trade_runtime_gap_no_blind_retry(재시도 확인 무거래/런타임 공백, 맹목 재시도 금지)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_06_s258_stc_2025h1_supply_sidefilter_open_ta_2025h1,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_sidefilter_open,Tier A,adjacent_2025_h1_validation_post_2024,tier_only_total,completed,completed,completed,357,343.7,1.17,17.93,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_06_s258_stc_2025h1_supply_sidefilter_open_ta_2025h1.htm,false,,,,,,,,,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_07_s258_stc_2025h2_supply_threshold_release_ta_2025h2,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_threshold_release,Tier A,adjacent_2025_h2_oos_followthrough,tier_only_total,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_07_s258_stc_2025h2_supply_threshold_release_ta_2025h2.htm,true,blocked,blocked,timeout,0,0.0,0.0,0.0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DN/shared_weakness_breakout_third_followup_or_prune_remaining_runtime_retry/mt5/reports/Project_Obsidian_Prime_v2_run267DN_run267dl_07_s258_stc_2025h2_supply_threshold_release_ta_2025h2.htm,"retry_confirmed_zero_trade_runtime_gap_no_blind_retry(재시도 확인 무거래/런타임 공백, 맹목 재시도 금지)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_08_s258_stc_2025h2_supply_sidefilter_open_ta_2025h2,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_sidefilter_open,Tier A,adjacent_2025_h2_oos_followthrough,tier_only_total,completed,completed,completed,259,239.86,1.15,24.72,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DM/shared_weakness_breakout_third_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DM_run267dl_08_s258_stc_2025h2_supply_sidefilter_open_ta_2025h2.htm,false,,,,,,,,,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
