candidate_id,split,report_path,report_exists,equity_png_path,equity_png_exists,visual_grade_status,access_note
s264_allow_inner_high_quarter,validation_is,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_high_quarter_rt_val.htm,true,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_high_quarter_rt_val.png,true,pending_full_and_zoom_read,local Windows read may require long-path prefix(긴 경로 접두사)
s264_allow_inner_high_quarter,oos,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_high_quarter_rt_oos.htm,true,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_high_quarter_rt_oos.png,true,pending_full_and_zoom_read,local Windows read may require long-path prefix(긴 경로 접두사)
s264_lowrank_control,validation_is,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_lowrank_control_rt_val.htm,true,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_lowrank_control_rt_val.png,true,pending_full_and_zoom_read,local Windows read may require long-path prefix(긴 경로 접두사)
s264_lowrank_control,oos,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_lowrank_control_rt_oos.htm,true,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_lowrank_control_rt_oos.png,true,pending_full_and_zoom_read,local Windows read may require long-path prefix(긴 경로 접두사)
s262_lowrank_inner_half_filter,validation_is,stages/262_adapter_research__lowrank_lowedge_oos_recovery_repair/02_runs/run262A/mt5/reports/Project_Obsidian_Prime_v2_run262A_stage262_lowrank_lowedge_oos_recovery_repair_v1_s262_lowrank_inner_half_filter_rt_val.htm,true,stages/262_adapter_research__lowrank_lowedge_oos_recovery_repair/02_runs/run262A/mt5/reports/Project_Obsidian_Prime_v2_run262A_stage262_lowrank_lowedge_oos_recovery_repair_v1_s262_lowrank_inner_half_filter_rt_val.png,true,pending_full_and_zoom_read,local Windows read may require long-path prefix(긴 경로 접두사)
s262_lowrank_inner_half_filter,oos,stages/262_adapter_research__lowrank_lowedge_oos_recovery_repair/02_runs/run262A/mt5/reports/Project_Obsidian_Prime_v2_run262A_stage262_lowrank_lowedge_oos_recovery_repair_v1_s262_lowrank_inner_half_filter_rt_oos.htm,true,stages/262_adapter_research__lowrank_lowedge_oos_recovery_repair/02_runs/run262A/mt5/reports/Project_Obsidian_Prime_v2_run262A_stage262_lowrank_lowedge_oos_recovery_repair_v1_s262_lowrank_inner_half_filter_rt_oos.png,true,pending_full_and_zoom_read,local Windows read may require long-path prefix(긴 경로 접두사)
s264_allow_inner_all_oos_anchor,validation_is,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_all_oos_anchor_rt_val.htm,true,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_all_oos_anchor_rt_val.png,true,pending_full_and_zoom_read,local Windows read may require long-path prefix(긴 경로 접두사)
s264_allow_inner_all_oos_anchor,oos,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_all_oos_anchor_rt_oos.htm,true,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_all_oos_anchor_rt_oos.png,true,pending_full_and_zoom_read,local Windows read may require long-path prefix(긴 경로 접두사)
s258_short_tight_control,validation_is,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_short_tight_control_rt_val.htm,true,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_short_tight_control_rt_val.png,true,pending_full_and_zoom_read,local Windows read may require long-path prefix(긴 경로 접두사)
s258_short_tight_control,oos,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_short_tight_control_rt_oos.htm,true,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_short_tight_control_rt_oos.png,true,pending_full_and_zoom_read,local Windows read may require long-path prefix(긴 경로 접두사)
