candidate_id,role,source_stage,split,feature_file,rows,columns,first_time,last_time,source_feature_columns,model_file,readiness_note
s264_allow_inner_high_quarter,challenger(도전자),264,validation_is,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_allow_inner_high_quarter/features/s264_allow_inner_high_quarter_val.csv,9844,4,2025.01.02 16:35:00,2025.09.30 22:00:00,bar_time_server;stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_allow_inner_high_quarter/models/s264_allow_inner_high_quarter_model.csv,ready_for_manifest;compressed_stage_gate_features_only
s264_allow_inner_high_quarter,challenger(도전자),264,oos,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_allow_inner_high_quarter/features/s264_allow_inner_high_quarter_oos.csv,7584,4,2025.10.01 16:35:00,2026.04.13 22:00:00,bar_time_server;stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_allow_inner_high_quarter/models/s264_allow_inner_high_quarter_model.csv,ready_for_manifest;compressed_stage_gate_features_only
s264_lowrank_control,defensive_control(방어 기준),264,validation_is,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_lowrank_control/features/s264_lowrank_control_val.csv,9844,4,2025.01.02 16:35:00,2025.09.30 22:00:00,bar_time_server;stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_lowrank_control/models/s264_lowrank_control_model.csv,ready_for_manifest;compressed_stage_gate_features_only
s264_lowrank_control,defensive_control(방어 기준),264,oos,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_lowrank_control/features/s264_lowrank_control_oos.csv,7584,4,2025.10.01 16:35:00,2026.04.13 22:00:00,bar_time_server;stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_lowrank_control/models/s264_lowrank_control_model.csv,ready_for_manifest;compressed_stage_gate_features_only
s262_lowrank_inner_half_filter,validation_heavy(검증 중심),262,validation_is,stages/262_adapter_research__lowrank_lowedge_oos_recovery_repair/02_runs/run262A/s262_lowrank_inner_half_filter/features/s262_lowrank_inner_half_filter_val.csv,9844,4,2025.01.02 16:35:00,2025.09.30 22:00:00,bar_time_server;stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,stages/262_adapter_research__lowrank_lowedge_oos_recovery_repair/02_runs/run262A/s262_lowrank_inner_half_filter/models/s262_lowrank_inner_half_filter_model.csv,ready_for_manifest;compressed_stage_gate_features_only
s262_lowrank_inner_half_filter,validation_heavy(검증 중심),262,oos,stages/262_adapter_research__lowrank_lowedge_oos_recovery_repair/02_runs/run262A/s262_lowrank_inner_half_filter/features/s262_lowrank_inner_half_filter_oos.csv,7584,4,2025.10.01 16:35:00,2026.04.13 22:00:00,bar_time_server;stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,stages/262_adapter_research__lowrank_lowedge_oos_recovery_repair/02_runs/run262A/s262_lowrank_inner_half_filter/models/s262_lowrank_inner_half_filter_model.csv,ready_for_manifest;compressed_stage_gate_features_only
s264_allow_inner_all_oos_anchor,oos_anchor(표본외 앵커),264,validation_is,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_allow_inner_all_oos_anchor/features/s264_allow_inner_all_oos_anchor_val.csv,9844,4,2025.01.02 16:35:00,2025.09.30 22:00:00,bar_time_server;stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_allow_inner_all_oos_anchor/models/s264_allow_inner_all_oos_anchor_model.csv,ready_for_manifest;compressed_stage_gate_features_only
s264_allow_inner_all_oos_anchor,oos_anchor(표본외 앵커),264,oos,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_allow_inner_all_oos_anchor/features/s264_allow_inner_all_oos_anchor_oos.csv,7584,4,2025.10.01 16:35:00,2026.04.13 22:00:00,bar_time_server;stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/s264_allow_inner_all_oos_anchor/models/s264_allow_inner_all_oos_anchor_model.csv,ready_for_manifest;compressed_stage_gate_features_only
s258_short_tight_control,stress_challenger(압박 도전자),258,validation_is,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/s258_short_tight_control/features/s258_short_tight_control_val.csv,9844,4,2025.01.02 16:35:00,2025.09.30 22:00:00,bar_time_server;stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/s258_short_tight_control/models/s258_short_tight_control_model.csv,ready_for_manifest;compressed_stage_gate_features_only
s258_short_tight_control,stress_challenger(압박 도전자),258,oos,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/s258_short_tight_control/features/s258_short_tight_control_oos.csv,7584,4,2025.10.01 16:35:00,2026.04.13 22:00:00,bar_time_server;stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/s258_short_tight_control/models/s258_short_tight_control_model.csv,ready_for_manifest;compressed_stage_gate_features_only
