run_id,cluster_rank,open_time,close_time,direction,source_bucket,net_profit,cum_net,closed_balance_drawdown,open_hour,close_hour,proxy_boundary,next_runtime_need,claim_boundary
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,1,2025-04-07T19:20:00,2025-04-07T19:50:00,long,long_threshold,-1.01,116.36,67.67,19.0,19.0,closed_trade_balance_proxy_not_tick_equity_path(종료 거래 잔고 프록시이며 틱 평가손익 경로 아님),collect_or_trust MT5 equity DD from strategy tester report(MT5 평가손익 낙폭은 테스터 보고서에서 확인),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,2,2025-04-07T18:45:00,2025-04-07T19:15:00,long,long_threshold,-23.95,117.37,66.66,18.0,19.0,closed_trade_balance_proxy_not_tick_equity_path(종료 거래 잔고 프록시이며 틱 평가손익 경로 아님),collect_or_trust MT5 equity DD from strategy tester report(MT5 평가손익 낙폭은 테스터 보고서에서 확인),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,3,2026-01-16T18:45:00,2026-01-16T19:15:00,long,long_threshold,-2.76,742.88,65.49,18.0,19.0,closed_trade_balance_proxy_not_tick_equity_path(종료 거래 잔고 프록시이며 틱 평가손익 경로 아님),collect_or_trust MT5 equity DD from strategy tester report(MT5 평가손익 낙폭은 테스터 보고서에서 확인),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,4,2026-01-20T16:40:00,2026-01-20T17:10:00,long,long_threshold,-3.14,743.78,64.59,16.0,17.0,closed_trade_balance_proxy_not_tick_equity_path(종료 거래 잔고 프록시이며 틱 평가손익 경로 아님),collect_or_trust MT5 equity DD from strategy tester report(MT5 평가손익 낙폭은 테스터 보고서에서 확인),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,5,2025-12-11T18:05:00,2025-12-11T18:35:00,long,long_threshold,-5.71,742.42,64.51,18.0,18.0,closed_trade_balance_proxy_not_tick_equity_path(종료 거래 잔고 프록시이며 틱 평가손익 경로 아님),collect_or_trust MT5 equity DD from strategy tester report(MT5 평가손익 낙폭은 테스터 보고서에서 확인),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,6,2026-01-16T16:45:00,2026-01-16T17:15:00,long,long_threshold,-10.16,745.64,62.73,16.0,17.0,closed_trade_balance_proxy_not_tick_equity_path(종료 거래 잔고 프록시이며 틱 평가손익 경로 아님),collect_or_trust MT5 equity DD from strategy tester report(MT5 평가손익 낙폭은 테스터 보고서에서 확인),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,7,2026-01-16T20:05:00,2026-01-16T20:45:00,long,long_threshold,4.04,746.92,61.45,20.0,20.0,closed_trade_balance_proxy_not_tick_equity_path(종료 거래 잔고 프록시이며 틱 평가손익 경로 아님),collect_or_trust MT5 equity DD from strategy tester report(MT5 평가손익 낙폭은 테스터 보고서에서 확인),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,8,2025-04-08T18:35:00,2025-04-08T19:05:00,short,native_short_threshold,-0.66,123.73,60.3,18.0,19.0,closed_trade_balance_proxy_not_tick_equity_path(종료 거래 잔고 프록시이며 틱 평가손익 경로 아님),collect_or_trust MT5 equity DD from strategy tester report(MT5 평가손익 낙폭은 테스터 보고서에서 확인),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,9,2026-01-20T19:00:00,2026-01-20T19:35:00,long,long_threshold,-9.33,748.71,59.66,19.0,19.0,closed_trade_balance_proxy_not_tick_equity_path(종료 거래 잔고 프록시이며 틱 평가손익 경로 아님),collect_or_trust MT5 equity DD from strategy tester report(MT5 평가손익 낙폭은 테스터 보고서에서 확인),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,10,2025-04-07T21:25:00,2025-04-07T21:55:00,long,long_threshold,-21.76,124.39,59.64,21.0,21.0,closed_trade_balance_proxy_not_tick_equity_path(종료 거래 잔고 프록시이며 틱 평가손익 경로 아님),collect_or_trust MT5 equity DD from strategy tester report(MT5 평가손익 낙폭은 테스터 보고서에서 확인),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
