run_id,source_stage,adapter_id,segment,trade_count,net_profit,profit_factor,mfe_capture_ratio,stage105_segment_read
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage100_best,s100_v41_h3_cd8_lng_early_adx20,actual_routed_total,149,605.06,1.584029112,0.2203925184,full_oos_reference
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage100_best,s100_v41_h3_cd8_lng_early_adx20,early,50,32.51,1.128143477,0.06074909558,early_floor_preserved
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage100_best,s100_v41_h3_cd8_lng_early_adx20,mid,50,330.93,1.946731512,0.311537712,mid_profit_contribution
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage100_best,s100_v41_h3_cd8_lng_early_adx20,late,49,241.62,1.55832332,0.2104748751,late_profit_contribution
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage102_best,s102_v41_h3_cd8_lng_early_adx18,actual_routed_total,152,639.85,1.612695342,0.2271010709,full_oos_reference
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage102_best,s102_v41_h3_cd8_lng_early_adx18,early,51,8.11,1.029162172,0.01501486212,early_floor_weak
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage102_best,s102_v41_h3_cd8_lng_early_adx18,mid,51,363.49,2.117914809,0.3362999786,mid_profit_contribution
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage102_best,s102_v41_h3_cd8_lng_early_adx18,late,50,268.25,1.608180107,0.2241981937,late_profit_contribution
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_candidate,s104_v41_h3_cd7_lng_early_adx20,actual_routed_total,150,607.95,1.58681866,0.2207514737,full_oos_reference
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_candidate,s104_v41_h3_cd7_lng_early_adx20,early,50,32.51,1.128143477,0.06074909558,early_floor_preserved
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_candidate,s104_v41_h3_cd7_lng_early_adx20,mid,50,330.93,1.946731512,0.311537712,mid_profit_contribution
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_candidate,s104_v41_h3_cd7_lng_early_adx20,late,50,244.51,1.565001386,0.2114035672,late_profit_contribution
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_balanced_candidate,s104_v41_h3_cd8_lng_early_adx19,actual_routed_total,150,614.67,1.593270725,0.2222886433,full_oos_reference
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_balanced_candidate,s104_v41_h3_cd8_lng_early_adx19,early,50,32.51,1.128143477,0.06074909558,early_floor_preserved
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_balanced_candidate,s104_v41_h3_cd8_lng_early_adx19,mid,50,330.93,1.946731512,0.311537712,mid_profit_contribution
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_balanced_candidate,s104_v41_h3_cd8_lng_early_adx19,late,50,251.23,1.580449147,0.2151329499,late_profit_contribution
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_candidate,s104_v41_h3_cd7_lng_early_adx19,actual_routed_total,151,617.74,1.596233845,0.2226806279,full_oos_reference
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_candidate,s104_v41_h3_cd7_lng_early_adx19,early,51,8.11,1.029162172,0.01501486212,early_floor_weak
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_candidate,s104_v41_h3_cd7_lng_early_adx19,mid,50,362.16,2.113824389,0.3380093975,mid_profit_contribution
run105A_stage105_v41_oos_early_segment_followup_review_v1,stage104_candidate,s104_v41_h3_cd7_lng_early_adx19,late,50,247.47,1.571761933,0.2128725668,late_profit_contribution
