split,view,test_period,net_profit,gross_profit,gross_loss,profit_factor,drawdown_percent,trade_count,trades_per_day,runtime_active_date_trades_per_day,win_rate_percent,average_win,average_loss,payoff_ratio,expectancy,recovery_factor,time_under_water,max_consecutive_loss,long_short_breakdown,proxy_runtime_kpi_gap,proxy_time_under_water,proxy_max_consecutive_loss
validation,MT5 Runtime Repair Probe(MT5 런타임 수리 탐침),2025-01-02..2025-10-01,14.64,104.01,-89.37,1.16,3.33,129,0.4742647058823529,4.03125,43.41,1.8573214285714286,-1.2242465753424658,1.5171138445307628,0.11,0.85,not_available_in_runtime_receipt(런타임 영수증에 없음),not_available_in_runtime_receipt(런타임 영수증에 없음),long=0;short=129,proxy_net=227.7;runtime_net=14.64;proxy_pf=1.25746;runtime_pf=1.16;proxy_dd=1.479;runtime_dd=3.33;proxy_active_tpd=4.1875;runtime_calendar_tpd=0.474265;runtime_active_tpd=4.03125;net_scale=0.0642951;gross_profit_scale=0.0935258,79,9
oos,MT5 Runtime Repair Probe(MT5 런타임 수리 탐침),2025-10-01..2026-04-14,4.48,23.96,-19.48,1.23,1.41,29,0.14871794871794872,2.9,44.83,1.843076923076923,-1.2175,1.5138208813773495,0.15,0.63,not_available_in_runtime_receipt(런타임 영수증에 없음),not_available_in_runtime_receipt(런타임 영수증에 없음),long=0;short=29,proxy_net=61.2;runtime_net=4.48;proxy_pf=1.27273;runtime_pf=1.23;proxy_dd=0.492;runtime_dd=1.41;proxy_active_tpd=3.4;runtime_calendar_tpd=0.148718;runtime_active_tpd=2.9;net_scale=0.0732026;gross_profit_scale=0.0838936,8,3
