label_name,side,hold_bars,tp_points,sl_points,utility_quantile,train_valid_rows,train_positive_rows,train_positive_rate,validation_valid_rows,oos_valid_rows
long_h6_tp10_sl8_uq60,long,6,10.0,8.0,0.6,29222,10988,0.37601806857846826,9844,7584
long_h6_tp10_sl8_uq70,long,6,10.0,8.0,0.7,29222,8771,0.3001505714872356,9844,7584
long_h12_tp18_sl12_uq60,long,12,18.0,12.0,0.6,29222,11459,0.39213606187119293,9844,7584
long_h12_tp18_sl12_uq70,long,12,18.0,12.0,0.7,29222,8770,0.30011635069468207,9844,7584
long_h18_tp26_sl16_uq60,long,18,26.0,16.0,0.6,29222,11354,0.3885428786530696,9844,7584
long_h18_tp26_sl16_uq70,long,18,26.0,16.0,0.7,29222,8767,0.3000136883170214,9844,7584
short_h6_tp10_sl8_uq60,short,6,10.0,8.0,0.6,29222,10516,0.3598658544931901,9844,7584
short_h6_tp10_sl8_uq70,short,6,10.0,8.0,0.7,29222,8776,0.30032167545000343,9844,7584
short_h12_tp18_sl12_uq60,short,12,18.0,12.0,0.6,29222,10898,0.3729381972486483,9844,7584
short_h12_tp18_sl12_uq70,short,12,18.0,12.0,0.7,29222,8767,0.3000136883170214,9844,7584
short_h18_tp26_sl16_uq60,short,18,26.0,16.0,0.6,29222,10687,0.36571761001984804,9844,7584
short_h18_tp26_sl16_uq70,short,18,26.0,16.0,0.7,29222,8767,0.3000136883170214,9844,7584
