axis,value,candidate_rows,scout_clue_count,meaningful_signal_count,final_like_reference_count,dual_positive_count,best_candidate,best_rank_score,best_val_net_pf_dd_tpd,best_oos_net_pf_dd_tpd,best_signal_to_trade_ratio
label_name,long_h12_tp18_sl12_uq60,864,20,0,0,12,f77b_01906,104506.80976747104,-335.51999999999873/0.7718947583112388/4.207199999999975/2.716417910447761,17.58000000000097/1.021984618270494/1.6964999999999963/3.4545454545454546,0.39731543624161075
label_name,long_h12_tp18_sl12_uq70,864,51,0,0,12,f77b_03146,107194.62484722746,-130.60000000000002/0.8554910096818807/2.3339999999999965/2.6818181818181817,113.35999999999838/1.199718111346015/0.8520000000000073/2.71875,0.36283185840707965
label_name,long_h18_tp26_sl16_uq60,864,31,0,0,23,f77b_03813,105228.55427988575,3.552713678800501e-15/0.9999999999999996/1.72/2.763157894736842,-129.2/0.8330749354005165/2.32/2.84,0.8712871287128713
label_name,long_h18_tp26_sl16_uq70,864,32,0,0,13,f77b_04916,126568.92779069768,20.3/1.0337209302325578/1.3330000000000108/1.525,86.55/1.5031976744186049/0.6880000000000109/1.5,0.5030674846625767
label_name,long_h6_tp10_sl8_uq60,864,8,0,0,2,f77b_00561,105306.25422473942,54.830000000001064/1.1137622673610412/0.8039999999999964/3.081081081081081,-196.03000000000097/0.7232778091473726/2.2043000000000026/3.914285714285714,0.6802168021680217
label_name,long_h6_tp10_sl8_uq70,864,4,0,0,6,f77b_01425,105770.62676318921,58.980000000001056/1.2212137123996751/0.5464999999999964/3.35,-81.59999999999997/0.6763189210630706/1.096999999999989/3.4285714285714284,0.6353591160220995
label_name,short_h12_tp18_sl12_uq60,864,45,0,0,12,f77b_07147,128482.42181818183,244.50000000000006/1.3494854202401365/0.8429999999999928/2.619047619047619,64.80000000000001/1.2727272727272732/0.8760000000000037/2.4,0.948051948051948
label_name,short_h12_tp18_sl12_uq70,864,52,0,0,22,f77b_08051,131662.07931516756,272.40000000000003/1.7115987460815043/0.5279999999999927/2.2666666666666666,127.2/1.8030303030303034/0.6239999999999963/2.230769230769231,0.6928571428571428
label_name,short_h18_tp26_sl16_uq60,864,58,0,0,14,f77b_09163,127150.67928562085,31.060000000002038/1.052411325976177/1.263199999999979/2.3461538461538463,116.00000000000004/1.5620155038759695/0.6879999999999927/1.9230769230769231,0.45263157894736844
label_name,short_h18_tp26_sl16_uq70,864,60,0,0,34,f77b_09739,128678.39269639064,304.0500000000001/1.5164331210191078/1.6439999999999966/2.730769230769231,135.20000000000002/1.982558139534884/0.6120000000000072/2.111111111111111,0.47619047619047616
