adapter_id,split,segment,profit_factor,net_profit,expectancy,flag
s79_v41_h3_risk5_gate08_sl20_tp35,validation_is,early,1.368876871,188.26,2.689428571,ok
s79_v41_h3_risk5_gate08_sl20_tp35,validation_is,mid,1.370046177,253.23,3.617571429,ok
s79_v41_h3_risk5_gate08_sl20_tp35,validation_is,late,1.882198682,682.91,9.897246377,validation_late_profit_concentration
s79_v41_h3_risk5_gate08_sl20_tp35,oos,early,0.9019864468,-33.7,-0.6017857143,oos_early_negative
s79_v41_h3_risk5_gate08_sl20_tp35,oos,mid,1.887787817,304.6,5.538181818,ok
s79_v41_h3_risk5_gate08_sl20_tp35,oos,late,1.367672777,178.7,3.249090909,ok
s79_v41_h3_risk5_gate08_sl225_tp35,validation_is,early,1.569087955,245.22,3.503142857,ok
s79_v41_h3_risk5_gate08_sl225_tp35,validation_is,mid,1.305962869,203.86,2.912285714,ok
s79_v41_h3_risk5_gate08_sl225_tp35,validation_is,late,1.784113847,543.83,7.881594203,validation_late_profit_concentration
s79_v41_h3_risk5_gate08_sl225_tp35,oos,early,0.9565143709,-12.83,-0.2291071429,oos_early_negative
s79_v41_h3_risk5_gate08_sl225_tp35,oos,mid,1.84767453,266.28,4.841454545,ok
s79_v41_h3_risk5_gate08_sl225_tp35,oos,late,1.307064023,132.71,2.412909091,ok
s79_v41_h3_risk5_gate08_sl20_tp40,validation_is,early,1.386171875,197.72,2.824571429,ok
s79_v41_h3_risk5_gate08_sl20_tp40,validation_is,mid,1.409522484,294.16,4.202285714,ok
s79_v41_h3_risk5_gate08_sl20_tp40,validation_is,late,1.650621394,512.0,7.420289855,validation_late_profit_concentration
s79_v41_h3_risk5_gate08_sl20_tp40,oos,early,0.9387666974,-21.27,-0.3798214286,oos_early_negative
s79_v41_h3_risk5_gate08_sl20_tp40,oos,mid,1.964805627,353.91,6.434727273,ok
s79_v41_h3_risk5_gate08_sl20_tp40,oos,late,1.367884597,193.82,3.524,ok
