condition_id,feature,feature_family,operator,quantile_label,threshold_value,definition,train_coverage,entry_shape_proxy_score,entry_shape_contrast,ranking_metric_boundary
f43cond_0001,bb_squeeze,volatility_shape,>=,ge0p5,0.5,bb_squeeze >= ge0p5,0.10930121141605639,4.144698819002426,3.204956073098187,entry_known_closed_bar_shape_proxy_only_no_forward_outcome
f43cond_0002,mega8_dispersion_5,macro_breadth,>=,q85,0.005209250166080891,mega8_dispersion_5 >= q85,0.15002395455478748,3.730789648779416,2.4390364795537947,entry_known_closed_bar_shape_proxy_only_no_forward_outcome
f43cond_0003,hl_range,volatility_shape,>=,q85,0.002550559851806611,hl_range >= q85,0.15002395455478748,2.995947755121181,1.7041945858955594,entry_known_closed_bar_shape_proxy_only_no_forward_outcome
f43cond_0004,bollinger_width_20,volatility_shape,>=,q85,0.011534838424995541,bollinger_width_20 >= q85,0.15002395455478748,2.95804096424032,1.6662877950146986,entry_known_closed_bar_shape_proxy_only_no_forward_outcome
f43cond_0005,adx_14,trend_state,>=,q85,39.636853218078606,adx_14 >= q85,0.15002395455478748,2.9129010256475514,1.42114785642193,entry_known_closed_bar_shape_proxy_only_no_forward_outcome
f43cond_0006,sma50_sma200_ratio,trend_state,<=,q15,0.9954323947429657,sma50_sma200_ratio <= q15,0.15002395455478748,2.8808626689763077,1.3891094997506863,entry_known_closed_bar_shape_proxy_only_no_forward_outcome
f43cond_0007,hl_zscore_50,volatility_shape,>=,q85,1.4169080853462215,hl_zscore_50 >= q85,0.15002395455478748,2.8447488558412277,1.5529956866156065,entry_known_closed_bar_shape_proxy_only_no_forward_outcome
f43cond_0008,gap_percent,price_momentum,>=,q85,2.1671299145964435e-05,gap_percent >= q85,0.15002395455478748,2.8388961047064654,1.5471429354808437,entry_known_closed_bar_shape_proxy_only_no_forward_outcome
f43cond_0009,historical_vol_20,volatility_shape,>=,q85,0.40630548894405366,historical_vol_20 >= q85,0.15002395455478748,2.8327872129195932,1.5410340436939718,entry_known_closed_bar_shape_proxy_only_no_forward_outcome
f43cond_0010,close_ema20_ratio,trend_state,<=,q15,0.9974824875593186,close_ema20_ratio <= q15,0.15002395455478748,2.798003233399929,1.3062500641743078,entry_known_closed_bar_shape_proxy_only_no_forward_outcome
