source_id,source_kind,condition_ids,features,feature_families,rule_definition,source_shape_proxy_score,train_coverage,split_counts,split_hashes
f43s_0001,single_feature,f43cond_0001,bb_squeeze,volatility_shape,bb_squeeze >= ge0p5,4.144698819002426,0.10930121141605639,"{""oos"": 1090, ""train"": 3194, ""validation"": 1191}","{""oos"": ""873f4a12c453540a0fab1a5d1f8c9ee0f7c05106628f3db0cfce10298e7e2b21"", ""train"": ""461603f0b1780191fa711fb73feeb3969c47a92be6fbb084507e06ee8d3ef222"", ""validation"": ""527b0194ee3536f8cdb73513f4816c735a6844f2c53072ba9e291c0670ece6c2""}"
f43s_0002,single_feature,f43cond_0002,mega8_dispersion_5,macro_breadth,mega8_dispersion_5 >= q85,3.730789648779416,0.15002395455478748,"{""oos"": 1153, ""train"": 4384, ""validation"": 1755}","{""oos"": ""8000f153d2875f77dd9440c99910b41108bde03a4c6d4ff84e249d8ce6a09db1"", ""train"": ""c8ea35827700051df494881741d3d501c5883b26abf341f1950892930809fd95"", ""validation"": ""234996c26ea961c7059b59265c57cb7326389b992cafc4851b152e4d8fbc155b""}"
f43s_0003,single_feature,f43cond_0003,hl_range,volatility_shape,hl_range >= q85,2.995947755121181,0.15002395455478748,"{""oos"": 1108, ""train"": 4384, ""validation"": 1846}","{""oos"": ""27631f0d976a9c6b51587c794a3b3d74fc220d8d32531dc6ead9a084d24ea9ed"", ""train"": ""9bda3b82ceeaf9b3173570e136f9ca961bfe767046541f1cbc60860c897c1e02"", ""validation"": ""e453441470665a7c9405089c0744ab22c8e666251d46785bb07b91b70be9a5fa""}"
f43s_0004,single_feature,f43cond_0004,bollinger_width_20,volatility_shape,bollinger_width_20 >= q85,2.95804096424032,0.15002395455478748,"{""oos"": 1031, ""train"": 4384, ""validation"": 1772}","{""oos"": ""8b477115ddc245abaa3920178a40b8cb756d01a30617ab4087734c1e62188522"", ""train"": ""a5cea3d640cf25ab0111bcf30f0e9cae34835a3988213d2ee487b100ad4e62f2"", ""validation"": ""7772caf5cc6eae58c246ecb3d98289bf232c3271480fc5df338b7ae08bff76ef""}"
f43s_0005,single_feature,f43cond_0005,adx_14,trend_state,adx_14 >= q85,2.9129010256475514,0.15002395455478748,"{""oos"": 1008, ""train"": 4384, ""validation"": 1314}","{""oos"": ""76281fabecac398d3809ea7f552d79b37f47fa48207926dad0169fb6b7eceb21"", ""train"": ""918c0a96343c2b469d42d142dcb81ab88493713983b506883c41ec212887258f"", ""validation"": ""79d61290e720759f9725f38c82c83ece316b858e0cfa5325526e1f905fc5815e""}"
f43s_0006,single_feature,f43cond_0006,sma50_sma200_ratio,trend_state,sma50_sma200_ratio <= q15,2.8808626689763077,0.15002395455478748,"{""oos"": 1004, ""train"": 4384, ""validation"": 1380}","{""oos"": ""efe54e667266c16907c84bb0bd29184b0430eff7d09318d01a14ba43850705f7"", ""train"": ""9b60113290a173aab681037f2c6bc1842e01fd95f4e89fd7099f0cd0a231eccf"", ""validation"": ""162461b8a54fec8e845f7e2993a3fad82e8ccb3983f4174a816a5b25aae222e8""}"
f43s_0007,single_feature,f43cond_0007,hl_zscore_50,volatility_shape,hl_zscore_50 >= q85,2.8447488558412277,0.15002395455478748,"{""oos"": 1087, ""train"": 4384, ""validation"": 1589}","{""oos"": ""2c629d591604ebaab28e6fad91ea6e3ef00bda7e25ef2374c1f15b0395c972f3"", ""train"": ""f24ccff9470881167785e145fca5168ff24ace03559e96338703b3cb7e300ab6"", ""validation"": ""189457bab02dc440b6bf807a88613f0b5bb9f1fce3f2f889c7e60e26c9ed7584""}"
f43s_0008,single_feature,f43cond_0008,gap_percent,price_momentum,gap_percent >= q85,2.8388961047064654,0.15002395455478748,"{""oos"": 713, ""train"": 4384, ""validation"": 796}","{""oos"": ""934bcde0c4007516754f99986c1b4fa05b8c184aa4e2423ec2074c63ea488238"", ""train"": ""36776a43df931bc009740abeef5b785076fcb780097763b940511e18bd4ea8cf"", ""validation"": ""11b135f9de0e48d69f4bfc24e96cce46430e249585e22e7732a2968756dc3a6b""}"
f43s_0009,single_feature,f43cond_0009,historical_vol_20,volatility_shape,historical_vol_20 >= q85,2.8327872129195932,0.15002395455478748,"{""oos"": 970, ""train"": 4384, ""validation"": 1863}","{""oos"": ""016020a34b0d8196d86eba51837504efc7ca3ec14e940bcce007eaf93d5471ed"", ""train"": ""52b173ec56bf548abde234072b74f828a0d6a3e431f74a00f95d2bd24dd3e537"", ""validation"": ""fa71e2c919b26d323783cc2fbaf299309339536384c1dc3aa285493bcd2a49c8""}"
f43s_0010,single_feature,f43cond_0010,close_ema20_ratio,trend_state,close_ema20_ratio <= q15,2.798003233399929,0.15002395455478748,"{""oos"": 1013, ""train"": 4384, ""validation"": 1407}","{""oos"": ""fb7fe236155f791b2bca36c18fd3f9d7bba131ee835b93bf158f653ff91bddfb"", ""train"": ""60adb25bf8de3842cfeb9541cff19619bb1968e1097cf876c55c4170c955d76b"", ""validation"": ""e2e974af61a74196173deb8648b0d041cf1705f32e6188501561b32645863717""}"
