run_id,candidate_id,axis,segment_id,net_profit,profit_factor,expectancy,trade_count,trade_density_per_business_day,closed_drawdown_amount,closed_drawdown_percent,recovery_factor,long_trade_count,short_trade_count,short_share,win_rate_percent,segment_status,repair_use,claim_boundary
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-01,59.0,1.2440110845,0.6555222222,90,4.0909090909,59.985,12.1332564702,0.9835292156,80,10,0.1111111111,50.0,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-02,86.74,1.4674915927,1.1565866667,75,3.75,35.83,6.0558410287,2.4209879989,61,14,0.1866666667,54.6666666667,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-03,8.44,1.3178957682,0.52725,16,0.8,7.54,1.4613082779,1.1188328912,0,16,1.0,43.75,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-04,224.04,1.4654438482,1.8515702479,121,5.5,67.67,12.4721923744,3.3107728683,105,16,0.132231405,51.2396694215,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-05,54.78,1.3726944299,0.7303866667,75,3.4090909091,39.25,7.296759681,1.3956433121,70,5,0.0666666667,56.0,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-06,48.96,1.4016966395,0.7200294118,68,3.2380952381,29.338,5.5190187742,1.6688935851,66,2,0.0294117647,52.9411764706,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-07,9.23,1.1305626653,0.2638,35,1.5217391304,29.637,5.7006289792,0.3115362554,33,2,0.0571428571,51.4285714286,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-08,10.8,1.1045971224,0.2348478261,46,2.1904761905,26.247,5.1609922036,0.411589896,41,5,0.1086956522,43.4782608696,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-09,34.02,1.3446442137,0.6543269231,52,2.4761904762,29.42,5.6382836007,1.1565261727,50,2,0.0384615385,44.2307692308,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-10,51.96,1.2581606797,0.657721519,79,3.4347826087,38.73,6.7810557647,1.3415956623,71,8,0.1012658228,56.9620253165,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-11,241.83,2.2092185992,2.8789047619,84,4.6666666667,35.89,5.8942355067,6.7380328782,71,13,0.1547619048,60.7142857143,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2025-12,-2.4,0.9849854547,-0.0393442623,61,2.7727272727,58.395,11.4592123079,-0.0410994092,56,5,0.0819672131,52.4590163934,bad_stress(불량 압박),BR review stress target(BR 검토 압박 대상),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2026-01,42.61,1.2465281796,0.5259876543,81,3.8571428571,56.68,11.0778852731,0.7516760762,75,6,0.0740740741,48.1481481481,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2026-02,143.34,1.6423562098,1.5752197802,91,4.55,41.22,7.4044800517,3.4775594372,78,13,0.1428571429,60.4395604396,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2026-03,11.2,4.8421955403,1.4,8,0.4444444444,2.23,0.4416366301,5.0224215247,0,8,1.0,50.0,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_month(진입월),2026-04,23.29,1.2319721116,0.5063043478,46,5.1111111111,45.22,8.4961671426,0.515037594,46,0,0.0,56.5217391304,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_quarter(진입분기),2025Q1,154.18,1.339694934,0.8518066298,181,2.9193548387,59.985,12.1332564702,2.5702592315,141,40,0.2209944751,51.3812154696,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_quarter(진입분기),2025Q2,327.78,1.4369155017,1.241594697,264,4.0615384615,67.67,12.4721923744,4.8438155756,241,23,0.0871212121,53.0303030303,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_quarter(진입분기),2025Q3,54.06,1.1982260454,0.4064736842,133,2.0151515152,29.637,5.7006289792,1.8241050039,124,9,0.0676691729,45.8646616541,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_quarter(진입분기),2025Q4,291.39,1.519313779,1.3008392857,224,3.4461538462,58.395,7.2686829861,4.9899477695,198,26,0.1160714286,57.1428571429,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_quarter(진입분기),2026Q1,197.15,1.4942465341,1.0952777778,180,2.9032258065,56.68,11.0778852731,3.4782992237,153,27,0.15,54.4444444444,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,entry_quarter(진입분기),2026Q2,23.29,1.2319721116,0.5063043478,46,5.1111111111,45.22,8.4961671426,0.515037594,46,0,0.0,56.5217391304,passed_slice(통과 조각),stability clue(안정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
