run_id,comparison_id,source_candidate_id,selected_candidate_id,source_net_profit,selected_net_profit,net_diff,source_profit_factor,selected_profit_factor,profit_factor_diff,source_short_share,selected_short_share,short_share_diff,source_synthetic_short_profit_factor,selected_synthetic_short_profit_factor,attribution,claim_boundary
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,selected_vs_bo00_bn_seed_h17_or_h20_margin_08_10_reference,bo00_bn_seed_h17_or_h20_margin_08_10_reference,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,1037.17,1047.85,10.68,1.4101564709,1.4129932946,0.0028368237,0.1201171875,0.1215953307,0.0014781432,1.3816978038,1.2349834469,BQ changes hour/floor surface only with entry-known fields(BQ는 진입시점 필드로 시간/하한 표면만 바꿈),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,selected_vs_bo05_h17_margin_075_105_or_h20_margin_08_10,bo05_h17_margin_075_105_or_h20_margin_08_10,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,1026.66,1047.85,21.19,1.4088361576,1.4129932946,0.004157137,0.1111111111,0.1215953307,0.0104842196,2.8224308655,1.2349834469,BQ changes hour/floor surface only with entry-known fields(BQ는 진입시점 필드로 시간/하한 표면만 바꿈),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,selected_vs_bo90_broad_h17_20_ps0440_margin080_control,bo90_broad_h17_20_ps0440_margin080_control,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,1044.49,1047.85,3.36,1.4158388603,1.4129932946,-0.0028455657,0.1102362205,0.1215953307,0.0113591102,1.7848439305,1.2349834469,BQ changes hour/floor surface only with entry-known fields(BQ는 진입시점 필드로 시간/하한 표면만 바꿈),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,selected_vs_bo91_broad_h16_17_20_ps0445_margin080_control,bo91_broad_h16_17_20_ps0445_margin080_control,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,1067.36,1047.85,-19.51,1.4132149882,1.4129932946,-0.0002216936,0.1240310078,0.1215953307,-0.0024356771,1.5601999121,1.2349834469,BQ changes hour/floor surface only with entry-known fields(BQ는 진입시점 필드로 시간/하한 표면만 바꿈),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,family_top_bq04_h19_bridge_short_share_lift,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,1047.85,1047.85,0.0,1.4129932946,1.4129932946,0.0,0.1215953307,0.1215953307,0.0,1.2349834469,1.2349834469,family top comparison for BQ broad sweep(BQ 넓은 탐색 계열별 최상위 비교),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,family_top_bq06_h16_h19_bridge_overlap_guard,bq06_h16_h19_bridge_overlap_guard__h16_17_19_20__ps4425__m0800__chronological_no_overlap,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,1046.61,1047.85,1.24,1.4082685494,1.4129932946,0.0047247452,0.1214771623,0.1215953307,0.0001181684,1.2912058364,1.2349834469,family top comparison for BQ broad sweep(BQ 넓은 탐색 계열별 최상위 비교),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,family_top_bq05_extreme_multi_hour_overlap_guard,bq05_extreme_multi_hour_overlap_guard__h16_17_18_20__ps4425__m0800__chronological_no_overlap,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,1032.58,1047.85,15.27,1.4008634712,1.4129932946,0.0121298234,0.1231813773,0.1215953307,-0.0015860466,1.3484740023,1.2349834469,family top comparison for BQ broad sweep(BQ 넓은 탐색 계열별 최상위 비교),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,family_top_bq02_h16_extension_overlap_safe,bq02_h16_extension_overlap_safe__h16_17_20__ps4350__m0800__chronological_no_overlap,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,1051.55,1047.85,-3.7,1.4107725602,1.4129932946,0.0022207344,0.1214771623,0.1215953307,0.0001181684,1.432586778,1.2349834469,family top comparison for BQ broad sweep(BQ 넓은 탐색 계열별 최상위 비교),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,family_top_bq01_broad_clean_h17_20,bq01_broad_clean_h17_20__h17_20__ps4450__m0750__chronological_no_overlap,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,1044.68,1047.85,3.17,1.4163458768,1.4129932946,-0.0033525822,0.1093596059,0.1215953307,0.0122357248,1.9211703444,1.2349834469,family top comparison for BQ broad sweep(BQ 넓은 탐색 계열별 최상위 비교),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BQ_train_broad_clean_short_share_lift_scout_without_db_v1,family_top_bq03_high_short_pf_guardrail,bq03_high_short_pf_guardrail__h17_20__ps4450__m0750__chronological_no_overlap,bq04_h19_bridge_short_share_lift__h17_19_20__ps4375__m0750__chronological_no_overlap,1044.68,1047.85,3.17,1.4163458768,1.4129932946,-0.0033525822,0.1093596059,0.1215953307,0.0122357248,1.9211703444,1.2349834469,family top comparison for BQ broad sweep(BQ 넓은 탐색 계열별 최상위 비교),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
