displaced_parent_trade_index,displaced_entry_time,displaced_side,displaced_pnl,synthetic_entry_time
5,2025-01-02T19:45:00,short,1.71,2025-01-02T19:40:00
22,2025-01-07T17:40:00,short,-11.51,2025-01-07T17:25:00
137,2025-02-24T17:05:00,short,-1.17,2025-02-24T17:00:00
141,2025-02-25T17:10:00,short,8.11,2025-02-25T17:00:00
142,2025-02-25T18:05:00,short,1.81,2025-02-25T17:50:00
163,2025-03-06T19:55:00,short,-6.47,2025-03-06T19:45:00
168,2025-03-28T17:35:00,short,5.57,2025-03-28T17:20:00
285,2025-04-30T17:05:00,short,-15.38,2025-04-30T17:00:00
349,2025-05-21T20:30:00,short,-6.83,2025-05-21T20:25:00
356,2025-05-29T17:15:00,short,-2.15,2025-05-29T17:10:00
362,2025-05-30T20:00:00,short,-7.17,2025-05-30T19:40:00
466,2025-08-01T17:35:00,long,-8.53,2025-08-01T17:10:00
491,2025-08-15T17:20:00,long,-5.01,2025-08-15T17:00:00
496,2025-08-20T17:15:00,short,3.96,2025-08-20T17:00:00
511,2025-08-29T17:15:00,short,-1.4,2025-08-29T17:05:00
620,2025-10-22T20:45:00,short,-2.7,2025-10-22T20:30:00
651,2025-11-06T17:05:00,short,-3.13,2025-11-06T17:00:00
692,2025-11-20T19:40:00,short,-7.78,2025-11-20T19:35:00
750,2025-12-11T17:05:00,short,-16.94,2025-12-11T17:00:00
751,2025-12-11T17:25:00,long,-12.36,2025-12-11T17:00:00
755,2025-12-12T18:00:00,short,1.69,2025-12-12T17:35:00
802,2026-01-08T17:20:00,long,-6.86,2026-01-08T17:05:00
859,2026-01-29T17:05:00,short,9.62,2026-01-29T17:00:00
869,2026-02-03T17:05:00,short,10.82,2026-02-03T17:00:00
952,2026-02-26T17:10:00,short,17.04,2026-02-26T17:00:00
