record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count
mt5_ta_s264_aih_atrmon_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,421.11,1.3,258,1.63,187.29,21.82,2.25,460,460,0,59283,11651,11651
mt5_rt_s264_aih_atrmon_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,421.11,1.3,258,1.63,187.29,21.82,2.25,460,460,0,59283,11651,11651
mt5_ta_s264_aia_atrmon_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,407.49,1.3,259,1.57,186.12,21.94,2.19,462,462,0,59283,11651,11651
mt5_rt_s264_aia_atrmon_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,407.49,1.3,259,1.57,186.12,21.94,2.19,462,462,0,59283,11651,11651
mt5_ta_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,425.57,1.28,274,1.55,220.22,24.59,1.93,488,488,0,59283,11651,11651
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,425.57,1.28,274,1.55,220.22,24.59,1.93,488,488,0,59283,11651,11651
mt5_ta_s264_lc_atrmon_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,406.19,1.3,256,1.59,185.47,21.9,2.19,456,456,0,59283,11651,11651
mt5_rt_s264_lc_atrmon_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,406.19,1.3,256,1.59,185.47,21.9,2.19,456,456,0,59283,11651,11651
mt5_ta_s262_lih_atrmon_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,362.33,1.26,258,1.4,199.61,23.57,1.82,459,459,0,59283,11651,11651
mt5_rt_s262_lih_atrmon_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,362.33,1.26,258,1.4,199.61,23.57,1.82,459,459,0,59283,11651,11651
