record_view,candidate_alias,candidate_role,source_axis,followup_variant,route_role,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak,report_equity_drawdown_percent,report_net_profit,report_profit_factor,report_trade_count
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,274,425.57,1.28027,1.553175,0.525547,216.2,24.23957,143,5,24.59,425.57,1.28,274
mt5_rt_s264_aih_atrmon_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,atrcomp_monday_guard,routed_total,258,421.11,1.304352,1.632209,0.531008,181.11,21.245322,135,5,21.82,421.11,1.3,258
mt5_rt_s264_aia_atrmon_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,atrcomp_monday_guard,routed_total,259,407.49,1.296898,1.57332,0.528958,180.14,21.376781,135,5,21.94,407.49,1.3,259
mt5_rt_s264_lc_atrmon_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,atrcomp_monday_guard,routed_total,256,406.19,1.296808,1.58668,0.527344,179.49,21.337375,134,5,21.9,406.19,1.3,256
mt5_rt_s262_lih_atrmon_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,atrcomp_monday_guard,routed_total,258,362.33,1.262355,1.40438,0.523256,193.64,23.019496,137,5,23.57,362.33,1.26,258
mt5_ta_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,tier_only_total,274,425.57,1.28027,1.553175,0.525547,216.2,24.23957,143,5,24.59,425.57,1.28,274
mt5_ta_s264_aih_atrmon_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,atrcomp_monday_guard,tier_only_total,258,421.11,1.304352,1.632209,0.531008,181.11,21.245322,135,5,21.82,421.11,1.3,258
mt5_ta_s264_aia_atrmon_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,atrcomp_monday_guard,tier_only_total,259,407.49,1.296898,1.57332,0.528958,180.14,21.376781,135,5,21.94,407.49,1.3,259
mt5_ta_s264_lc_atrmon_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,atrcomp_monday_guard,tier_only_total,256,406.19,1.296808,1.58668,0.527344,179.49,21.337375,134,5,21.9,406.19,1.3,256
mt5_ta_s262_lih_atrmon_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,atrcomp_monday_guard,tier_only_total,258,362.33,1.262355,1.40438,0.523256,193.64,23.019496,137,5,23.57,362.33,1.26,258
