candidate_alias,candidate_role,record_view,run267e_net_profit,run267d_atrcomp_net_profit,net_delta_vs_run267d_atrcomp,run267e_profit_factor,run267d_atrcomp_profit_factor,pf_delta_vs_run267d_atrcomp,run267e_trade_count,run267d_atrcomp_trade_count,trade_delta_vs_run267d_atrcomp,run267e_equity_dd_percent,run267d_atrcomp_equity_dd_percent,dd_delta_vs_run267d_atrcomp,weakest_month,weakest_month_net,weakest_weekday,weakest_weekday_net,weakest_hour_utc,weakest_hour_net,weakest_chron_segment,weakest_chron_net,review_read
s258_stc,stress_challenger,mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,425.57,260.91,164.66,1.28027,1.138808,0.141462,274,334,-60.0,24.59,29.99,-5.4,2024-08,-49.21,Monday,-48.14,12,-40.15,chron_mid,-65.57,"constructive_guard_but_calendar_prune_watch(건설적 방어, 달력 절단 주의)"
s264_aih,challenger_core,mt5_rt_s264_aih_atrmon_historical_2024_tier_a_train_era_stress,421.11,269.2,151.91,1.304352,1.16028,0.144072,258,314,-56.0,21.82,28.73,-6.91,2024-08,-55.9,Monday,-46.97,12,-38.1,chron_mid,-65.12,"constructive_guard_but_calendar_prune_watch(건설적 방어, 달력 절단 주의)"
s264_aia,oos_anchor,mt5_rt_s264_aia_atrmon_historical_2024_tier_a_train_era_stress,407.49,261.08,146.41,1.296898,1.156383,0.140515,259,315,-56.0,21.94,28.89,-6.95,2024-08,-55.69,Monday,-46.39,12,-37.52,chron_mid,-64.41,"constructive_guard_but_calendar_prune_watch(건설적 방어, 달력 절단 주의)"
s264_lc,defensive_control,mt5_rt_s264_lc_atrmon_historical_2024_tier_a_train_era_stress,406.19,240.12,166.07,1.296808,1.147474,0.149334,256,311,-55.0,21.9,28.78,-6.88,2024-08,-55.32,Monday,-46.39,12,-37.52,chron_mid,-68.03,"constructive_guard_but_calendar_prune_watch(건설적 방어, 달력 절단 주의)"
s262_lih,validation_heavy,mt5_rt_s262_lih_atrmon_historical_2024_tier_a_train_era_stress,362.33,201.92,160.41,1.262355,1.124029,0.138326,258,313,-55.0,23.57,30.48,-6.91,2024-08,-53.29,Monday,-46.39,12,-37.52,chron_mid,-83.22,"constructive_guard_but_calendar_prune_watch(건설적 방어, 달력 절단 주의)"
