run_id,source_run_id,group_columns,group_value,trade_count,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_count_after_cost,loss_count_after_cost,win_rate_after_cost_percent,min_trade_after_cost,max_trade_after_cost,median_hold_m5_calendar,max_hold_m5_calendar,runtime_feature_status,stress_reasons,stress_score,claim_boundary(주장 경계)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,drawdown_bucket,drawdown_bucket=003_5_to_10pct,142,-331.52,379.29,-710.81,0.53360251,-2.334648,55,87,38.732394,-31.33,64.31,8.0,1100.0,"diagnostic_only_not_direct_runtime_feature(진단 전용, 직접 런타임 피처 아님)",negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),392.707187,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,drawdown_bucket,drawdown_bucket=002_2_to_5pct,316,-222.85,914.33,-1137.18,0.804032783,-0.705222,147,169,46.518987,-29.36,31.8,8.0,1095.0,"diagnostic_only_not_direct_runtime_feature(진단 전용, 직접 런타임 피처 아님)",negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),262.241511,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-03|entry_hour=21,9,-81.26,64.47,-145.73,0.442393467,-9.028889,3,6,33.333333,-37.11,45.76,230.0,819.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수);tail_loss(꼬리 손실),225.205395,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+side,entry_month=2025-09|side=short,3,-35.11,0.0,-35.11,0.0,-11.703333,0,3,0.0,-13.18,-9.17,8.0,8.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),217.55,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,drawdown_bucket,drawdown_bucket=005_20_to_40pct,66,-141.27,255.65,-396.92,0.64408445,-2.140455,30,36,45.454545,-37.11,37.84,8.0,818.0,"diagnostic_only_not_direct_runtime_feature(진단 전용, 직접 런타임 피처 아님)",negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),196.794999,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-03|entry_hour=16,7,-50.6,4.76,-55.36,0.085982659,-7.228571,2,5,28.571429,-21.13,3.59,8.0,8.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),176.333464,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+side,entry_month=2025-06|side=short,1,-9.65,0.0,-9.65,0.0,-9.65,0,1,0.0,-9.65,-9.65,8.0,8.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),167.45,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-08|entry_hour=20,2,-18.09,1.83,-19.92,0.09186747,-9.045,1,1,50.0,-19.92,1.83,130.0,249.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),165.414639,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-10|entry_hour=20,9,-47.39,5.69,-53.08,0.107196684,-5.265556,3,6,33.333333,-17.22,2.83,8.0,10.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),148.824783,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-04|entry_hour=16,14,-63.99,40.39,-104.38,0.386951523,-4.570714,6,8,42.857143,-26.97,25.05,8.0,8.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수);tail_loss(꼬리 손실),148.772768,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
