run_id,source_run_id,group_columns,group_value,trade_count,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_count_after_cost,loss_count_after_cost,win_rate_after_cost_percent,min_trade_after_cost,max_trade_after_cost,median_hold_m5_calendar,max_hold_m5_calendar,runtime_feature_status,stress_reasons,stress_score,claim_boundary(주장 경계),candidate_rank,candidate_use
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_hour,entry_hour=16,177,-112.31,615.5,-727.81,0.845687748,-0.63452,86,91,48.587571,-26.97,27.76,8.0,15.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),140.652666,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,1,session_filter_or_soft_size_probe(세션 필터 또는 소프트 사이징 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_hour+side,entry_hour=16|side=short,32,-81.47,105.38,-186.85,0.563981804,-2.545938,11,21,34.375,-21.62,25.39,8.0,15.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),134.281887,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2,session_filter_or_soft_size_probe(세션 필터 또는 소프트 사이징 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month,entry_month=2025-03,87,-88.94,359.26,-448.2,0.801561803,-1.022299,43,44,49.425287,-37.11,45.76,8.0,819.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),126.585423,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,3,diagnostic_guardrail_probe(진단 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+side,entry_month=2025-03|side=long,70,-57.99,324.7,-382.69,0.848467428,-0.828429,37,33,52.857143,-37.11,45.76,8.0,819.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),90.817283,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,4,side_quality_guardrail_probe(방향 품질 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2026-03|entry_hour=18,23,-36.47,47.86,-84.33,0.567532314,-1.585652,11,12,47.826087,-17.19,9.3,8.0,9.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),77.634195,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,5,session_filter_or_soft_size_probe(세션 필터 또는 소프트 사이징 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-04|entry_hour=17,20,-34.8,58.34,-93.14,0.626368907,-1.74,9,11,45.0,-20.51,16.32,8.0,8.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),75.757088,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,6,session_filter_or_soft_size_probe(세션 필터 또는 소프트 사이징 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-12|entry_hour=17,21,-32.77,46.43,-79.2,0.586237374,-1.560476,11,10,52.380952,-20.86,7.39,8.0,15.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),72.977406,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,7,session_filter_or_soft_size_probe(세션 필터 또는 소프트 사이징 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-03|entry_hour=17,22,-29.16,60.79,-89.95,0.6758199,-1.325455,10,12,45.454545,-14.93,21.02,8.0,17.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),63.411758,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,8,session_filter_or_soft_size_probe(세션 필터 또는 소프트 사이징 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,side,side=long,952,942.33,3733.39,-2791.06,1.337624415,0.989842,534,418,56.092437,-40.91,89.79,8.0,1100.0,entry_known_candidate(진입 시점 사용 가능 후보),tail_loss(꼬리 손실),57.5325,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,9,side_quality_guardrail_probe(방향 품질 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month,entry_month=2025-09,49,-32.61,115.79,-148.4,0.780256065,-0.66551,19,30,38.77551,-14.15,31.8,9.0,233.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),55.73716,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,10,diagnostic_guardrail_probe(진단 가드레일 탐침)
