run_id,input_path,exists,sha256,role,timestamp_boundary(시점 경계),claim_boundary(주장 경계)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Y/final_decision.json,True,319d839ba9c3e687a1166ab8dca95146da295a122ffc1eb6ae2374760e6bac52,parent_final_decision(부모 최종 판정),"post-run review evidence only, not runtime feature(실행 후 검토 근거, 런타임 피처 아님)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Y/required_gate_coverage_audit.csv,True,b82b70923dead39c437c0d94199f48debbe6cea460592f75db5fe306ac6a8c90,parent_gate_audit(부모 게이트 감사),"post-run review evidence only, not runtime feature(실행 후 검토 근거, 런타임 피처 아님)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Y/closed_trade_attribution.csv,True,6eef3eaa8480e74de1ac0a80f4d90301b4c4157d6ccf47bb7ff877bd6bc3991a,mt5_closed_trade_evidence(MT5 종료 거래 근거),"post-run review evidence only, not runtime feature(실행 후 검토 근거, 런타임 피처 아님)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Y/monthly_attribution.csv,True,a8a399e3aed0484f910ec4d2dcc1db8bee8fd03696a69864bd0520dd647ce9c2,performance_attribution_source(성과 귀속 원천),"post-run review evidence only, not runtime feature(실행 후 검토 근거, 런타임 피처 아님)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Y/entry_hour_attribution.csv,True,7139682587efbd96d2c77929a4ae255188a7b78a1b4162f7fddc9e65e32a01e3,performance_attribution_source(성과 귀속 원천),"post-run review evidence only, not runtime feature(실행 후 검토 근거, 런타임 피처 아님)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Y/side_attribution.csv,True,1e3f4940349337bfbb990e4da64b025babe1c124bc7c31e5b11ebb70e8f70d99,performance_attribution_source(성과 귀속 원천),"post-run review evidence only, not runtime feature(실행 후 검토 근거, 런타임 피처 아님)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Y/hold_bucket_attribution.csv,True,e50c3580d0648e9fb296438f046b7073246bbc095039271f66b2d3b7fc9bc139,performance_attribution_source(성과 귀속 원천),"post-run review evidence only, not runtime feature(실행 후 검토 근거, 런타임 피처 아님)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Y/drawdown_bucket_attribution.csv,True,2f906448674c70bed2e3949f695875aab3bab70f5fda4d254ad4cf1a2ff4f9b5,performance_attribution_source(성과 귀속 원천),"post-run review evidence only, not runtime feature(실행 후 검토 근거, 런타임 피처 아님)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Y/cost_drawdown_review.csv,True,eac0fe8f6100a2776366ecacbe7dd2c67bcd441ee444465ebbe39b61d5e359e8,supporting_evidence(보조 근거),"post-run review evidence only, not runtime feature(실행 후 검토 근거, 런타임 피처 아님)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364Y/review_findings.csv,True,1f4f73da1e640c052ea30531f6908f97e4a2e3a8e857a6115246e3564caa086a,supporting_evidence(보조 근거),"post-run review evidence only, not runtime feature(실행 후 검토 근거, 런타임 피처 아님)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
