time_open_unix,time_close_unix,contract_symbol,broker_symbol,timeframe,open,high,low,close,tick_volume,spread_points,real_volume,time_basis
1776128400,1776128700,US10YR,US10YR,M5,111.23,111.24,111.23,111.24,2,3,0,MT5_PY_API_UNIX_SECONDS
1776128700,1776129000,US10YR,US10YR,M5,111.26,111.26,111.26,111.26,1,3,0,MT5_PY_API_UNIX_SECONDS
1776131100,1776131400,US10YR,US10YR,M5,111.24,111.24,111.24,111.24,1,3,0,MT5_PY_API_UNIX_SECONDS
1776131400,1776131700,US10YR,US10YR,M5,111.26,111.26,111.26,111.26,1,3,0,MT5_PY_API_UNIX_SECONDS
1776132000,1776132300,US10YR,US10YR,M5,111.27,111.27,111.27,111.27,1,4,0,MT5_PY_API_UNIX_SECONDS
1776132300,1776132600,US10YR,US10YR,M5,111.26,111.27,111.26,111.26,3,3,0,MT5_PY_API_UNIX_SECONDS
1776132600,1776132900,US10YR,US10YR,M5,111.27,111.27,111.27,111.27,1,4,0,MT5_PY_API_UNIX_SECONDS
1776133800,1776134100,US10YR,US10YR,M5,111.29,111.29,111.29,111.29,1,3,0,MT5_PY_API_UNIX_SECONDS
1776134100,1776134400,US10YR,US10YR,M5,111.3,111.3,111.29,111.29,4,3,0,MT5_PY_API_UNIX_SECONDS
1776134700,1776135000,US10YR,US10YR,M5,111.3,111.3,111.29,111.29,4,3,0,MT5_PY_API_UNIX_SECONDS
1776135300,1776135600,US10YR,US10YR,M5,111.27,111.29,111.27,111.29,2,3,0,MT5_PY_API_UNIX_SECONDS
1776135600,1776135900,US10YR,US10YR,M5,111.27,111.29,111.27,111.27,5,3,0,MT5_PY_API_UNIX_SECONDS
1776135900,1776136200,US10YR,US10YR,M5,111.26,111.27,111.26,111.27,2,3,0,MT5_PY_API_UNIX_SECONDS
1776136200,1776136500,US10YR,US10YR,M5,111.26,111.29,111.26,111.29,6,3,0,MT5_PY_API_UNIX_SECONDS
1776136500,1776136800,US10YR,US10YR,M5,111.3,111.32,111.3,111.3,3,3,0,MT5_PY_API_UNIX_SECONDS
1776136800,1776137100,US10YR,US10YR,M5,111.32,111.32,111.3,111.3,2,3,0,MT5_PY_API_UNIX_SECONDS
1776137100,1776137400,US10YR,US10YR,M5,111.29,111.3,111.27,111.27,6,3,0,MT5_PY_API_UNIX_SECONDS
1776137400,1776137700,US10YR,US10YR,M5,111.29,111.32,111.27,111.3,6,3,0,MT5_PY_API_UNIX_SECONDS
1776138000,1776138300,US10YR,US10YR,M5,111.29,111.3,111.29,111.3,2,3,0,MT5_PY_API_UNIX_SECONDS
1776138300,1776138600,US10YR,US10YR,M5,111.29,111.32,111.29,111.3,7,3,0,MT5_PY_API_UNIX_SECONDS
1776138900,1776139200,US10YR,US10YR,M5,111.32,111.32,111.32,111.32,1,3,0,MT5_PY_API_UNIX_SECONDS
1776139200,1776139500,US10YR,US10YR,M5,111.3,111.3,111.29,111.29,6,3,0,MT5_PY_API_UNIX_SECONDS
1776139500,1776139800,US10YR,US10YR,M5,111.3,111.3,111.29,111.29,12,3,0,MT5_PY_API_UNIX_SECONDS
1776139800,1776140100,US10YR,US10YR,M5,111.27,111.29,111.27,111.29,2,3,0,MT5_PY_API_UNIX_SECONDS
1776140400,1776140700,US10YR,US10YR,M5,111.27,111.29,111.27,111.29,2,3,0,MT5_PY_API_UNIX_SECONDS
1776141300,1776141600,US10YR,US10YR,M5,111.3,111.3,111.29,111.29,2,3,0,MT5_PY_API_UNIX_SECONDS
1776141600,1776141900,US10YR,US10YR,M5,111.3,111.3,111.29,111.3,3,3,0,MT5_PY_API_UNIX_SECONDS
1776141900,1776142200,US10YR,US10YR,M5,111.32,111.32,111.32,111.32,1,3,0,MT5_PY_API_UNIX_SECONDS
1776142200,1776142500,US10YR,US10YR,M5,111.3,111.32,111.3,111.3,7,3,0,MT5_PY_API_UNIX_SECONDS
1776142500,1776142800,US10YR,US10YR,M5,111.29,111.29,111.29,111.29,1,3,0,MT5_PY_API_UNIX_SECONDS
1776143100,1776143400,US10YR,US10YR,M5,111.3,111.3,111.29,111.3,5,3,0,MT5_PY_API_UNIX_SECONDS
1776143400,1776143700,US10YR,US10YR,M5,111.29,111.3,111.29,111.3,2,3,0,MT5_PY_API_UNIX_SECONDS
1776144000,1776144300,US10YR,US10YR,M5,111.29,111.29,111.29,111.29,1,3,0,MT5_PY_API_UNIX_SECONDS
1776145200,1776145500,US10YR,US10YR,M5,111.3,111.3,111.29,111.29,2,3,0,MT5_PY_API_UNIX_SECONDS
1776146400,1776146700,US10YR,US10YR,M5,111.3,111.3,111.29,111.29,2,3,0,MT5_PY_API_UNIX_SECONDS
1776147300,1776147600,US10YR,US10YR,M5,111.27,111.27,111.27,111.27,1,4,0,MT5_PY_API_UNIX_SECONDS
1776147600,1776147900,US10YR,US10YR,M5,111.26,111.27,111.26,111.26,3,3,0,MT5_PY_API_UNIX_SECONDS
1776147900,1776148200,US10YR,US10YR,M5,111.27,111.27,111.27,111.27,1,4,0,MT5_PY_API_UNIX_SECONDS
1776148200,1776148500,US10YR,US10YR,M5,111.29,111.29,111.29,111.29,1,3,0,MT5_PY_API_UNIX_SECONDS
1776148500,1776148800,US10YR,US10YR,M5,111.3,111.3,111.3,111.3,1,4,0,MT5_PY_API_UNIX_SECONDS
1776149400,1776149700,US10YR,US10YR,M5,111.32,111.32,111.32,111.32,1,3,0,MT5_PY_API_UNIX_SECONDS
1776149700,1776150000,US10YR,US10YR,M5,111.3,111.32,111.3,111.3,5,3,0,MT5_PY_API_UNIX_SECONDS
1776150000,1776150300,US10YR,US10YR,M5,111.32,111.32,111.3,111.32,3,3,0,MT5_PY_API_UNIX_SECONDS
1776150900,1776151200,US10YR,US10YR,M5,111.33,111.33,111.33,111.33,1,4,0,MT5_PY_API_UNIX_SECONDS
1776151200,1776151500,US10YR,US10YR,M5,111.32,111.33,111.32,111.33,4,3,0,MT5_PY_API_UNIX_SECONDS
1776151500,1776151800,US10YR,US10YR,M5,111.32,111.32,111.32,111.32,1,3,0,MT5_PY_API_UNIX_SECONDS
1776152100,1776152400,US10YR,US10YR,M5,111.3,111.32,111.3,111.3,3,3,0,MT5_PY_API_UNIX_SECONDS
1776152700,1776153000,US10YR,US10YR,M5,111.32,111.32,111.32,111.32,1,3,0,MT5_PY_API_UNIX_SECONDS
1776153000,1776153300,US10YR,US10YR,M5,111.33,111.33,111.33,111.33,1,4,0,MT5_PY_API_UNIX_SECONDS
1776153900,1776154200,US10YR,US10YR,M5,111.35,111.35,111.33,111.33,4,3,0,MT5_PY_API_UNIX_SECONDS
1776155400,1776155700,US10YR,US10YR,M5,111.32,111.33,111.32,111.32,3,3,0,MT5_PY_API_UNIX_SECONDS
1776155700,1776156000,US10YR,US10YR,M5,111.3,111.32,111.3,111.32,2,3,0,MT5_PY_API_UNIX_SECONDS
1776156900,1776157200,US10YR,US10YR,M5,111.3,111.32,111.3,111.32,2,3,0,MT5_PY_API_UNIX_SECONDS
1776157200,1776157500,US10YR,US10YR,M5,111.3,111.32,111.3,111.3,17,3,0,MT5_PY_API_UNIX_SECONDS
1776157500,1776157800,US10YR,US10YR,M5,111.32,111.32,111.3,111.32,3,3,0,MT5_PY_API_UNIX_SECONDS
1776157800,1776158100,US10YR,US10YR,M5,111.3,111.3,111.3,111.3,1,4,0,MT5_PY_API_UNIX_SECONDS
1776158100,1776158400,US10YR,US10YR,M5,111.29,111.3,111.29,111.3,2,3,0,MT5_PY_API_UNIX_SECONDS
1776158400,1776158700,US10YR,US10YR,M5,111.29,111.3,111.29,111.3,4,3,0,MT5_PY_API_UNIX_SECONDS
1776159300,1776159600,US10YR,US10YR,M5,111.32,111.32,111.32,111.32,1,3,0,MT5_PY_API_UNIX_SECONDS
1776159600,1776159900,US10YR,US10YR,M5,111.33,111.35,111.33,111.33,7,3,0,MT5_PY_API_UNIX_SECONDS
1776159900,1776160200,US10YR,US10YR,M5,111.32,111.33,111.32,111.33,10,3,0,MT5_PY_API_UNIX_SECONDS
1776160200,1776160500,US10YR,US10YR,M5,111.32,111.33,111.32,111.32,5,3,0,MT5_PY_API_UNIX_SECONDS
1776160500,1776160800,US10YR,US10YR,M5,111.33,111.33,111.32,111.32,2,3,0,MT5_PY_API_UNIX_SECONDS
1776160800,1776161100,US10YR,US10YR,M5,111.3,111.38,111.3,111.38,32,3,0,MT5_PY_API_UNIX_SECONDS
1776161100,1776161400,US10YR,US10YR,M5,111.37,111.43,111.37,111.43,23,3,0,MT5_PY_API_UNIX_SECONDS
1776161400,1776161700,US10YR,US10YR,M5,111.41,111.41,111.4,111.41,17,3,0,MT5_PY_API_UNIX_SECONDS
1776161700,1776162000,US10YR,US10YR,M5,111.4,111.4,111.38,111.38,12,3,0,MT5_PY_API_UNIX_SECONDS
1776162000,1776162300,US10YR,US10YR,M5,111.37,111.4,111.37,111.37,13,3,0,MT5_PY_API_UNIX_SECONDS
1776162300,1776162600,US10YR,US10YR,M5,111.38,111.38,111.37,111.37,4,3,0,MT5_PY_API_UNIX_SECONDS
1776162600,1776162900,US10YR,US10YR,M5,111.38,111.38,111.37,111.38,11,3,0,MT5_PY_API_UNIX_SECONDS
1776162900,1776163200,US10YR,US10YR,M5,111.37,111.4,111.37,111.38,6,3,0,MT5_PY_API_UNIX_SECONDS
1776163200,1776163500,US10YR,US10YR,M5,111.4,111.4,111.38,111.38,2,3,0,MT5_PY_API_UNIX_SECONDS
1776163500,1776163800,US10YR,US10YR,M5,111.4,111.4,111.37,111.37,11,3,0,MT5_PY_API_UNIX_SECONDS
1776163800,1776164100,US10YR,US10YR,M5,111.38,111.38,111.37,111.37,2,3,0,MT5_PY_API_UNIX_SECONDS
1776164100,1776164400,US10YR,US10YR,M5,111.38,111.38,111.37,111.37,4,3,0,MT5_PY_API_UNIX_SECONDS
1776164400,1776164700,US10YR,US10YR,M5,111.35,111.38,111.35,111.37,6,3,0,MT5_PY_API_UNIX_SECONDS
1776164700,1776165000,US10YR,US10YR,M5,111.38,111.38,111.37,111.37,6,3,0,MT5_PY_API_UNIX_SECONDS
1776165000,1776165300,US10YR,US10YR,M5,111.35,111.38,111.35,111.37,24,3,0,MT5_PY_API_UNIX_SECONDS
1776165300,1776165600,US10YR,US10YR,M5,111.35,111.37,111.35,111.37,6,3,0,MT5_PY_API_UNIX_SECONDS
1776165600,1776165900,US10YR,US10YR,M5,111.35,111.37,111.35,111.35,9,3,0,MT5_PY_API_UNIX_SECONDS
1776165900,1776166200,US10YR,US10YR,M5,111.37,111.37,111.35,111.37,15,3,0,MT5_PY_API_UNIX_SECONDS
1776166200,1776166500,US10YR,US10YR,M5,111.38,111.38,111.37,111.37,2,3,0,MT5_PY_API_UNIX_SECONDS
1776166500,1776166800,US10YR,US10YR,M5,111.35,111.37,111.35,111.37,18,3,0,MT5_PY_API_UNIX_SECONDS
1776166800,1776167100,US10YR,US10YR,M5,111.35,111.37,111.33,111.37,6,3,0,MT5_PY_API_UNIX_SECONDS
1776167400,1776167700,US10YR,US10YR,M5,111.35,111.38,111.35,111.37,6,3,0,MT5_PY_API_UNIX_SECONDS
1776167700,1776168000,US10YR,US10YR,M5,111.35,111.35,111.35,111.35,1,3,0,MT5_PY_API_UNIX_SECONDS
1776168000,1776168300,US10YR,US10YR,M5,111.37,111.37,111.37,111.37,1,3,0,MT5_PY_API_UNIX_SECONDS
1776168300,1776168600,US10YR,US10YR,M5,111.35,111.35,111.35,111.35,1,3,0,MT5_PY_API_UNIX_SECONDS
1776168600,1776168900,US10YR,US10YR,M5,111.33,111.37,111.33,111.35,10,3,0,MT5_PY_API_UNIX_SECONDS
1776168900,1776169200,US10YR,US10YR,M5,111.37,111.37,111.35,111.35,8,3,0,MT5_PY_API_UNIX_SECONDS
1776169200,1776169500,US10YR,US10YR,M5,111.37,111.37,111.35,111.35,2,3,0,MT5_PY_API_UNIX_SECONDS
1776169500,1776169800,US10YR,US10YR,M5,111.33,111.35,111.33,111.33,5,3,0,MT5_PY_API_UNIX_SECONDS
