evidence_source,source_id,variant_or_adapter,split,view,profit_factor,net_profit,max_drawdown,trades_per_day,cost_stressed_expectancy,same_move_reentry_ratio,mfe_capture_ratio,status_read,failure_reasons
Stage56 raw backup anchor,run50BQ,v60_v47_et_stable_damage_firewall_h2c0_no_b,validation_is,actual_routed_total,1.180000,462.21,129.69,9.617486338797814,-0.237381,0.5261363636363636,0.6062612579914076,cost_stressed_expectancy_failed,cost_stressed_expectancy;same_move_density
Stage56 raw backup anchor,run50BQ,v60_v47_et_stable_damage_firewall_h2c0_no_b,oos,actual_routed_total,1.220000,436.33,162.2,6.948717948717949,-0.177985,0.5785977859778598,0.6158038554364587,cost_stressed_expectancy_failed,cost_stressed_expectancy;same_move_density
Stage59B post ATR/risk backup adapter,run55A,s59b_v60_backup_thr55_mr03_wideatr_sd5,validation_is,actual_routed_total,1.0100000000,28.3900000000,360.8800000000,8.4590163934,-0.2816602067,0.3875968992,0.6197117719,weak_validation_or_oos_pf,validation_pf_lt_1_10;validation_cost_stressed_expectancy_not_positive;weak_post_atr_risk_backup_adapter
Stage59B post ATR/risk backup adapter,run55A,s59b_v60_backup_thr55_mr03_wideatr_sd5,oos,actual_routed_total,1.0600000000,199.6800000000,247.0300000000,6.0102564103,-0.1296245734,0.4027303754,0.6262471749,weak_validation_or_oos_pf,validation_pf_lt_1_10;validation_cost_stressed_expectancy_not_positive;weak_post_atr_risk_backup_adapter
