record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count,queue_id,candidate_id,candidate_alias,candidate_role,source_test_id,state_profile,state_feature,attempt_role,model_materialization_type,materialization_boundary
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1145.81,1.59,317,3.61,336.15,17.23,3.41,572,572,0,59283,11651,11651,run267AO_s264_aih_return_shock_absorption,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1145.81,1.59,317,3.61,336.15,17.23,3.41,572,572,0,59283,11651,11651,run267AO_s264_aih_return_shock_absorption,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s264_aih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1297.57,1.62,309,4.2,402.32,18.54,3.23,562,562,0,59283,11651,11651,run267AO_s264_aih_volatility_regime_expansion,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_aih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1297.57,1.62,309,4.2,402.32,18.54,3.23,562,562,0,59283,11651,11651,run267AO_s264_aih_volatility_regime_expansion,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s264_aih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1297.62,1.64,312,4.16,374.77,17.55,3.46,565,565,0,59283,11651,11651,run267AO_s264_aih_range_expansion_pressure,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_aih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1297.62,1.64,312,4.16,374.77,17.55,3.46,565,565,0,59283,11651,11651,run267AO_s264_aih_range_expansion_pressure,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s264_aih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,844.71,1.55,280,3.02,227.32,15.09,3.72,510,510,0,59283,11651,11651,run267AO_s264_aih_trend_strength_disagreement,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_aih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,844.71,1.55,280,3.02,227.32,15.09,3.72,510,510,0,59283,11651,11651,run267AO_s264_aih_trend_strength_disagreement,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s264_lc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1104.84,1.57,314,3.52,319.64,16.89,3.46,564,564,0,59283,11651,11651,run267AO_s264_lc_return_shock_absorption,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_lc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1104.84,1.57,314,3.52,319.64,16.89,3.46,564,564,0,59283,11651,11651,run267AO_s264_lc_return_shock_absorption,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
