candidate_id,artifact_slug,feature_set_id,model_id,view_id,rows,days,rows_per_day,signal_rows,signal_rate,signals_per_day,oos_signal_rate,oos_signals_per_day,signal_rate_delta_vs_oos,signals_per_day_ratio_vs_oos,signal_long_share,density_judgment
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,2070,29,71.3793103448,442,0.21352657,15.2413793103,0.3283227848,19.0076335878,-0.1147962148,0.8018556987,0.5904977376,raw_forward_recorded_for_diagnostics
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,old_session_parity,1789,29,61.6896551724,421,0.2353269983,14.5172413793,0.3283227848,19.0076335878,-0.0929957865,0.7637584822,0.6152019002,session_parity_signal_supply_within_predeclared_band
core56_no_top3_weight_features__l2_plain_c025,c56_plain,core56_no_top3_weight_features,l2_plain_c025,raw_forward,2070,29,71.3793103448,486,0.2347826087,16.7586206897,0.3462552743,20.0458015267,-0.1114726656,0.8360164929,0.816872428,raw_forward_recorded_for_diagnostics
core56_no_top3_weight_features__l2_plain_c025,c56_plain,core56_no_top3_weight_features,l2_plain_c025,old_session_parity,1789,29,61.6896551724,472,0.2638345444,16.275862069,0.3462552743,20.0458015267,-0.0824207298,0.8119337133,0.8305084746,session_parity_signal_supply_within_predeclared_band
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,macro48_no_equity_breadth_or_top3,l2_balanced_c025,raw_forward,5484,29,189.1034482759,2341,0.4268781911,80.724137931,0.3263449367,18.893129771,0.1005332544,4.272671543,0.8564715933,raw_forward_not_session_parity_comparable
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,macro48_no_equity_breadth_or_top3,l2_balanced_c025,old_session_parity,1789,29,61.6896551724,412,0.2302962549,14.2068965517,0.3263449367,18.893129771,-0.0960486818,0.7519609892,0.5946601942,session_parity_signal_supply_within_predeclared_band
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,macro48_no_equity_breadth_or_top3,l2_plain_c025,raw_forward,5484,29,189.1034482759,2562,0.4671772429,88.3448275862,0.3444092827,19.9389312977,0.1227679602,4.4307704494,0.93754879,raw_forward_not_session_parity_comparable
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,macro48_no_equity_breadth_or_top3,l2_plain_c025,old_session_parity,1789,29,61.6896551724,458,0.2560089435,15.7931034483,0.3444092827,19.9389312977,-0.0884003392,0.7920737181,0.8318777293,session_parity_signal_supply_within_predeclared_band
us100_technical42_no_external__l2_balanced_c025,u42_bal,us100_technical42_no_external,l2_balanced_c025,raw_forward,7649,35,218.5428571429,3099,0.4051510001,88.5428571429,0.323971519,18.7557251908,0.0811794811,4.7208442351,0.8815747015,raw_forward_not_session_parity_comparable
us100_technical42_no_external__l2_balanced_c025,u42_bal,us100_technical42_no_external,l2_balanced_c025,old_session_parity,1914,29,66.0,401,0.2095088819,13.8275862069,0.323971519,18.7557251908,-0.1144626371,0.737246151,0.5586034913,session_parity_signal_supply_within_predeclared_band
us100_technical42_no_external__l2_plain_c025,u42_plain,us100_technical42_no_external,l2_plain_c025,raw_forward,7649,35,218.5428571429,3291,0.4302523206,94.0285714286,0.34032173,19.7022900763,0.0899305906,4.7724691426,0.9474323914,raw_forward_not_session_parity_comparable
us100_technical42_no_external__l2_plain_c025,u42_plain,us100_technical42_no_external,l2_plain_c025,old_session_parity,1914,29,66.0,463,0.2419017764,15.9655172414,0.34032173,19.7022900763,-0.0984199536,0.8103381475,0.8099352052,session_parity_signal_supply_within_predeclared_band
