candidate_id,artifact_slug,feature_set_id,model_id,view_id,slice_type,slice_value,rows,signal_rows,signal_rate,signal_long,signal_short,signal_long_share,mean_max_probability,mean_probability_margin
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,16,145,82,0.5655172414,56,26,0.6829268293,0.4463802303,0.0970108725
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,17,345,119,0.3449275362,104,15,0.8739495798,0.4201720708,0.0829085702
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,18,342,95,0.2777777778,55,40,0.5789473684,0.4228630314,0.0923715144
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,19,326,49,0.1503067485,23,26,0.4693877551,0.4240684471,0.1047861705
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,20,308,37,0.1201298701,14,23,0.3783783784,0.4349253886,0.1258548607
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,21,295,34,0.1152542373,6,28,0.1764705882,0.4666260313,0.1690148942
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,22,280,25,0.0892857143,3,22,0.12,0.4927418545,0.2063678289
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,23,29,1,0.0344827586,0,1,0.0,0.5194360953,0.2553954494
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,2026-04,920,114,0.1239130435,58,56,0.5087719298,0.4383653528,0.1263488956
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,2026-05,1150,328,0.2852173913,203,125,0.618902439,0.4468668771,0.1269500432
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,cash_open,2070,442,0.21352657,261,181,0.5904977376,0.4430884219,0.1266828665
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,high_vol,690,315,0.4565217391,198,117,0.6285714286,0.4271737514,0.0861135237
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,low_vol,690,28,0.0405797101,20,8,0.7142857143,0.4807641695,0.194608778
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,mid_vol,690,99,0.1434782609,43,56,0.4343434343,0.4213273447,0.0993262979
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,high_adx,885,207,0.2338983051,124,83,0.5990338164,0.4416965194,0.1206250914
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,low_adx,688,126,0.1831395349,69,57,0.5476190476,0.4469878098,0.1394345138
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,mid_adx,497,109,0.2193158954,68,41,0.623853211,0.4401690149,0.1198176707
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,high_vix,531,112,0.2109227872,30,82,0.2678571429,0.4503235554,0.1412577575
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,low_vix,589,134,0.2275042445,118,16,0.8805970149,0.4434051969,0.1237876637
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,neutral_vix,950,196,0.2063157895,113,83,0.5765306122,0.4388479625,0.1203312953
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,neutral_usd,1048,190,0.1812977099,129,61,0.6789473684,0.4414193134,0.1235716215
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,strong_usd,585,125,0.2136752137,29,96,0.232,0.4488122187,0.1386801058
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,weak_usd,437,127,0.290617849,103,24,0.811023622,0.4394289355,0.1180837813
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,high_rate,401,85,0.2119700748,72,13,0.8470588235,0.4586877644,0.1514439142
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,low_rate,617,168,0.2722852512,61,107,0.3630952381,0.4365701711,0.116495581
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,,neutral_rate,1052,189,0.1796577947,128,61,0.6772486772,0.4409652511,0.1232193447
