artifact_slug,candidate_id,view_id,prediction_path,prediction_sha256,signal_payload_path,signal_payload_sha256,signal_rows,threshold_policy,threshold,claim_boundary
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/c56_bal_raw_forward_score.parquet,59fab1baf2e4b2cb8135358a5aea54b997a14f4507f7cb6748c9eba10c8440e7,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_bal_raw_forward_signals.csv,a69e8e71ac683ee26ca1e0e850bfbf59b19b88eecca4cfbe5931bf55f3c5090a,442,train_only_nonflat_margin_q60,0.06677452101508195,research_development_only_fixed_threshold_control_surface_materialization_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/c56_bal_old_session_parity_score.parquet,aeff16dec9b025f4809a8be550abb8db4f291708446907ada70dfa8e43bddeb3,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_bal_old_session_parity_signals.csv,c737a43cc4cf759cecdda5ba614087deb97310f53f24ceecaa400255fa4d410b,421,train_only_nonflat_margin_q60,0.06677452101508195,research_development_only_fixed_threshold_control_surface_materialization_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/c56_plain_raw_forward_score.parquet,266d789abab71781c18c0e8e99c2434c1c79006b7afe4c4c012dd6346cc9b1ff,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_raw_forward_signals.csv,5a103496492025c874f363b5b48381912e827d9fe3a920c2537dc331223122e7,486,train_only_nonflat_margin_q60,0.07096937220715405,research_development_only_fixed_threshold_control_surface_materialization_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/c56_plain_old_session_parity_score.parquet,8877d77206b5c3af5729d475dde750d367ca9e85ddab900d6b7a863d51a0746e,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_old_session_parity_signals.csv,b2b947b45cf18739aa20bfdec105a5808d1a2396bb3ccfea12f4b1abf0ccfb9e,472,train_only_nonflat_margin_q60,0.07096937220715405,research_development_only_fixed_threshold_control_surface_materialization_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/m48_bal_raw_forward_score.parquet,882662287e79dacfdfdac134e2553384dea4d82ad8807b5522739e80e163d1b3,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/m48_bal_raw_forward_signals.csv,cd966a44eac350bd7c57e761a693da010cdd1482fe14fe387e8117a9b915380d,2341,train_only_nonflat_margin_q60,0.06601092665437092,research_development_only_fixed_threshold_control_surface_materialization_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/m48_bal_old_session_parity_score.parquet,a27dccc6654af61210d7322831292cad0a66c6652d0ead2a99ff9187e58300d8,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/m48_bal_old_session_parity_signals.csv,4bf3fbbadffa7c14cbbe5f9d29de2ed91e3c58c31614c0cf5b4bd822fda2664d,412,train_only_nonflat_margin_q60,0.06601092665437092,research_development_only_fixed_threshold_control_surface_materialization_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,raw_forward,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/m48_plain_raw_forward_score.parquet,b852c08b3dbda7a3c365f6735479ee1008b5988d1edfc500141a23fd27925d35,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/m48_plain_raw_forward_signals.csv,cef275247adde84edac7972bed964ed7d7c947157614d4b990083366c7f5bac4,2562,train_only_nonflat_margin_q60,0.07078808758599892,research_development_only_fixed_threshold_control_surface_materialization_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,old_session_parity,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/m48_plain_old_session_parity_score.parquet,cc9c0e8e9904681898f8bd6a73bfc86993e77776775b58890e2fbdb109bb131e,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/m48_plain_old_session_parity_signals.csv,017c44dd7177cb2134704039acb83a445d64e2607054342085f88ec5442e8cc4,458,train_only_nonflat_margin_q60,0.07078808758599892,research_development_only_fixed_threshold_control_surface_materialization_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal,us100_technical42_no_external__l2_balanced_c025,raw_forward,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/u42_bal_raw_forward_score.parquet,3ffd1908ab0beebcd5c85f411c9b4177227b7c435e7171c7f2961632a3dae865,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/u42_bal_raw_forward_signals.csv,25f9948ef5e2e00fdfa04097972294ee11ce2f65e3e6760c4b556bda18a49944,3099,train_only_nonflat_margin_q60,0.06160298154533757,research_development_only_fixed_threshold_control_surface_materialization_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal,us100_technical42_no_external__l2_balanced_c025,old_session_parity,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/u42_bal_old_session_parity_score.parquet,90f4dbc3876fdb4aa2560a9cb14f05bf2c69fd2cfccd12a62ddcacf1c86321b6,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/u42_bal_old_session_parity_signals.csv,312d404edf8d039909cf420ee1e27545b9366dc4e74be42d6f6cb539544a257e,401,train_only_nonflat_margin_q60,0.06160298154533757,research_development_only_fixed_threshold_control_surface_materialization_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
