run_id,stage_id,attempt_name,split,tier_scope,tester_status,runtime_status,report_status,net_profit,profit_factor,trade_count,report_path
run02X_lgbm_fwd18_rank_threshold_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,routed_oos,oos,Tier A+B,completed,completed,completed,62.51,1.23,19,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02X_lgbm_fwd18_rank_threshold_v1/mt5/reports/Project_Obsidian_Prime_v2_run02X_lgbm_fwd18_rank_threshold_v1_routed_oos.htm
run02X_lgbm_fwd18_rank_threshold_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,routed_validation_is,validation,Tier A+B,completed,completed,completed,-42.96,0.92,27,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02X_lgbm_fwd18_rank_threshold_v1/mt5/reports/Project_Obsidian_Prime_v2_run02X_lgbm_fwd18_rank_threshold_v1_routed_validation_is.htm
run02Y_lgbm_fwd18_inverse_rank_threshold_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,routed_oos,oos,Tier A+B,completed,completed,completed,-80.75,0.76,19,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02Y_lgbm_fwd18_inverse_rank_threshold_v1/mt5/reports/Project_Obsidian_Prime_v2_run02Y_lgbm_fwd18_inverse_rank_threshold_v1_routed_oos.htm
run02Y_lgbm_fwd18_inverse_rank_threshold_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,routed_validation_is,validation,Tier A+B,completed,completed,completed,16.21,1.03,27,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02Y_lgbm_fwd18_inverse_rank_threshold_v1/mt5/reports/Project_Obsidian_Prime_v2_run02Y_lgbm_fwd18_inverse_rank_threshold_v1_routed_validation_is.htm
run02AF_lgbm_fwd18_source_session_190_210_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,routed_oos,oos,Tier A+B,completed,completed,completed,-176.49,0.75,34,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AF_lgbm_fwd18_source_session_190_210_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AF_lgbm_fwd18_source_session_190_210_v1_routed_oos.htm
run02AF_lgbm_fwd18_source_session_190_210_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,routed_validation_is,validation,Tier A+B,completed,completed,completed,6.64,1.01,35,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AF_lgbm_fwd18_source_session_190_210_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AF_lgbm_fwd18_source_session_190_210_v1_routed_validation_is.htm
run02AF_lgbm_fwd18_source_session_190_210_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_a_only_oos,oos,Tier A,completed,completed,completed,-194.69,0.74,33,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AF_lgbm_fwd18_source_session_190_210_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AF_lgbm_fwd18_source_session_190_210_v1_tier_a_only_oos.htm
run02AF_lgbm_fwd18_source_session_190_210_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_a_only_validation_is,validation,Tier A,completed,completed,completed,-19.45,0.97,31,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AF_lgbm_fwd18_source_session_190_210_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AF_lgbm_fwd18_source_session_190_210_v1_tier_a_only_validation_is.htm
run02AF_lgbm_fwd18_source_session_190_210_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_b_fallback_only_oos,oos,Tier B,completed,completed,completed,-60.39,0.67,3,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AF_lgbm_fwd18_source_session_190_210_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AF_lgbm_fwd18_source_session_190_210_v1_tier_b_fallback_only_oos.htm
run02AF_lgbm_fwd18_source_session_190_210_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_b_fallback_only_validation_is,validation,Tier B,completed,completed,completed,175.53,0.0,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AF_lgbm_fwd18_source_session_190_210_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AF_lgbm_fwd18_source_session_190_210_v1_tier_b_fallback_only_validation_is.htm
