split,test_period,candidate_id,signal_count_diff,feature_ready_diff,proxy_net_profit,runtime_net_profit,net_profit_gap_runtime_minus_proxy,proxy_profit_factor,runtime_profit_factor,profit_factor_gap_runtime_minus_proxy,proxy_dd_percent,runtime_dd_percent,dd_gap_runtime_minus_proxy,proxy_trades_day,runtime_trades_day,trades_day_gap_runtime_minus_proxy,gap_cause
validation,2025-01-02..2025-10-01,f74e_negative_control_f74c_1161,0,0,571.2522266006504,97.11,-474.14222660065036,1.09476719685502,1.16,0.06523280314497981,7.227736867141739,11.4,4.172263132858261,1.6580882352941178,1.6544117647058822,-0.003676470588235503,runtime_economics_gap_after_signal_and_feature_parity
oos,2025-10-01..2026-04-14,f74e_negative_control_f74c_1161,0,0,558.8834912300105,61.86,-497.02349123001045,1.1281810692101244,1.13,0.0018189307898754947,5.562675325393684,9.66,4.097324674606316,1.625,1.6,-0.02499999999999991,runtime_economics_gap_after_signal_and_feature_parity
