attempt_name,record_view,report_path,expected_trade_count,parsed_trade_count,trade_count_delta,parser_status
run267cv_01_s258_stc_redzone_monday_dd_ta_2024,mt5_ta_s258_stc_redzone_monday_dd_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_01_s258_stc_redzone_monday_dd_ta_2024.htm,518,518,0,matched
run267cv_01_s258_stc_redzone_monday_dd_rt_2024,mt5_rt_s258_stc_redzone_monday_dd_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_01_s258_stc_redzone_monday_dd_rt_2024.htm,518,518,0,matched
run267cv_02_s264_aih_aih_supply_repair_ta_2024,mt5_ta_s264_aih_aih_supply_repair_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_02_s264_aih_aih_supply_repair_ta_2024.htm,283,283,0,matched
run267cv_02_s264_aih_aih_supply_repair_rt_2024,mt5_rt_s264_aih_aih_supply_repair_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_02_s264_aih_aih_supply_repair_rt_2024.htm,283,283,0,matched
run267cv_03_s264_aih_explosive_combo_ta_2024,mt5_ta_s264_aih_explosive_combo_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_03_s264_aih_explosive_combo_ta_2024.htm,464,464,0,matched
run267cv_03_s264_aih_explosive_combo_rt_2024,mt5_rt_s264_aih_explosive_combo_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_03_s264_aih_explosive_combo_rt_2024.htm,464,464,0,matched
run267cv_04_s264_aia_explosive_combo_ta_2024,mt5_ta_s264_aia_explosive_combo_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_04_s264_aia_explosive_combo_ta_2024.htm,484,484,0,matched
run267cv_04_s264_aia_explosive_combo_rt_2024,mt5_rt_s264_aia_explosive_combo_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_04_s264_aia_explosive_combo_rt_2024.htm,484,484,0,matched
run267cv_05_s258_stc_explosive_combo_ta_2024,mt5_ta_s258_stc_explosive_combo_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_05_s258_stc_explosive_combo_ta_2024.htm,486,486,0,matched
run267cv_05_s258_stc_explosive_combo_rt_2024,mt5_rt_s258_stc_explosive_combo_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CW_run267cv_05_s258_stc_explosive_combo_rt_2024.htm,486,486,0,matched
