candidate_id,artifact_slug,feature,max_abs_coef,dominant_label,dominant_sign,coef_short,coef_flat,coef_long
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,close_ema20_ratio,0.36949643331698817,short,1,0.36949643331698817,-0.17457247370200454,-0.19492395961498082
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,ema20_ema50_diff,0.33922993154729886,long,-1,0.22141996041184017,0.117809971135463,-0.33922993154729886
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,close_ema50_ratio,0.3006504790558538,short,-1,-0.3006504790558538,0.11209684644017259,0.188553632615679
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,hl_range,0.2897930370336223,flat,-1,0.1301701065248365,-0.2897930370336223,0.15962293050878693
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,ema9_ema20_diff,0.24143094438618995,long,1,-0.20686759473877459,-0.03456334964740947,0.24143094438618995
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,atr_14,0.20390413124861528,short,-1,-0.20390413124861528,0.0495128122797952,0.15439131896881272
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,atr_50,0.20094166637084024,short,1,0.20094166637084024,-0.07968112309110498,-0.12126054327973482
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,ema50_ema200_diff,0.16647052183560182,short,-1,-0.16647052183560182,0.06839584129398879,0.09807468054161453
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,hl_zscore_50,0.15068528605785306,flat,1,-0.04052134718035438,0.15068528605785306,-0.1101639388775003
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,bb_position_20,0.13844692513669385,short,1,0.13844692513669385,-0.04563320210661648,-0.09281372303007555
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,minutes_from_cash_open,0.13807047863070493,flat,1,-0.046391107136801224,0.13807047863070493,-0.0916793714939061
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,rsi_50,0.12228221310651637,short,1,0.12228221310651637,-0.10530629903851954,-0.01697591406799447
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,rsi_14,0.11719231468060874,short,-1,-0.11719231468060874,0.11016089881569867,0.007031415864911121
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,rsi_14_minus_50,0.11719190929300165,short,-1,-0.11719190929300165,0.11015989609622806,0.007032013196774527
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,atr_14_over_atr_50,0.11662486446088736,long,-1,0.06952026288302283,0.04710460157786184,-0.11662486446088736
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,trix_15,0.11137876031635621,flat,-1,0.07388820580078012,-0.11137876031635621,0.03749055451557895
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,di_spread_14,0.10856007686093909,flat,-1,0.003137778477621594,-0.10856007686093909,0.10542229838331789
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,rsi_14_slope_3,0.08405557319225342,long,1,-0.03904254328111355,-0.04501302991113699,0.08405557319225342
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,historical_vol_20,0.07959109655734269,flat,-1,0.045531043753179574,-0.07959109655734269,0.034060052804165
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,is_first_30m_after_open,0.07165165688503641,flat,-1,0.05254866559091277,-0.07165165688503641,0.019102991294120315
core56_no_top3_weight_features__l2_plain_c025,c56_plain,close_ema20_ratio,0.3475762063640613,short,1,0.3475762063640613,-0.16341822953367552,-0.18415797683038385
core56_no_top3_weight_features__l2_plain_c025,c56_plain,ema20_ema50_diff,0.33982992408341794,long,-1,0.22347885384887897,0.11635107023453976,-0.33982992408341794
core56_no_top3_weight_features__l2_plain_c025,c56_plain,hl_range,0.28931940753738955,flat,-1,0.12977822294739305,-0.28931940753738955,0.15954118458999872
core56_no_top3_weight_features__l2_plain_c025,c56_plain,close_ema50_ratio,0.2779419475668307,short,-1,-0.2779419475668307,0.09962131712122728,0.17832063044560353
core56_no_top3_weight_features__l2_plain_c025,c56_plain,ema9_ema20_diff,0.23511760301451456,long,1,-0.20905256858076485,-0.02606503443375811,0.23511760301451456
core56_no_top3_weight_features__l2_plain_c025,c56_plain,atr_14,0.20906252770378173,short,-1,-0.20906252770378173,0.05587997126711639,0.15318255643667128
core56_no_top3_weight_features__l2_plain_c025,c56_plain,atr_50,0.2052560051658925,short,1,0.2052560051658925,-0.08452702735226851,-0.12072897781362535
core56_no_top3_weight_features__l2_plain_c025,c56_plain,ema50_ema200_diff,0.17005792371604012,short,-1,-0.17005792371604012,0.06867436506171117,0.10138355865433088
