candidate_id,artifact_slug,feature_set_id,model_id,feature_count,split,rows,accuracy,balanced_accuracy,macro_f1,log_loss,mean_max_probability,mean_margin,pred_short,pred_flat,pred_long,true_short,true_flat,true_long
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,56,train,29222,0.4198549038395729,0.42245241472538547,0.4109410236922102,1.0666974392384547,0.4168267549951332,0.08861724590912363,8469,13673,7080,9064,9643,10515
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,56,validation,9844,0.4442299878098334,0.4312620696204817,0.4235853693190954,1.0620349237316336,0.4407872766682029,0.11836012546778192,2478,4609,2757,2920,3631,3293
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,56,oos,7584,0.45266350210970463,0.4384886573257911,0.4372098265252358,1.050293145105703,0.43925617882440776,0.11761738047228784,2022,3159,2403,2259,2968,2357
core56_no_top3_weight_features__l2_plain_c025,c56_plain,core56_no_top3_weight_features,l2_plain_c025,56,train,29222,0.4284101019779618,0.4230000048269454,0.41072956563485863,1.0648628154604782,0.41827943221017483,0.08641194303976361,4791,12766,11665,9064,9643,10515
core56_no_top3_weight_features__l2_plain_c025,c56_plain,core56_no_top3_weight_features,l2_plain_c025,56,validation,9844,0.4562169849654612,0.4402691234689718,0.4265474094390809,1.0629014318744527,0.4430966635816639,0.11729051431972012,1602,4414,3828,2920,3631,3293
core56_no_top3_weight_features__l2_plain_c025,c56_plain,core56_no_top3_weight_features,l2_plain_c025,56,oos,7584,0.457542194092827,0.4434854543115833,0.43487720327373164,1.0530512819833064,0.44222266871395793,0.11778678301693692,1358,3001,3225,2259,2968,2357
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,macro48_no_equity_breadth_or_top3,l2_balanced_c025,48,train,29222,0.4187940592704127,0.4214194090586967,0.4098959338971499,1.0669818643168802,0.4164293070946142,0.08791067107195877,8460,13683,7079,9064,9643,10515
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,macro48_no_equity_breadth_or_top3,l2_balanced_c025,48,validation,9844,0.44544900446972774,0.43272265240495433,0.42539601943311095,1.0621437527407782,0.44060418643899174,0.11832240668942216,2486,4605,2753,2920,3631,3293
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,macro48_no_equity_breadth_or_top3,l2_balanced_c025,48,oos,7584,0.45174050632911394,0.4375844768700623,0.43632845180307095,1.049485206375594,0.4390410897552412,0.11722046059493117,2024,3148,2412,2259,2968,2357
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,macro48_no_equity_breadth_or_top3,l2_plain_c025,48,train,29222,0.4273492574088016,0.4217318164736565,0.4091095784113368,1.0651380779464816,0.4179470309882506,0.08588697058750577,4684,12726,11812,9064,9643,10515
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,macro48_no_equity_breadth_or_top3,l2_plain_c025,48,validation,9844,0.4537789516456725,0.4377211532837075,0.4235288253063733,1.0628502606994679,0.44272597984930573,0.11684856952212483,1579,4410,3855,2920,3631,3293
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,macro48_no_equity_breadth_or_top3,l2_plain_c025,48,oos,7584,0.45701476793248946,0.4434545169700226,0.4344499586591972,1.05218197107889,0.4419338115693652,0.1174089490932871,1336,2986,3262,2259,2968,2357
us100_technical42_no_external__l2_balanced_c025,u42_bal,us100_technical42_no_external,l2_balanced_c025,42,train,29222,0.4187256176853056,0.4216788539363055,0.4086938932816057,1.0677442367056003,0.4147809731836901,0.0865500216106595,8459,13965,6798,9064,9643,10515
us100_technical42_no_external__l2_balanced_c025,u42_bal,us100_technical42_no_external,l2_balanced_c025,42,validation,9844,0.44656643640796423,0.4342661305756066,0.4267074963974309,1.0608982889546916,0.4392500166510705,0.11729335943721868,2547,4650,2647,2920,3631,3293
us100_technical42_no_external__l2_balanced_c025,u42_bal,us100_technical42_no_external,l2_balanced_c025,42,oos,7584,0.4676951476793249,0.4541117991798583,0.4529171886810976,1.0474569019860955,0.43662304162883275,0.11440897416151559,2091,3221,2272,2259,2968,2357
us100_technical42_no_external__l2_plain_c025,u42_plain,us100_technical42_no_external,l2_plain_c025,42,train,29222,0.42245568407364315,0.4165644168104475,0.4019147855826404,1.0658925362887834,0.41629187364505166,0.08382567731334482,4356,12948,11918,9064,9643,10515
us100_technical42_no_external__l2_plain_c025,u42_plain,us100_technical42_no_external,l2_plain_c025,42,validation,9844,0.4559122308004876,0.4399816803689614,0.4267127705623919,1.061381830396613,0.4408215124071873,0.1142124123751569,1644,4431,3769,2920,3631,3293
us100_technical42_no_external__l2_plain_c025,u42_plain,us100_technical42_no_external,l2_plain_c025,42,oos,7584,0.4618934599156118,0.4482307134177857,0.44030197141942723,1.0499710269456246,0.4389498765232024,0.11319280559705823,1369,3039,3176,2259,2968,2357
