run_id,group_column,group_value,trade_count,net_profit_after_cost,profit_before_swap,swap,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_count_after_cost,loss_count_after_cost,win_rate_after_cost_percent,min_trade_after_cost,max_trade_after_cost,median_hold_m5_calendar,max_hold_m5_calendar,claim_boundary(주장 경계)
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,exit_month,2025-01,66,17.54,20.87,-3.33,218.04,-200.5,1.087481297,0.265758,37,29,56.060606,-38.69,16.32,8.0,1100,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,exit_month,2025-02,54,20.25,22.1,-1.85,171.21,-150.96,1.134141494,0.375,28,26,51.851852,-20.16,14.47,8.0,240,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,exit_month,2025-03,70,-32.02,-24.99,-7.03,349.74,-381.76,0.916125314,-0.457429,37,33,52.857143,-37.11,45.76,8.0,819,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,exit_month,2025-04,86,240.56,246.85,-6.29,628.38,-387.82,1.620287762,2.797209,51,35,59.302326,-40.91,89.79,8.0,1094,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,exit_month,2025-05,58,55.71,58.67,-2.96,173.66,-117.95,1.472318779,0.960517,35,23,60.344828,-17.54,24.58,8.0,806,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,exit_month,2025-06,61,69.89,72.85,-2.96,176.37,-106.48,1.656367393,1.145738,34,27,55.737705,-19.46,24.66,8.0,808,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,exit_month,2025-07,36,16.76,17.5,-0.74,80.63,-63.87,1.262408016,0.465556,21,15,58.333333,-9.45,18.45,9.0,232,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,exit_month,2025-08,41,7.62,8.36,-0.74,123.99,-116.37,1.065480794,0.185854,22,19,53.658537,-19.92,27.76,8.0,249,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,exit_month,2025-09,45,-0.16,0.95,-1.11,113.13,-113.29,0.998587695,-0.003556,18,27,40.0,-14.15,31.8,9.0,233,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,exit_month,2025-10,61,81.19,83.04,-1.85,222.36,-141.17,1.575122193,1.330984,38,23,62.295082,-17.77,23.85,8.0,806,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
