target,profit_factor,net_profit,max_drawdown_percent,trade_count,role
legacy_34d,1.5831570000,987.6000000000,12.9091360000,404,lesson_only_kpi_target
stage142_control,1.8000000000,1186.3000000000,14.6600000000,180.0000000000,quality_control_trade_gap_remaining
