adapter_id,gate_block_mode,validation_pf,validation_net,validation_dd_percent,validation_trades,validation_trade_gain_vs_control,validation_late_net_share,oos_pf,oos_net,oos_dd_percent,oos_trades,oos_trade_gain_vs_control,oos_trade_gap_to_34d,oos_pf_gap_to_34d,oos_net_gap_to_34d,oos_dd_gap_to_34d,oos_late_net_share,read,next_probe
s142_control_reverse_bothgate_h3_cd5_risk035,both,1.5800000000,1388.2400000000,11.8500000000,265.0000000000,0.0000000000,0.6644384256,1.8000000000,1186.3000000000,14.6600000000,180.0000000000,0.0000000000,-224.0000000000,0.2168430000,198.7000000000,1.7508640000,0.4484278850,control_preserved_quality_but_trade_gap,keep_as_control
s142_route_nogate_tight_no_reverse_h3_cd5_risk035,none,1.1800000000,747.2000000000,18.2300000000,462.0000000000,197.0000000000,0.4962660600,1.2100000000,541.5400000000,34.4200000000,343.0000000000,163.0000000000,-61.0000000000,-0.3731570000,-446.0600000000,21.5108640000,0.3448129409,raw_supply_broken_quality_damage,preserve_as_failure_memory_no_more_nogate_pressure
s142_route_shortgate_no_reverse_h3_cd5_risk035,short,1.5600000000,1822.9800000000,11.8300000000,319.0000000000,54.0000000000,0.5807414234,1.5100000000,889.3400000000,20.2300000000,230.0000000000,50.0000000000,-174.0000000000,-0.0731570000,-98.2600000000,7.3208640000,0.4072458227,trade_supply_gain_quality_damaged,stage144_shortgate_quality_repair
s142_route_shortgate_reverse_h3_cd5_risk035,short,1.5600000000,1821.0000000000,11.8400000000,321.0000000000,56.0000000000,0.5896924767,1.5500000000,963.9200000000,20.2300000000,231.0000000000,51.0000000000,-173.0000000000,-0.0331570000,-23.6800000000,7.3208640000,0.4531081418,trade_supply_gain_quality_damaged,stage144_shortgate_quality_repair
