adapter_id,route_view,closed_trades,net_profit,single_trade_share,day_share,week_share,month_share,long_trades,short_trades,status
atr00_no_sltp_control,tier_a_atr_sltp_separate,407,364.18,0.117167,0.097809,0.166676,0.289253,244,163,passed
atr00_no_sltp_control,tier_b_atr_sltp_separate,98,164.25,0.31446,0.31446,0.341796,0.429163,47,51,failed_concentrated
atr01_sl1p0_tp1p5,tier_a_atr_sltp_separate,587,-51.33,1780000000.0,2180000000.0,4280000000.000001,3970000000.0,372,215,failed_concentrated
atr01_sl1p0_tp1p5,tier_b_atr_sltp_separate,122,-13.67,670000000.0,1030000000.0,830000000.0,680000000.0,60,62,failed_concentrated
atr02_sl1p5_tp2p0,tier_a_atr_sltp_separate,587,-51.33,1780000000.0,2180000000.0,4280000000.000001,3970000000.0,372,215,failed_concentrated
atr02_sl1p5_tp2p0,tier_b_atr_sltp_separate,122,-13.67,670000000.0,1030000000.0,830000000.0,680000000.0,60,62,failed_concentrated
atr03_sl2p0_tp3p0,tier_a_atr_sltp_separate,587,-51.33,1780000000.0,2180000000.0,4280000000.000001,3970000000.0,372,215,failed_concentrated
atr03_sl2p0_tp3p0,tier_b_atr_sltp_separate,122,-13.67,670000000.0,1030000000.0,830000000.0,680000000.0,60,62,failed_concentrated
atr04_sl1p0_tp2p5,tier_a_atr_sltp_separate,587,-51.33,1780000000.0,2180000000.0,4280000000.000001,3970000000.0,372,215,failed_concentrated
atr04_sl1p0_tp2p5,tier_b_atr_sltp_separate,122,-13.67,670000000.0,1030000000.0,830000000.0,680000000.0,60,62,failed_concentrated
