adapter_id,route_view,validation_closed_trades,oos_closed_trades,combined_closed_trades,validation_trades_per_month,oos_trades_per_month,weakest_wfo_window_trade_count,single_trade_share,day_share,week_share,month_share,status,failed_reasons
atr00_no_sltp_control,tier_a_atr_sltp_separate,217,190,407,36.092555,29.657051,69,0.117167,0.097809,0.166676,0.289253,passed,[]
atr00_no_sltp_control,tier_b_atr_sltp_separate,62,36,98,10.312158,5.619231,15,0.31446,0.31446,0.341796,0.429163,failed,"['oos_closed_trades_lt_40', 'combined_closed_trades_lt_100', 'single_trade_share_gt_25pct']"
atr01_sl1p0_tp1p5,tier_a_atr_sltp_separate,318,269,587,52.891393,41.988141,101,1780000000.0,2180000000.0,4280000000.000001,3970000000.0,failed,"['single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
atr01_sl1p0_tp1p5,tier_b_atr_sltp_separate,74,48,122,12.30806,7.492308,17,670000000.0,1030000000.0,830000000.0,680000000.0,failed,"['single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
atr02_sl1p5_tp2p0,tier_a_atr_sltp_separate,318,269,587,52.891393,41.988141,101,1780000000.0,2180000000.0,4280000000.000001,3970000000.0,failed,"['single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
atr02_sl1p5_tp2p0,tier_b_atr_sltp_separate,74,48,122,12.30806,7.492308,17,670000000.0,1030000000.0,830000000.0,680000000.0,failed,"['single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
atr03_sl2p0_tp3p0,tier_a_atr_sltp_separate,318,269,587,52.891393,41.988141,101,1780000000.0,2180000000.0,4280000000.000001,3970000000.0,failed,"['single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
atr03_sl2p0_tp3p0,tier_b_atr_sltp_separate,74,48,122,12.30806,7.492308,17,670000000.0,1030000000.0,830000000.0,680000000.0,failed,"['single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
atr04_sl1p0_tp2p5,tier_a_atr_sltp_separate,318,269,587,52.891393,41.988141,101,1780000000.0,2180000000.0,4280000000.000001,3970000000.0,failed,"['single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
atr04_sl1p0_tp2p5,tier_b_atr_sltp_separate,74,48,122,12.30806,7.492308,17,670000000.0,1030000000.0,830000000.0,680000000.0,failed,"['single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
