run_id,pair_id,left_candidate_id,right_candidate_id,left_net_profit,right_net_profit,net_delta_left_minus_right,left_trade_count,right_trade_count,trade_count_delta_left_minus_right,gross_result_delta_left_minus_right,expected_trade_count_delta,expected_gross_delta,prior_swap_delta,prior_net_delta,report_metric_screen,review_boundary,claim_boundary
run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd01_vs_cd02_swap_stability_control,cd02_ca01_clone_current_session,cd01_bx3_clone_current_session,997.49,997.49,0.0,1008,1008,0.0,0.0,0,0.0,-10.69,-10.69,passes_report_metric_swap_stability_screen_review_required,"report_level_only_deal_level_trade_path_and_swap_review_required(보고서 지표 전용, 딜 레벨 거래 경로와 스왑 리뷰 필요)",research_development_runtime_probe_only_no_new_model_training_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CD_execute_swap_stable_reprobe_and_source_guard_mt5_runtime_probe_without_db_v1,cd02_vs_cd03_source_overlay_value,cd02_ca01_clone_current_session,cd03_native_short_same_calendar_current_session,997.49,956.4,41.09,1008,1002,6.0,41.09,6,41.09,0.0,41.09,passes_report_metric_overlay_lift_screen_review_required,"report_level_only_deal_level_trade_path_and_swap_review_required(보고서 지표 전용, 딜 레벨 거래 경로와 스왑 리뷰 필요)",research_development_runtime_probe_only_no_new_model_training_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
