attempt_name,artifact_slug,feature_set_id,dimension,timestamp_basis,proxy_aligned_value,mt5_runtime_value,difference_proxy_minus_mt5,difference_status,claim_boundary
m48_bal_rf,m48_bal,macro48_no_equity_breadth_or_top3,feature_ready_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,5553,5553,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,macro48_no_equity_breadth_or_top3,model_ok_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,5553,5553,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,macro48_no_equity_breadth_or_top3,long_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,2056,2056,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,macro48_no_equity_breadth_or_top3,short_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,336,336,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,macro48_no_equity_breadth_or_top3,flat_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,3161,3161,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,macro48_no_equity_breadth_or_top3,feature_ready_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,5553,5553,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,macro48_no_equity_breadth_or_top3,model_ok_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,5553,5553,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,macro48_no_equity_breadth_or_top3,long_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,2457,2457,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,macro48_no_equity_breadth_or_top3,short_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,160,160,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,macro48_no_equity_breadth_or_top3,flat_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,2936,2936,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,us100_technical42_no_external,feature_ready_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,7805,7805,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,us100_technical42_no_external,model_ok_count,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,7805,7805,0,matched,research_development_only_stage336N_timestamp_aligned_parity_review_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
