run_id,session_bucket_id,session_bucket_label,record_view,split,wfo_split_role,tier_scope,route_role,net_profit,profit_factor,trade_count,status
run03N_et_volatility_regime_probe_v1,low_vol,low_vol_zero_flags,mt5_low_vol_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,0,0,0,completed
run03N_et_volatility_regime_probe_v1,low_vol,low_vol_zero_flags,mt5_low_vol_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,19.54,2,6,completed
run03N_et_volatility_regime_probe_v1,low_vol,low_vol_zero_flags,mt5_low_vol_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-11.52,0.44,6,completed
run03N_et_volatility_regime_probe_v1,mid_vol,mid_vol_one_flag,mt5_mid_vol_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-161.57,0.53,25,completed
run03N_et_volatility_regime_probe_v1,mid_vol,mid_vol_one_flag,mt5_mid_vol_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,122.78,2.13,5,completed
run03N_et_volatility_regime_probe_v1,mid_vol,mid_vol_one_flag,mt5_mid_vol_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-172.2,0.53,27,completed
run03N_et_volatility_regime_probe_v1,high_vol,high_vol_two_plus_flags,mt5_high_vol_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,90.88,1.16,71,completed
run03N_et_volatility_regime_probe_v1,high_vol,high_vol_two_plus_flags,mt5_high_vol_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-51.73,0.58,7,completed
run03N_et_volatility_regime_probe_v1,high_vol,high_vol_two_plus_flags,mt5_high_vol_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,177.24,1.31,79,completed
run03N_et_volatility_regime_probe_v1,low_vol,low_vol_zero_flags,mt5_low_vol_tier_a_only_oos,oos,test,Tier A,tier_only_total,0,0,0,completed
run03N_et_volatility_regime_probe_v1,low_vol,low_vol_zero_flags,mt5_low_vol_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,24.16,18.01,2,completed
run03N_et_volatility_regime_probe_v1,low_vol,low_vol_zero_flags,mt5_low_vol_routed_total_oos,oos,test,Tier A+B,routed_total,-23.45,0,3,completed
run03N_et_volatility_regime_probe_v1,mid_vol,mid_vol_one_flag,mt5_mid_vol_tier_a_only_oos,oos,test,Tier A,tier_only_total,0,0,0,completed
run03N_et_volatility_regime_probe_v1,mid_vol,mid_vol_one_flag,mt5_mid_vol_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,0,0,0,completed
run03N_et_volatility_regime_probe_v1,mid_vol,mid_vol_one_flag,mt5_mid_vol_routed_total_oos,oos,test,Tier A+B,routed_total,0,0,0,completed
run03N_et_volatility_regime_probe_v1,high_vol,high_vol_two_plus_flags,mt5_high_vol_tier_a_only_oos,oos,test,Tier A,tier_only_total,-29.03,0.74,22,completed
run03N_et_volatility_regime_probe_v1,high_vol,high_vol_two_plus_flags,mt5_high_vol_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-7.12,0.8,4,completed
run03N_et_volatility_regime_probe_v1,high_vol,high_vol_two_plus_flags,mt5_high_vol_routed_total_oos,oos,test,Tier A+B,routed_total,-57.62,0.58,26,completed
