run_id,split,model_id,label_id,policy_id,threshold_id,exit_mode,max_hold_m5,entry_timestamp,exit_timestamp,held_m5,side,score,threshold,entry_open,exit_open,net_profit,cost_per_trade,claim_boundary,attempt_name,runtime_trade_shape
run364M_prepare_density_lift_trade_shape_onnx_runtime_probe_without_db_v1,validation,h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,2025-01-02T16:55:00+00:00,2025-01-02T17:35:00+00:00,8,long,0.030444145203,-0.000562137088,21125.82,21011.32,-11.75,0.3,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,run364M_h12_move5_rf5_l80_n64_parent_proxy_flat_or_opp,parent_proxy_flat_or_opp
run364M_prepare_density_lift_trade_shape_onnx_runtime_probe_without_db_v1,validation,h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,2025-01-02T17:40:00+00:00,2025-01-02T18:25:00+00:00,8,long,0.017920404673,-0.000562137088,21001.19,21034.44,3.025,0.3,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,run364M_h12_move5_rf5_l80_n64_parent_proxy_flat_or_opp,parent_proxy_flat_or_opp
run364M_prepare_density_lift_trade_shape_onnx_runtime_probe_without_db_v1,validation,h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,2025-01-02T18:30:00+00:00,2025-01-02T19:10:00+00:00,8,long,0.002860158682,-0.000562137088,21039.44,21035.82,-0.662,0.3,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,run364M_h12_move5_rf5_l80_n64_parent_proxy_flat_or_opp,parent_proxy_flat_or_opp
run364M_prepare_density_lift_trade_shape_onnx_runtime_probe_without_db_v1,validation,h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,2025-01-02T19:15:00+00:00,2025-01-02T19:55:00+00:00,8,long,0.008547455072,-0.000562137088,21074.57,20792.44,-28.513,0.3,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,run364M_h12_move5_rf5_l80_n64_parent_proxy_flat_or_opp,parent_proxy_flat_or_opp
run364M_prepare_density_lift_trade_shape_onnx_runtime_probe_without_db_v1,validation,h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,2025-01-02T20:45:00+00:00,2025-01-02T21:25:00+00:00,8,long,0.001992046833,-0.000562137088,20810.32,20855.57,4.225,0.3,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,run364M_h12_move5_rf5_l80_n64_parent_proxy_flat_or_opp,parent_proxy_flat_or_opp
run364M_prepare_density_lift_trade_shape_onnx_runtime_probe_without_db_v1,validation,h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,2025-01-03T16:35:00+00:00,2025-01-03T17:15:00+00:00,8,long,0.010744303465,-0.000562137088,21079.29,21097.04,1.475,0.3,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,run364M_h12_move5_rf5_l80_n64_parent_proxy_flat_or_opp,parent_proxy_flat_or_opp
run364M_prepare_density_lift_trade_shape_onnx_runtime_probe_without_db_v1,validation,h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,2025-01-03T17:20:00+00:00,2025-01-03T18:00:00+00:00,8,long,0.018581986427,-0.000562137088,21071.66,21124.66,5.0,0.3,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,run364M_h12_move5_rf5_l80_n64_parent_proxy_flat_or_opp,parent_proxy_flat_or_opp
run364M_prepare_density_lift_trade_shape_onnx_runtime_probe_without_db_v1,validation,h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,2025-01-03T18:05:00+00:00,2025-01-03T18:45:00+00:00,8,long,0.024208068848,-0.000562137088,21148.54,21220.66,6.912,0.3,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,run364M_h12_move5_rf5_l80_n64_parent_proxy_flat_or_opp,parent_proxy_flat_or_opp
run364M_prepare_density_lift_trade_shape_onnx_runtime_probe_without_db_v1,validation,h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,2025-01-03T18:50:00+00:00,2025-01-03T19:30:00+00:00,8,long,0.036962002516,-0.000562137088,21225.29,21197.16,-3.113,0.3,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,run364M_h12_move5_rf5_l80_n64_parent_proxy_flat_or_opp,parent_proxy_flat_or_opp
run364M_prepare_density_lift_trade_shape_onnx_runtime_probe_without_db_v1,validation,h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,2025-01-03T19:35:00+00:00,2025-01-03T19:50:00+00:00,2,long,0.021172314882,-0.000562137088,21204.54,21205.79,-0.175,0.3,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,run364M_h12_move5_rf5_l80_n64_parent_proxy_flat_or_opp,parent_proxy_flat_or_opp
