adapter_id,split,chron_segment,direction,session_slice,trend_regime,adx_bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,mfe_mean,mae_mean,mfe_capture_ratio,max_closed_trade_drawdown,stage99_read
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,late,downtrend,adx_gt25,2,-33.16,0.238401,-16.580000,0.500000,16.835000,27.092500,-0.984853,43.54,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,late,range_or_weak_trend,adx_lt20,1,29.30,inf,29.300000,1.000000,45.970500,5.472000,0.637365,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,mid,downtrend,adx_20_25,2,-6.98,0.801196,-3.490000,0.500000,28.484250,21.020750,-0.122524,35.11,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,mid,downtrend,adx_gt25,9,110.36,3.701591,12.262222,0.777778,25.536833,11.018167,0.480178,22.98,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,mid,range_or_weak_trend,adx_lt20,4,100.95,inf,25.237500,1.000000,32.671625,4.974750,0.772459,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,late,sell,early,downtrend,adx_20_25,1,-36.53,0.000000,-36.530000,0.000000,28.875000,49.335000,-1.265108,36.53,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,late,sell,early,downtrend,adx_gt25,2,-40.98,0.000000,-20.490000,0.000000,7.305000,27.281250,-2.804928,40.98,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,late,sell,early,range_or_weak_trend,adx_lt20,1,45.48,inf,45.480000,1.000000,67.635000,18.427500,0.672433,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,early,downtrend,adx_20_25,5,-54.88,0.268754,-10.976000,0.400000,8.215900,21.944300,-1.335946,62.43,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,early,downtrend,adx_gt25,17,54.14,1.757945,3.184706,0.705882,13.619059,10.683882,0.233842,28.44,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,early,range_or_weak_trend,adx_lt20,5,20.50,1.840164,4.100000,0.800000,13.609800,12.513900,0.301254,24.40,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,late,range_or_weak_trend,adx_lt20,1,52.29,inf,52.290000,1.000000,63.315000,8.872500,0.825871,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,mid,downtrend,adx_20_25,5,-0.77,0.942836,-0.154000,0.400000,9.837700,15.454600,-0.015654,9.68,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,mid,downtrend,adx_gt25,1,23.59,inf,23.590000,1.000000,25.152000,15.648000,0.937898,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,mid,range_or_weak_trend,adx_lt20,4,-20.47,0.000000,-5.117500,0.000000,6.552125,14.812075,-0.781044,20.47,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,early,downtrend,adx_20_25,1,70.92,inf,70.920000,1.000000,78.200000,11.200000,0.906905,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,early,downtrend,adx_gt25,8,108.01,3.367083,13.501250,0.625000,31.575063,11.854875,0.427592,23.34,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,early,range_or_weak_trend,adx_lt20,1,46.06,inf,46.060000,1.000000,47.037500,13.780000,0.979219,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,late,downtrend,adx_20_25,1,-0.69,0.000000,-0.690000,0.000000,32.572500,6.880000,-0.021184,0.69,negative_context_slice
