adapter_id,adapter_short,candidate_gate,split,baseline_trade_count,baseline_net,baseline_profit_factor,baseline_early_net,baseline_early_profit_factor,baseline_drawdown_amount,removed_count,removed_net,projected_trade_count,projected_net,projected_profit_factor,projected_early_net,projected_early_profit_factor,projected_drawdown_amount,projected_net_delta,projected_early_delta,stage99_read
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,H2,long_early_range_adxlt20,oos,161,412.18,1.507511,18.35,1.080447,146.32,16,-41.76,145,453.94,1.629624,61.57,1.364622,121.24,41.76,43.22,improves_early_without_full_net_damage_projection
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,H2,long_any_range_adxlt20,oos,161,412.18,1.507511,18.35,1.080447,146.32,31,79.18,130,333.00,1.492771,52.11,1.327921,179.06,-79.18,33.76,improves_early_but_full_net_damage_projection
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,H2,long_early_mid_range_adxlt20,oos,161,412.18,1.507511,18.35,1.080447,146.32,28,-14.04,133,426.22,1.630718,61.97,1.389969,179.06,14.04,43.62,improves_early_without_full_net_damage_projection
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,H2,short_late_downtrend_adxgt25,oos,161,412.18,1.507511,18.35,1.080447,146.32,5,-15.03,156,427.21,1.545495,17.27,1.080247,130.21,15.03,-1.08,not_preferred_projection
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,H2,long_early_range_adxlt20,validation_is,207,213.26,1.217218,-10.38,0.961470,182.17,12,-89.32,195,302.58,1.347881,17.09,1.072714,158.27,89.32,27.47,improves_early_without_full_net_damage_projection
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,H2,long_any_range_adxlt20,validation_is,207,213.26,1.217218,-10.38,0.961470,182.17,40,-128.18,167,341.44,1.468368,49.25,1.286921,108.80,128.18,59.63,improves_early_without_full_net_damage_projection
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,H2,long_early_mid_range_adxlt20,validation_is,207,213.26,1.217218,-10.38,0.961470,182.17,34,-135.59,173,348.85,1.474807,56.07,1.326653,110.27,135.59,66.45,improves_early_without_full_net_damage_projection
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,H2,short_late_downtrend_adxgt25,validation_is,207,213.26,1.217218,-10.38,0.961470,182.17,11,-47.44,196,260.70,1.290118,9.52,1.038156,182.47,47.44,19.90,improves_early_without_full_net_damage_projection
s97_v41_h3_risk475_gate08_sl2075_tp40_cd8,CD8,long_early_range_adxlt20,oos,166,495.51,1.440790,-1.95,0.993590,172.47,17,-60.84,149,556.35,1.571277,35.27,1.147641,141.80,60.84,37.22,improves_early_without_full_net_damage_projection
s97_v41_h3_risk475_gate08_sl2075_tp40_cd8,CD8,long_any_range_adxlt20,oos,166,495.51,1.440790,-1.95,0.993590,172.47,33,75.23,133,420.28,1.459493,36.68,1.162726,184.04,-75.23,38.63,improves_early_but_full_net_damage_projection
s97_v41_h3_risk475_gate08_sl2075_tp40_cd8,CD8,long_early_mid_range_adxlt20,oos,166,495.51,1.440790,-1.95,0.993590,172.47,30,-27.43,136,522.94,1.571732,48.75,1.216273,184.04,27.43,50.70,best_oos_early_repair_projection_runtime_required
s97_v41_h3_risk475_gate08_sl2075_tp40_cd8,CD8,short_late_downtrend_adxgt25,oos,166,495.51,1.440790,-1.95,0.993590,172.47,5,-51.09,161,546.60,1.513283,19.95,1.072765,143.28,51.09,21.90,improves_early_without_full_net_damage_projection
s97_v41_h3_risk475_gate08_sl2075_tp40_cd8,CD8,long_early_range_adxlt20,validation_is,209,1000.47,1.526123,265.00,1.606213,303.01,12,-206.00,197,1206.47,1.736366,267.09,1.662919,213.94,206.00,2.09,improves_early_without_full_net_damage_projection
s97_v41_h3_risk475_gate08_sl2075_tp40_cd8,CD8,long_any_range_adxlt20,validation_is,209,1000.47,1.526123,265.00,1.606213,303.01,40,-167.83,169,1168.30,1.828817,296.39,1.978605,213.94,167.83,31.39,improves_early_without_full_net_damage_projection
s97_v41_h3_risk475_gate08_sl2075_tp40_cd8,CD8,long_early_mid_range_adxlt20,validation_is,209,1000.47,1.526123,265.00,1.606213,303.01,34,-148.81,175,1149.28,1.784459,290.52,1.940986,213.94,148.81,25.52,improves_early_without_full_net_damage_projection
s97_v41_h3_risk475_gate08_sl2075_tp40_cd8,CD8,short_late_downtrend_adxgt25,validation_is,209,1000.47,1.526123,265.00,1.606213,303.01,11,116.16,198,884.31,1.505265,73.72,1.174862,303.01,-116.16,-191.28,not_preferred_projection
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,H4,long_early_range_adxlt20,oos,157,508.45,1.475774,-6.53,0.979859,125.05,16,-21.59,141,530.04,1.563046,42.44,1.170134,98.69,21.59,48.97,improves_early_without_full_net_damage_projection
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,H4,long_any_range_adxlt20,oos,157,508.45,1.475774,-6.53,0.979859,125.05,30,139.82,127,368.63,1.409625,43.10,1.188654,131.20,-139.82,49.63,improves_early_but_full_net_damage_projection
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,H4,long_early_mid_range_adxlt20,oos,157,508.45,1.475774,-6.53,0.979859,125.05,27,46.97,130,461.48,1.512801,54.36,1.237941,131.20,-46.97,60.89,improves_early_but_full_net_damage_projection
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,H4,short_late_downtrend_adxgt25,oos,157,508.45,1.475774,-6.53,0.979859,125.05,5,-37.79,152,546.24,1.536882,14.42,1.049757,102.46,37.79,20.95,improves_early_without_full_net_damage_projection
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,H4,long_early_range_adxlt20,validation_is,197,922.25,1.461628,351.63,1.837354,275.65,12,-186.48,185,1108.73,1.637417,323.04,1.825493,237.72,186.48,-28.59,not_preferred_projection
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,H4,long_any_range_adxlt20,validation_is,197,922.25,1.461628,351.63,1.837354,275.65,37,-156.91,160,1079.16,1.708329,351.27,2.190746,195.38,156.91,-0.36,not_preferred_projection
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,H4,long_early_mid_range_adxlt20,validation_is,197,922.25,1.461628,351.63,1.837354,275.65,31,-153.01,166,1075.26,1.687287,358.96,2.208091,195.38,153.01,7.33,improves_early_without_full_net_damage_projection
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,H4,short_late_downtrend_adxgt25,validation_is,197,922.25,1.461628,351.63,1.837354,275.65,11,164.45,186,757.80,1.406172,178.06,1.452929,275.65,-164.45,-173.57,not_preferred_projection
