model_id,label_id,policy_id,threshold_id,exit_mode,max_hold_m5,split,month,run_id,trade_count,net_profit,expectancy,positive_month,claim_boundary
h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,oos,2025-10,run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,78,80.051,1.0262948718,True,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,oos,2025-11,run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,2,7.125,3.5625,True,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
h12_move5__rf5_l80_n64,h12_move5,long_only_margin,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,validation,2025-01,run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,80,-86.251,-1.0781375,False,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
h24_move8__rf5_l80_n64,h24_move8,long_only_margin,long_only_margin__density_20_0__maxhold_12__flat_or_opp,flat_or_opp,12,oos,2025-10,run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,80,24.849,0.3106125,True,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
h24_move8__rf5_l80_n64,h24_move8,long_only_margin,long_only_margin__density_20_0__maxhold_12__flat_or_opp,flat_or_opp,12,validation,2025-01,run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,72,-18.001,-0.2500138889,False,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
h24_move8__rf5_l80_n64,h24_move8,long_only_margin,long_only_margin__density_20_0__maxhold_12__flat_or_opp,flat_or_opp,12,validation,2025-02,run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,8,28.625,3.578125,True,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_12__weak_or_opp,weak_or_opp,12,oos,2025-10,run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,69,26.335,0.3816666667,True,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_12__weak_or_opp,weak_or_opp,12,oos,2025-11,run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,11,12.089,1.099,True,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_12__weak_or_opp,weak_or_opp,12,validation,2025-01,run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,67,-7.679,-0.1146119403,False,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_12__weak_or_opp,weak_or_opp,12,validation,2025-02,run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,13,12.888,0.9913846154,True,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
