run_id,model_id,base_model_id,label_id,feature_set_id,label_horizon_m5,policy_id,threshold_id,validation_density_target,score_threshold,max_hold_m5,exit_mode,cost_per_trade,trade_shape,proxy_boundary,validation_trade_count,validation_trade_density,validation_net,validation_profit_factor,validation_expectancy,validation_win_rate,validation_max_drawdown,validation_recovery_factor,validation_long_trade_count,validation_short_trade_count,validation_long_short_balance,oos_trade_count,oos_trade_density,oos_net,oos_profit_factor,oos_expectancy,oos_win_rate,oos_max_drawdown,oos_recovery_factor,oos_long_trade_count,oos_short_trade_count,oos_long_short_balance,claim_boundary,strict_cross_split_success,selection_score
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,rf4_l120_n64,h6_move3,all58,6,long_only_margin,long_only_margin__density_8_0__maxhold_4__flat_or_opp,8.0,-0.001214469784,4,flat_or_opp,0.3,single_position_dynamic_exit_skip_overlap,raw_m5_open_to_dynamic_exit_open_single_position_skip_overlap_not_mt5_strategy_tester,570,3.1147540984,31.604,1.027152929,0.055445614,0.4824561404,-119.205,0.2651231073,570,0,0.0,469,3.5801526718,50.815,1.0536518411,0.108347548,0.5031982942,-140.314,0.3621520304,469,0,0.0,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,87.3109223064
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,rf4_l120_n64,h6_move3,all58,6,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,8.0,-0.001214469784,4,weak_or_opp,0.3,single_position_dynamic_exit_skip_overlap,raw_m5_open_to_dynamic_exit_open_single_position_skip_overlap_not_mt5_strategy_tester,688,3.7595628415,76.428,1.0698646366,0.1110872093,0.4622093023,-121.627,0.6283802116,688,0,0.0,561,4.2824427481,55.367,1.0620073692,0.0986934046,0.4474153298,-108.104,0.5121642122,561,0,0.0,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,True,118.9903062888
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,rf4_l120_n64,h6_move3,all58,6,long_only_margin,long_only_margin__density_8_0__maxhold_6__flat_or_opp,8.0,-0.001214469784,6,flat_or_opp,0.3,single_position_dynamic_exit_skip_overlap,raw_m5_open_to_dynamic_exit_open_single_position_skip_overlap_not_mt5_strategy_tester,481,2.6284153005,155.118,1.1480717115,0.3224906445,0.5239085239,-141.935,1.0928805439,481,0,0.0,393,3.0,32.774,1.0344585764,0.083394402,0.5318066158,-146.882,0.2231314933,393,0,0.0,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,111.205669168
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,rf4_l120_n64,h6_move3,all58,6,long_only_margin,long_only_margin__density_8_0__maxhold_6__weak_or_opp,8.0,-0.001214469784,6,weak_or_opp,0.3,single_position_dynamic_exit_skip_overlap,raw_m5_open_to_dynamic_exit_open_single_position_skip_overlap_not_mt5_strategy_tester,649,3.5464480874,113.179,1.1141252121,0.1743898305,0.4530046225,-144.194,0.7849078325,649,0,0.0,523,3.9923664122,32.691,1.0384446222,0.0625066922,0.4340344168,-113.334,0.2884483032,523,0,0.0,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,105.4481659616
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,rf4_l120_n64,h6_move3,all58,6,long_only_margin,long_only_margin__density_8_0__maxhold_8__flat_or_opp,8.0,-0.001214469784,8,flat_or_opp,0.3,single_position_dynamic_exit_skip_overlap,raw_m5_open_to_dynamic_exit_open_single_position_skip_overlap_not_mt5_strategy_tester,436,2.3825136612,23.818,1.0221014879,0.0546284404,0.5160550459,-159.302,0.1495147581,436,0,0.0,344,2.6259541985,85.243,1.0946957157,0.2477994186,0.5261627907,-151.62,0.5622147474,344,0,0.0,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,115.011719472
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,rf4_l120_n64,h6_move3,all58,6,long_only_margin,long_only_margin__density_8_0__maxhold_8__weak_or_opp,8.0,-0.001214469784,8,weak_or_opp,0.3,single_position_dynamic_exit_skip_overlap,raw_m5_open_to_dynamic_exit_open_single_position_skip_overlap_not_mt5_strategy_tester,630,3.4426229508,117.723,1.1179476904,0.1868619048,0.4523809524,-134.568,0.8748216515,630,0,0.0,501,3.8244274809,72.806,1.0872106743,0.1453213573,0.4291417166,-99.766,0.7297676563,501,0,0.0,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,True,152.9746207632
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,rf4_l120_n64,h6_move3,all58,6,long_only_margin,long_only_margin__density_8_0__maxhold_12__flat_or_opp,8.0,-0.001214469784,12,flat_or_opp,0.3,single_position_dynamic_exit_skip_overlap,raw_m5_open_to_dynamic_exit_open_single_position_skip_overlap_not_mt5_strategy_tester,381,2.0819672131,70.925,1.0667367987,0.1861548556,0.530183727,-253.815,0.2794358095,381,0,0.0,290,2.213740458,129.866,1.1558056083,0.4478137931,0.5482758621,-169.222,0.7674297668,290,0,0.0,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,181.10483666
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,rf4_l120_n64,h6_move3,all58,6,long_only_margin,long_only_margin__density_8_0__maxhold_12__weak_or_opp,8.0,-0.001214469784,12,weak_or_opp,0.3,single_position_dynamic_exit_skip_overlap,raw_m5_open_to_dynamic_exit_open_single_position_skip_overlap_not_mt5_strategy_tester,614,3.3551912568,119.979,1.1230730566,0.1954055375,0.4446254072,-135.101,0.8880689262,614,0,0.0,480,3.6641221374,56.695,1.0698236643,0.1181145833,0.41875,-103.253,0.5490881621,480,0,0.0,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,True,134.1181768152
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,rf4_l120_n64,h6_move3,all58,6,long_only_margin,long_only_margin__density_12_0__maxhold_4__flat_or_opp,12.0,-0.004631719483,4,flat_or_opp,0.3,single_position_dynamic_exit_skip_overlap,raw_m5_open_to_dynamic_exit_open_single_position_skip_overlap_not_mt5_strategy_tester,800,4.3715846995,-17.989,0.9892807068,-0.02248625,0.495,-292.21,-0.0615618904,800,0,0.0,637,4.8625954198,67.829,1.0530046988,0.1064819466,0.5102040816,-148.718,0.4560913945,637,0,0.0,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,93.9972872144
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,rf4_l120_n64,h6_move3,all58,6,long_only_margin,long_only_margin__density_12_0__maxhold_4__weak_or_opp,12.0,-0.004631719483,4,weak_or_opp,0.3,single_position_dynamic_exit_skip_overlap,raw_m5_open_to_dynamic_exit_open_single_position_skip_overlap_not_mt5_strategy_tester,1047,5.7213114754,-61.393,0.9633204183,-0.0586370583,0.4546322827,-252.641,-0.2430048963,1047,0,0.0,823,6.2824427481,38.552,1.0312264599,0.0468432564,0.4592952612,-144.162,0.2674213732,823,0,0.0,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,False,56.4685571728
