attempt_name,record_view,candidate_id,candidate_alias,candidate_role,tier_scope,route_role,split,net_profit,profit_factor,trade_count,equity_drawdown_percent,curve_grade,curve_read,chart_path,chart_sha256_recorded,chart_sha256_actual,file_size_bytes,image_width,image_height,luma_min,luma_max,rgb_mean,rgb_stddev,nonblank_status,visual_zoom_status,notes
s258_stc_rt_2024,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,Tier A+B,routed_total,historical_2024_tier_a_train_era_stress,102.89,1.05,378,40.43,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s258_stc_rt_2024.png,7a2af20bbc644570300131720e1fc05027d6c58f4848227012114c56a4255367,7a2af20bbc644570300131720e1fc05027d6c58f4848227012114c56a4255367,18907,1230,300,0,255,246.77;246.78;249.49,42.42;42.40;30.40,nonblank_png_verified,available_for_zoom_not_quality_approved,pixel extrema checked; curve quality still requires zoom review
s258_stc_ta_2024,mt5_ta_s258_stc_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,Tier A,tier_only_total,historical_2024_tier_a_train_era_stress,102.89,1.05,378,40.43,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s258_stc_ta_2024.png,7a2af20bbc644570300131720e1fc05027d6c58f4848227012114c56a4255367,7a2af20bbc644570300131720e1fc05027d6c58f4848227012114c56a4255367,18907,1230,300,0,255,246.77;246.78;249.49,42.42;42.40;30.40,nonblank_png_verified,available_for_zoom_not_quality_approved,pixel extrema checked; curve quality still requires zoom review
s262_lih_rt_2024,mt5_rt_s262_lih_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,Tier A+B,routed_total,historical_2024_tier_a_train_era_stress,44.49,1.02,352,40.13,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s262_lih_rt_2024.png,955152d1cad3a37c0359d05933144940ffef1ab95ccaafe7a95df20e49273f9b,955152d1cad3a37c0359d05933144940ffef1ab95ccaafe7a95df20e49273f9b,19317,1230,300,0,255,246.63;246.63;249.44,42.82;42.79;30.43,nonblank_png_verified,available_for_zoom_not_quality_approved,pixel extrema checked; curve quality still requires zoom review
s262_lih_ta_2024,mt5_ta_s262_lih_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,Tier A,tier_only_total,historical_2024_tier_a_train_era_stress,44.49,1.02,352,40.13,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s262_lih_ta_2024.png,955152d1cad3a37c0359d05933144940ffef1ab95ccaafe7a95df20e49273f9b,955152d1cad3a37c0359d05933144940ffef1ab95ccaafe7a95df20e49273f9b,19317,1230,300,0,255,246.63;246.63;249.44,42.82;42.79;30.43,nonblank_png_verified,available_for_zoom_not_quality_approved,pixel extrema checked; curve quality still requires zoom review
s264_aia_rt_2024,mt5_rt_s264_aia_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,Tier A+B,routed_total,historical_2024_tier_a_train_era_stress,87.07,1.05,354,36.9,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_aia_rt_2024.png,7b50335a87e67208a25eca4862f23d7caae2db1cc33f2ff367c07df9332239f0,7b50335a87e67208a25eca4862f23d7caae2db1cc33f2ff367c07df9332239f0,19213,1230,300,0,255,246.61;246.61;249.43,42.89;42.87;30.47,nonblank_png_verified,available_for_zoom_not_quality_approved,pixel extrema checked; curve quality still requires zoom review
s264_aia_ta_2024,mt5_ta_s264_aia_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,Tier A,tier_only_total,historical_2024_tier_a_train_era_stress,87.07,1.05,354,36.9,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_aia_ta_2024.png,7b50335a87e67208a25eca4862f23d7caae2db1cc33f2ff367c07df9332239f0,7b50335a87e67208a25eca4862f23d7caae2db1cc33f2ff367c07df9332239f0,19213,1230,300,0,255,246.61;246.61;249.43,42.89;42.87;30.47,nonblank_png_verified,available_for_zoom_not_quality_approved,pixel extrema checked; curve quality still requires zoom review
s264_aih_rt_2024,mt5_rt_s264_aih_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,core_challenger,Tier A+B,routed_total,historical_2024_tier_a_train_era_stress,95.56,1.05,353,36.68,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_aih_rt_2024.png,77fb4caeeeed94866d89b35c3d57e87d23f72a75b56ad9dfbdb15127cf525943,77fb4caeeeed94866d89b35c3d57e87d23f72a75b56ad9dfbdb15127cf525943,19185,1230,300,0,255,246.65;246.66;249.45,42.74;42.72;30.43,nonblank_png_verified,available_for_zoom_not_quality_approved,pixel extrema checked; curve quality still requires zoom review
s264_aih_ta_2024,mt5_ta_s264_aih_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,core_challenger,Tier A,tier_only_total,historical_2024_tier_a_train_era_stress,95.56,1.05,353,36.68,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_aih_ta_2024.png,77fb4caeeeed94866d89b35c3d57e87d23f72a75b56ad9dfbdb15127cf525943,77fb4caeeeed94866d89b35c3d57e87d23f72a75b56ad9dfbdb15127cf525943,19185,1230,300,0,255,246.65;246.66;249.45,42.74;42.72;30.43,nonblank_png_verified,available_for_zoom_not_quality_approved,pixel extrema checked; curve quality still requires zoom review
s264_lc_rt_2024,mt5_rt_s264_lc_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,Tier A+B,routed_total,historical_2024_tier_a_train_era_stress,71.34,1.04,350,37.52,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_lc_rt_2024.png,636b81e31dd0df14e45b6fa354e6786462d695f770441c2b81c1febaf7505c44,636b81e31dd0df14e45b6fa354e6786462d695f770441c2b81c1febaf7505c44,19296,1230,300,0,255,246.61;246.61;249.44,42.87;42.85;30.44,nonblank_png_verified,available_for_zoom_not_quality_approved,pixel extrema checked; curve quality still requires zoom review
s264_lc_ta_2024,mt5_ta_s264_lc_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,Tier A,tier_only_total,historical_2024_tier_a_train_era_stress,71.34,1.04,350,37.52,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_lc_ta_2024.png,636b81e31dd0df14e45b6fa354e6786462d695f770441c2b81c1febaf7505c44,636b81e31dd0df14e45b6fa354e6786462d695f770441c2b81c1febaf7505c44,19296,1230,300,0,255,246.61;246.61;249.44,42.87;42.85;30.44,nonblank_png_verified,available_for_zoom_not_quality_approved,pixel extrema checked; curve quality still requires zoom review
