candidate_id,candidate_alias,candidate_role,record_view,tier_scope,route_role,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,report_balance_drawdown_percent,report_equity_drawdown_percent,report_recovery_factor,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_grade,curve_read
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,378,102.89,1.046751,0.272196,0.497354,360.19,39.85108,,,6,39.85,40.43,0.28,0.416667,7,2024-07,-180.63,2024-02,215.27,269.68,-180.03,13.24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s258_stc_rt_2024.png,D_fragile,rough_curve_high_dd_or_low_pf
s258_short_tight_control,s258_stc,stress_challenger,mt5_ta_s258_stc_historical_2024_tier_a_train_era_stress,Tier A,tier_only_total,378,102.89,1.046751,0.272196,0.497354,360.19,39.85108,,,6,39.85,40.43,0.28,0.416667,7,2024-07,-180.63,2024-02,215.27,269.68,-180.03,13.24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s258_stc_ta_2024.png,D_fragile,rough_curve_high_dd_or_low_pf
s262_lowrank_inner_half_filter,s262_lih,validation_heavy,mt5_rt_s262_lih_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,352,44.49,1.024065,0.126392,0.494318,321.18,39.081551,,,6,39.08,40.13,0.13,0.5,6,2024-07,-126.04,2024-02,178.11,234.35,-140.12,-49.74,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s262_lih_rt_2024.png,D_fragile,rough_curve_high_dd_or_low_pf
s262_lowrank_inner_half_filter,s262_lih,validation_heavy,mt5_ta_s262_lih_historical_2024_tier_a_train_era_stress,Tier A,tier_only_total,352,44.49,1.024065,0.126392,0.494318,321.18,39.081551,,,6,39.08,40.13,0.13,0.5,6,2024-07,-126.04,2024-02,178.11,234.35,-140.12,-49.74,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s262_lih_ta_2024.png,D_fragile,rough_curve_high_dd_or_low_pf
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,mt5_rt_s264_aia_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,354,87.07,1.046009,0.24596,0.5,294.73,35.503222,,,6,35.5,36.9,0.28,0.5,6,2024-07,-115.88,2024-02,191.19,213.56,-117.44,-9.05,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_aia_rt_2024.png,C_watch,survives_but_curve_not_pretty
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,mt5_ta_s264_aia_historical_2024_tier_a_train_era_stress,Tier A,tier_only_total,354,87.07,1.046009,0.24596,0.5,294.73,35.503222,,,6,35.5,36.9,0.28,0.5,6,2024-07,-115.88,2024-02,191.19,213.56,-117.44,-9.05,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_aia_ta_2024.png,C_watch,survives_but_curve_not_pretty
s264_allow_inner_high_quarter,s264_aih,core_challenger,mt5_rt_s264_aih_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,353,95.56,1.050106,0.270708,0.501416,296.16,35.284867,,,6,35.28,36.68,0.31,0.5,6,2024-07,-117.25,2024-02,194.35,272.93,-147.14,-30.23,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_aih_rt_2024.png,C_watch,survives_but_curve_not_pretty
s264_allow_inner_high_quarter,s264_aih,core_challenger,mt5_ta_s264_aih_historical_2024_tier_a_train_era_stress,Tier A,tier_only_total,353,95.56,1.050106,0.270708,0.501416,296.16,35.284867,,,6,35.28,36.68,0.31,0.5,6,2024-07,-117.25,2024-02,194.35,272.93,-147.14,-30.23,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_aih_ta_2024.png,C_watch,survives_but_curve_not_pretty
s264_lowrank_control,s264_lc,defensive_control,mt5_rt_s264_lc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,350,71.34,1.038612,0.203829,0.497143,297.27,36.172154,,,6,36.17,37.52,0.23,0.5,6,2024-07,-113.21,2024-02,178.11,229.66,-125.95,-32.37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_lc_rt_2024.png,C_watch,survives_but_curve_not_pretty
s264_lowrank_control,s264_lc,defensive_control,mt5_ta_s264_lc_historical_2024_tier_a_train_era_stress,Tier A,tier_only_total,350,71.34,1.038612,0.203829,0.497143,297.27,36.172154,,,6,36.17,37.52,0.23,0.5,6,2024-07,-113.21,2024-02,178.11,229.66,-125.95,-32.37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/reports/Project_Obsidian_Prime_v2_run267B_stage267_extended_period_ablation_probe_v1_s264_lc_ta_2024.png,C_watch,survives_but_curve_not_pretty
