candidate_id,role,source_stage,period_label,month,rows,signal_rows,long_signal_rows,short_signal_rows,blocked_signal_rows,allowed_signal_rows,blocked_signal_ratio,allowed_signal_ratio
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-01,978,36,9,27,11,25,0.30555555555555558,0.69444444444444442
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-02,828,38,10,28,11,27,0.28947368421052633,0.71052631578947367
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-03,715,28,10,18,7,21,0.25,0.75
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-04,1167,59,16,43,26,33,0.44067796610169491,0.55932203389830504
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-05,696,24,6,18,4,20,0.16666666666666666,0.83333333333333337
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-06,627,28,10,18,12,16,0.42857142857142855,0.5714285714285714
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-07,876,69,19,50,31,38,0.44927536231884058,0.55072463768115942
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-08,1285,68,27,41,22,46,0.3235294117647059,0.67647058823529416
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-09,1188,58,20,38,16,42,0.27586206896551724,0.72413793103448276
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-10,1180,52,16,36,15,37,0.28846153846153844,0.71153846153846156
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-11,1100,39,15,24,11,28,0.28205128205128205,0.71794871794871795
s264_allow_inner_high_quarter,challenger_core,264,historical_2024_tier_a_train_era_stress,2024-12,1011,41,15,26,12,29,0.29268292682926828,0.70731707317073167
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-01,978,36,9,27,11,25,0.30555555555555558,0.69444444444444442
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-02,828,38,10,28,12,26,0.31578947368421051,0.68421052631578949
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-03,715,28,10,18,7,21,0.25,0.75
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-04,1167,59,16,43,27,32,0.4576271186440678,0.5423728813559322
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-05,696,24,6,18,4,20,0.16666666666666666,0.83333333333333337
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-06,627,28,10,18,12,16,0.42857142857142855,0.5714285714285714
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-07,876,69,19,50,31,38,0.44927536231884058,0.55072463768115942
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-08,1285,68,27,41,22,46,0.3235294117647059,0.67647058823529416
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-09,1188,58,20,38,17,41,0.29310344827586204,0.7068965517241379
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-10,1180,52,16,36,15,37,0.28846153846153844,0.71153846153846156
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-11,1100,39,15,24,11,28,0.28205128205128205,0.71794871794871795
s264_lowrank_control,defensive_control,264,historical_2024_tier_a_train_era_stress,2024-12,1011,41,15,26,12,29,0.29268292682926828,0.70731707317073167
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-01,978,36,9,27,11,25,0.30555555555555558,0.69444444444444442
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-02,828,38,10,28,12,26,0.31578947368421051,0.68421052631578949
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-03,715,28,10,18,7,21,0.25,0.75
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-04,1167,59,16,43,27,32,0.4576271186440678,0.5423728813559322
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-05,696,24,6,18,4,20,0.16666666666666666,0.83333333333333337
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-06,627,28,10,18,12,16,0.42857142857142855,0.5714285714285714
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-07,876,69,19,50,30,39,0.43478260869565216,0.56521739130434778
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-08,1285,68,27,41,22,46,0.3235294117647059,0.67647058823529416
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-09,1188,58,20,38,17,41,0.29310344827586204,0.7068965517241379
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-10,1180,52,16,36,14,38,0.26923076923076922,0.73076923076923073
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-11,1100,39,15,24,11,28,0.28205128205128205,0.71794871794871795
