candidate_id,candidate_alias,candidate_role,record_view,tier_scope,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,max_losing_streak,slice_read
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-01,27,102.43,2.698392,3.793704,0.62963,18.9,3.314169,3,measured_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-02,28,215.27,2.573266,7.688214,0.607143,56.35,7.420136,3,measured_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-03,22,-3.85,0.974285,-0.175,0.454545,48.46,9.467617,3,minor_negative_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-04,36,-77.1,0.730061,-2.141667,0.416667,167.09,28.320819,6,negative_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-05,20,108.94,2.020993,5.447,0.65,46.05,7.953643,2,measured_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-06,18,-70.46,0.613579,-3.914444,0.388889,87.91,17.482003,4,negative_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-07,41,-180.63,0.452769,-4.40561,0.390244,196.92,38.680783,6,negative_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-08,46,-4.46,0.981239,-0.096957,0.5,67.09,12.551918,3,minor_negative_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-09,44,47.97,1.292804,1.090227,0.590909,71.15,13.218765,4,measured_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-10,37,-9.03,0.955568,-0.244054,0.432432,122.31,19.943582,4,minor_negative_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-11,29,21.77,1.137924,0.75069,0.517241,58.26,10.194582,3,measured_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,routed_total,month,2024-12,30,-47.96,0.742966,-1.598667,0.433333,103.26,20.652,6,negative_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_ta_s258_stc_historical_2024_tier_a_train_era_stress,Tier A,tier_only_total,month,2024-01,27,102.43,2.698392,3.793704,0.62963,18.9,3.314169,3,measured_slice
s258_short_tight_control,s258_stc,stress_challenger,mt5_ta_s258_stc_historical_2024_tier_a_train_era_stress,Tier A,tier_only_total,month,2024-02,28,215.27,2.573266,7.688214,0.607143,56.35,7.420136,3,measured_slice
