record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count
mt5_ta_s264_aih_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,95.56,1.05,353,0.27,312.07,36.68,0.31,610,610,0,59283,11651,11651
mt5_rt_s264_aih_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,95.56,1.05,353,0.27,312.07,36.68,0.31,610,610,0,59283,11651,11651
mt5_ta_s264_lc_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,71.34,1.04,350,0.2,312.54,37.52,0.23,604,604,0,59283,11651,11651
mt5_rt_s264_lc_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,71.34,1.04,350,0.2,312.54,37.52,0.23,604,604,0,59283,11651,11651
mt5_ta_s262_lih_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,44.49,1.02,352,0.13,334.35,40.13,0.13,607,607,0,59283,11651,11651
mt5_rt_s262_lih_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,44.49,1.02,352,0.13,334.35,40.13,0.13,607,607,0,59283,11651,11651
mt5_ta_s264_aia_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,87.07,1.05,354,0.25,310.49,36.9,0.28,612,612,0,59283,11651,11651
mt5_rt_s264_aia_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,87.07,1.05,354,0.25,310.49,36.9,0.28,612,612,0,59283,11651,11651
mt5_ta_s258_stc_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,102.89,1.05,378,0.27,365.99,40.43,0.28,649,649,0,59283,11651,11651
mt5_rt_s258_stc_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,102.89,1.05,378,0.27,365.99,40.43,0.28,649,649,0,59283,11651,11651
