candidate_id,candidate_alias,attempt_name,tier,split,attempt_role,record_view_prefix,set_path,set_sha256,ini_path,ini_sha256,common_telemetry_path,common_summary_path,fallback_enabled
s264_allow_inner_high_quarter,s264_aih,s264_aih_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aih,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_aih_ta_2024.set,70471562d5e5c939f26e06b1270cc23e02045e8c0db062ae5e9e5d3b08411d2c,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_aih_ta_2024.ini,ea3345cf4136c164a7f9ef436a88a4fce0e2b6c950f9eea6eaa5b99a0194a63c,OPV2/s267b/run267B_2024/s264_aih/telemetry/s264_aih_ta_2024_telemetry.csv,OPV2/s267b/run267B_2024/s264_aih/telemetry/s264_aih_ta_2024_summary.csv,false
s264_allow_inner_high_quarter,s264_aih,s264_aih_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aih,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_aih_rt_2024.set,3351edbe5d09a5e2ebee5c0c851b485e989e6313d7c069fce63e59f8be9faf4b,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_aih_rt_2024.ini,4bb9b1ce6146e40bdefee113961a546b64d7f28fabade75600178af3a281a3fe,OPV2/s267b/run267B_2024/s264_aih/telemetry/s264_aih_rt_2024_telemetry.csv,OPV2/s267b/run267B_2024/s264_aih/telemetry/s264_aih_rt_2024_summary.csv,false
s264_lowrank_control,s264_lc,s264_lc_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_lc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_lc_ta_2024.set,42e544c537c14ca801b1a28e48885aeee55691f7443a07cf4b93f4f39483283e,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_lc_ta_2024.ini,107d9a402d4b51f64e09293161410a9afbcdbffeb7a0d97033d61d2ca944223f,OPV2/s267b/run267B_2024/s264_lc/telemetry/s264_lc_ta_2024_telemetry.csv,OPV2/s267b/run267B_2024/s264_lc/telemetry/s264_lc_ta_2024_summary.csv,false
s264_lowrank_control,s264_lc,s264_lc_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_lc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_lc_rt_2024.set,a01769cd171b6335352063270189e81f4fe6d4ef1ab38892606dc741ce12c7f3,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_lc_rt_2024.ini,ea5b9449f910fa36339de3c5482bc15f8971ffe5a1e2635be1a952d09f4a1486,OPV2/s267b/run267B_2024/s264_lc/telemetry/s264_lc_rt_2024_telemetry.csv,OPV2/s267b/run267B_2024/s264_lc/telemetry/s264_lc_rt_2024_summary.csv,false
s262_lowrank_inner_half_filter,s262_lih,s262_lih_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s262_lih,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s262_lih_ta_2024.set,fb468cf484e2c2bacb780522e080c5c96d6ad330ec23faab985f0b2a140324e1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s262_lih_ta_2024.ini,ceecc81af463dd4e8e524b30eec75578d1546a234c371bb7fcd615424a21bfb4,OPV2/s267b/run267B_2024/s262_lih/telemetry/s262_lih_ta_2024_telemetry.csv,OPV2/s267b/run267B_2024/s262_lih/telemetry/s262_lih_ta_2024_summary.csv,false
s262_lowrank_inner_half_filter,s262_lih,s262_lih_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s262_lih,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s262_lih_rt_2024.set,7bdb0a2ccdbd9be844a95bca20c94ee721e5db6effd22ad488a7093025ba3021,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s262_lih_rt_2024.ini,32110eb598327e65a105cf71260edf4a804ad5f54cf3fb0ace62680a0b61fa15,OPV2/s267b/run267B_2024/s262_lih/telemetry/s262_lih_rt_2024_telemetry.csv,OPV2/s267b/run267B_2024/s262_lih/telemetry/s262_lih_rt_2024_summary.csv,false
s264_allow_inner_all_oos_anchor,s264_aia,s264_aia_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aia,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_aia_ta_2024.set,a2eaad09aeb79db72857ca96736154b2bb45dc153343e2337e339d5082215f05,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_aia_ta_2024.ini,414f0963942d1b7a6cff4c2536ec71720343a7c4662aff3d98bc8297f7795ee9,OPV2/s267b/run267B_2024/s264_aia/telemetry/s264_aia_ta_2024_telemetry.csv,OPV2/s267b/run267B_2024/s264_aia/telemetry/s264_aia_ta_2024_summary.csv,false
s264_allow_inner_all_oos_anchor,s264_aia,s264_aia_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aia,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_aia_rt_2024.set,4a4e80c96818d09bd56c586aecea54ed843b1936a3eef0c5b39b1e82b87f776a,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s264_aia_rt_2024.ini,149adde7ad9f4fbfdb2955d060278a6a8446d11baac57da8515788253959464f,OPV2/s267b/run267B_2024/s264_aia/telemetry/s264_aia_rt_2024_telemetry.csv,OPV2/s267b/run267B_2024/s264_aia/telemetry/s264_aia_rt_2024_summary.csv,false
s258_short_tight_control,s258_stc,s258_stc_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s258_stc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s258_stc_ta_2024.set,642d005c25466ec1741aca4c64423212454cac63937fea240ce2df5b2db8e36e,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s258_stc_ta_2024.ini,02af30ac5ef80909741c422b01cb8ca5d2b9a53f565c65c7166a481ad8d021ac,OPV2/s267b/run267B_2024/s258_stc/telemetry/s258_stc_ta_2024_telemetry.csv,OPV2/s267b/run267B_2024/s258_stc/telemetry/s258_stc_ta_2024_summary.csv,false
s258_short_tight_control,s258_stc,s258_stc_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s258_stc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s258_stc_rt_2024.set,1627e54ee67a7e475efd569ce31e272a11de6326f4ba39bc3a93a4a626aeeccb,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/mt5/s258_stc_rt_2024.ini,93de20c32f7dc37f80a7b7b66677669d5b79bedbd2fd70e2984679cc06331e39,OPV2/s267b/run267B_2024/s258_stc/telemetry/s258_stc_rt_2024_telemetry.csv,OPV2/s267b/run267B_2024/s258_stc/telemetry/s258_stc_rt_2024_summary.csv,false
