adapter_id,split,segment,profit_factor,net_profit,trade_count,mfe_capture_ratio,pf_below_34d,validation_early_mid_weak,late_or_single_segment_concentration,stage149_read
s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035,validation_is,early,1.4301269130,243.3400000000,92.0000000000,0.1829976159,True,True,False,validation_guard_repair_needed
s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035,validation_is,mid,1.3041758240,221.4400000000,92.0000000000,0.1256488771,True,True,False,validation_guard_repair_needed
s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035,validation_is,late,1.7941689770,819.0900000000,91.0000000000,0.2579436254,False,False,False,segment_watch
s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035,oos,early,1.5447692350,206.6800000000,66.0000000000,0.2057532462,True,False,False,segment_watch
s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035,oos,mid,1.4594161050,214.8000000000,65.0000000000,0.1728955620,True,False,False,segment_watch
s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035,oos,late,1.8266067010,494.4100000000,65.0000000000,0.2657556049,False,False,True,segment_watch
s148_softsession_replay_h3_cd5_sht54_lng52_risk035,validation_is,early,1.1872526340,109.2900000000,103.0000000000,0.0897894176,True,True,False,validation_guard_repair_needed
s148_softsession_replay_h3_cd5_sht54_lng52_risk035,validation_is,mid,1.3904273310,279.3000000000,103.0000000000,0.1539015277,True,True,False,validation_guard_repair_needed
s148_softsession_replay_h3_cd5_sht54_lng52_risk035,validation_is,late,1.5672580590,663.7600000000,102.0000000000,0.2061847856,True,False,False,segment_watch
s148_softsession_replay_h3_cd5_sht54_lng52_risk035,oos,early,1.8379742560,346.9800000000,72.0000000000,0.2808754786,False,False,False,segment_watch
s148_softsession_replay_h3_cd5_sht54_lng52_risk035,oos,mid,1.4084660630,247.2200000000,72.0000000000,0.1553673603,True,False,False,segment_watch
s148_softsession_replay_h3_cd5_sht54_lng52_risk035,oos,late,1.6515862360,548.5900000000,71.0000000000,0.2277133342,False,False,True,segment_watch
s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035,validation_is,early,1.2107933100,121.7500000000,102.0000000000,0.0992754806,True,True,False,validation_guard_repair_needed
s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035,validation_is,mid,1.4539649620,332.7200000000,101.0000000000,0.1725360755,True,True,False,validation_guard_repair_needed
s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035,validation_is,late,1.5629630220,707.4700000000,101.0000000000,0.2063074071,True,False,False,segment_watch
s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035,oos,early,1.7397617960,322.9800000000,69.0000000000,0.2645944119,False,False,False,segment_watch
s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035,oos,mid,1.5927422260,328.6400000000,68.0000000000,0.2048319115,False,False,False,oos_mid_repair_clue
s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035,oos,late,1.7282211660,610.0600000000,68.0000000000,0.2425637179,False,False,True,segment_watch
s148_softsession_threshold_guard_h3_cd5_sht55_lng53_risk035,validation_is,early,1.1872526340,109.2900000000,103.0000000000,0.0897894176,True,True,False,validation_guard_repair_needed
s148_softsession_threshold_guard_h3_cd5_sht55_lng53_risk035,validation_is,mid,1.3904273310,279.3000000000,103.0000000000,0.1539015277,True,True,False,validation_guard_repair_needed
s148_softsession_threshold_guard_h3_cd5_sht55_lng53_risk035,validation_is,late,1.5672580590,663.7600000000,102.0000000000,0.2061847856,True,False,False,segment_watch
s148_softsession_threshold_guard_h3_cd5_sht55_lng53_risk035,oos,early,1.8379742560,346.9800000000,72.0000000000,0.2808754786,False,False,False,segment_watch
s148_softsession_threshold_guard_h3_cd5_sht55_lng53_risk035,oos,mid,1.4084660630,247.2200000000,72.0000000000,0.1553673603,True,False,False,segment_watch
s148_softsession_threshold_guard_h3_cd5_sht55_lng53_risk035,oos,late,1.6515862360,548.5900000000,71.0000000000,0.2277133342,False,False,True,segment_watch
